TSUMEB     LATITUDE    -19.2     LONGITUDE     17.6      ALTITUDE    1240 M
TSUMEB     INSTRUMENT   18NM64    NEUTRON MONITOR     
TSUMEB     STANDARD PRESSURE    660     MMHG   COEFFICIENT   0.935     % / MMHG
TSUMEB     010414 3600 160000-170000   00    -999.00 -999.0    304.14    -1.10    -9999
TSUMEB     010414 3600 170000-180000   00    -999.00 -999.0    302.67    -1.60    -9999
TSUMEB     010414 3600 180000-190000   00    -999.00 -999.0    302.28    -1.70    -9999
TSUMEB     010414 3600 190000-200000   00    -999.00 -999.0    301.64    -2.00    -9999
TSUMEB     010414 3600 200000-210000   00    -999.00 -999.0    300.83    -2.20    -9999
TSUMEB     010414 3600 210000-220000   00    -999.00 -999.0    301.61    -2.00    -9999
TSUMEB     010414 3600 220000-230000   00    -999.00 -999.0    301.78    -1.90    -9999
TSUMEB     010414 3600 230000-240000   00    -999.00 -999.0    302.97    -1.50    -9999
TSUMEB     010415 3600 000000-010000   00    -999.00 -999.0    303.61    -1.30    -9999
TSUMEB     010415 3600 010000-020000   00    -999.00 -999.0    304.78    -0.90    -9999
TSUMEB     010415 3600 020000-030000   00    -999.00 -999.0    304.89    -0.90    -9999
TSUMEB     010415 3600 030000-040000   00    -999.00 -999.0    306.06    -0.50    -9999
TSUMEB     010415 3600 040000-050000   00    -999.00 -999.0    304.42    -1.00    -9999
TSUMEB     010415 3600 050000-060000   00    -999.00 -999.0    304.44    -1.00    -9999
TSUMEB     010415 3600 060000-070000   00    -999.00 -999.0    305.00    -0.90    -9999
TSUMEB     010415 3600 070000-080000   00    -999.00 -999.0    306.08    -0.50    -9999
TSUMEB     010415 3600 080000-090000   00    -999.00 -999.0    306.72    -0.30    -9999
TSUMEB     010415 3600 090000-100000   00    -999.00 -999.0    306.67    -0.30    -9999
TSUMEB     010415 3600 100000-110000   00    -999.00 -999.0    307.58     0.00    -9999
TSUMEB     010415 3600 110000-120000   00    -999.00 -999.0    308.86     0.40    -9999
TSUMEB     010415 3600 120000-130000   00    -999.00 -999.0    307.64     0.00    -9999
TSUMEB     010415 3600 130000-140000   00    -999.00 -999.0    309.25     0.50    -9999
TSUMEB     010415 3600 140000-150000   00    -999.00 -999.0    309.47     0.60    -9999
TSUMEB     010415 3600 150000-160000   00    -999.00 -999.0    309.19     0.50    -9999
TSUMEB     010415 3600 160000-170000   00    -999.00 -999.0    308.08     0.10    -9999
TSUMEB     010415 3600 170000-180000   00    -999.00 -999.0    307.47    -0.10    -9999
TSUMEB     010415 3600 180000-190000   00    -999.00 -999.0    306.11    -0.50    -9999
TSUMEB     010415 3600 190000-200000   00    -999.00 -999.0    305.78    -0.60    -9999
TSUMEB     010415 3600 200000-210000   00    -999.00 -999.0    306.39    -0.40    -9999
TSUMEB     010415 3600 210000-220000   00    -999.00 -999.0    306.22    -0.50    -9999
TSUMEB     010415 3600 220000-230000   00    -999.00 -999.0    306.50    -0.40    -9999
TSUMEB     010415 3600 230000-240000   00    -999.00 -999.0    306.67    -0.30    -9999
TSUMEB     010416 3600 000000-010000   00    -999.00 -999.0    307.81     0.10    -9999
TSUMEB     010416 3600 010000-020000   00    -999.00 -999.0    307.39    -0.10    -9999
TSUMEB     010416 3600 020000-030000   00    -999.00 -999.0    306.53    -0.40    -9999
TSUMEB     010416 3600 030000-040000   00    -999.00 -999.0    308.25     0.20    -9999
TSUMEB     010416 3600 040000-050000   00    -999.00 -999.0    307.94     0.10    -9999
TSUMEB     010416 3600 050000-060000   00    -999.00 -999.0    307.67     0.00    -9999
TSUMEB     010416 3600 060000-070000   00    -999.00 -999.0    307.64     0.00    -9999
TSUMEB     010416 3600 070000-080000   00    -999.00 -999.0    308.33     0.20    -9999
TSUMEB     010416 3600 080000-090000   00    -999.00 -999.0    308.83     0.40    -9999
TSUMEB     010416 3600 090000-100000   00    -999.00 -999.0    309.25     0.50    -9999
TSUMEB     010416 3600 100000-110000   00    -999.00 -999.0    309.97     0.80    -9999
TSUMEB     010416 3600 110000-120000   00    -999.00 -999.0    309.28     0.50    -9999
TSUMEB     010416 3600 120000-130000   00    -999.00 -999.0    310.94     1.10    -9999
TSUMEB     010416 3600 130000-140000   00    -999.00 -999.0    311.08     1.10    -9999
TSUMEB     010416 3600 140000-150000   00    -999.00 -999.0    310.61     1.00    -9999
TSUMEB     010416 3600 150000-160000   00    -999.00 -999.0    310.14     0.80    -9999
TSUMEB     010416 3600 160000-170000   00    -999.00 -999.0    310.44     0.90    -9999
TSUMEB     010416 3600 170000-180000   00    -999.00 -999.0    310.00     0.80    -9999
TSUMEB     010416 3600 180000-190000   00    -999.00 -999.0    309.67     0.70    -9999
TSUMEB     010416 3600 190000-200000   00    -999.00 -999.0    311.00     1.10    -9999
TSUMEB     010416 3600 200000-210000   00    -999.00 -999.0    310.08     0.80    -9999
TSUMEB     010416 3600 210000-220000   00    -999.00 -999.0    309.61     0.60    -9999
TSUMEB     010416 3600 220000-230000   00    -999.00 -999.0    309.86     0.70    -9999
TSUMEB     010416 3600 230000-240000   00    -999.00 -999.0    309.36     0.60    -9999
*
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2023-04-05 10:02:56 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE60/C060TSMB.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
