TIXIE BAY  LATITUDE    71.58     LONGITUDE     128.92    ALTITUDE    0 M
TIXIE BAY  INSTRUMENT   18-NM-64  NEUTRON MONITOR
TIXIE BAY  STANDARD PRESSURE    1007.8  MB     COEFFICIENT   -0.72     % / MB
TIXIE BAY  PRE-INCREASE BASELINE TIME INTERVAL    000714    090000-100000   UT
TIXIE BAY  PRE-INCREASE AVERAGE COUNTING RATE    134.42      COUNTS PER SECOND
TIXIE BAY  TIME INTERVALS    300         3600     
TIXIE BAY  SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
TIXIE BAY  000714 300  104000-104500   00     151.33 1008.1    151.72    12.90    12.67
TIXIE BAY  000714 300  104500-105000   00     156.67 1008.2    157.08    16.90    16.66
TIXIE BAY  000714 300  105000-105500   00     162.67 1008.2    163.12    21.40    21.14
TIXIE BAY  000714 300  105500-110000   00     163.00 1008.2    163.48    21.60    21.33
TIXIE BAY  000714 300  110000-110500   00     167.67 1008.2    168.18    25.10    24.82
TIXIE BAY  000714 300  110500-111000   00     166.00 1008.2    166.52    23.90    23.60
TIXIE BAY  000714 300  111000-111500   00     163.00 1008.3    163.53    21.70    21.39
TIXIE BAY  000714 300  111500-112000   00     162.00 1008.3    162.55    20.90    20.57
TIXIE BAY  000714 300  112000-112500   00     162.33 1008.3    162.90    21.20    20.86
TIXIE BAY  000714 300  112500-113000   00     163.33 1008.3    163.92    21.90    21.55
TIXIE BAY  000714 300  113000-113500   00     160.00 1008.3    160.59    19.50    19.13
TIXIE BAY  000714 300  113500-114000   00     157.67 1008.3    158.26    17.70    17.32
TIXIE BAY  000714 300  114000-114500   00     157.33 1008.3    157.94    17.50    17.11
TIXIE BAY  000714 300  114500-115000   00     155.00 1008.3    155.61    15.80    15.39
TIXIE BAY  000714 300  115000-115500   00     157.67 1008.3    158.29    17.80    17.38
TIXIE BAY  000714 300  115500-120000   00     157.33 1008.4    157.97    17.50    17.07
TIXIE BAY  000714 300  120000-120500   00     154.67 1008.3    155.27    15.50    15.06
TIXIE BAY  000714 300  120500-121000   00     154.00 1008.4    154.61    15.00    14.54
TIXIE BAY  000714 300  121000-121500   00     152.67 1008.4    153.29    14.00    13.53
TIXIE BAY  000714 300  121500-122000   00     153.67 1008.4    154.30    14.80    14.32
TIXIE BAY  000714 300  122000-122500   00     153.67 1008.4    154.31    14.80    14.31
TIXIE BAY  000714 300  122500-123000   00     151.00 1008.4    151.65    12.80    12.29
TIXIE BAY  000714 300  123000-123500   00     151.00 1008.4    151.66    12.80    12.28
TIXIE BAY  000714 300  123500-124000   00     148.33 1008.4    149.00    10.80    10.27
TIXIE BAY  000714 300  124000-124500   00     146.67 1008.4    147.34     9.60     9.06
TIXIE BAY  000714 300  124500-125000   00     149.67 1008.4    150.37    11.90    11.35
TIXIE BAY  000714 300  125000-125500   00     147.67 1008.5    148.38    10.40     9.84
TIXIE BAY  000714 300  125500-130000   00     149.33 1008.5    150.07    11.60    11.02
TIXIE BAY  000714 300  130000-130500   00     147.00 1008.5    147.75     9.90     9.31
TIXIE BAY  000714 300  130500-131000   00     146.00 1008.5    146.77     9.20     8.60
TIXIE BAY  000714 300  131000-131500   00     144.33 1008.5    145.11     8.00     7.39
TIXIE BAY  000714 300  131500-132000   00     143.67 1008.6    144.46     7.50     6.88
TIXIE BAY  000714 300  132000-132500   00     145.00 1008.6    145.81     8.50     7.87
TIXIE BAY  000714 300  132500-133000   00     142.67 1008.6    143.48     6.70     6.06
TIXIE BAY  000714 300  133000-133500   00     143.00 1008.6    143.84     7.00     6.35
TIXIE BAY  000714 300  133500-134000   00     142.33 1008.6    143.18     6.50     5.84
TIXIE BAY  000714 300  134000-134500   00     143.00 1008.6    143.87     7.00     6.33
TIXIE BAY  000714 300  134500-135000   00     145.00 1008.7    145.90     8.50     7.82
TIXIE BAY  000714 300  135000-135500   00     142.00 1008.7    142.90     6.30     5.61
TIXIE BAY  000714 300  135500-140000   00     142.33 1008.7    143.25     6.60     5.90
TIXIE BAY  000714 300  140000-140500   00     140.67 1008.7    141.62     5.40     4.69
TIXIE BAY  000714 300  140500-141000   00     141.00 1008.7    141.97     5.60     4.88
TIXIE BAY  000714 300  141000-141500   00     143.67 1008.8    144.67     7.60     6.87
TIXIE BAY  000714 300  141500-142000   00     142.00 1008.8    143.00     6.40     5.66
TIXIE BAY  000714 300  142000-142500   00     141.00 1008.8    142.01     5.60     4.85
TIXIE BAY  000714 300  142500-143000   00     142.00 1008.8    143.03     6.40     5.64
TIXIE BAY  000714 300  143000-143500   00     143.67 1008.8    144.71     7.70     6.93
TIXIE BAY  000714 300  143500-144000   00     142.33 1008.8    143.38     6.70     5.92
TIXIE BAY  000714 300  144000-144500   00     141.00 1008.8    142.04     5.70     4.91
TIXIE BAY  000714 300  144500-145000   00     144.67 1008.8    145.74     8.40     7.60
TIXIE BAY  000714 300  145000-145500   00     141.67 1008.8    142.72     6.20     5.39
TIXIE BAY  000714 300  145500-150000   00     141.33 1008.8    142.38     5.90     5.09
TIXIE BAY  000714 300  150000-150500   00     140.67 1008.8    141.67     5.40     4.58
TIXIE BAY  000714 300  150500-151000   00     141.33 1008.8    142.35     5.90     5.07
TIXIE BAY  000714 300  151000-151500   00     142.67 1008.8    143.69     6.90     6.06
