IRKUTSK2   LATITUDE    52.28     LONGITUDE     104.02    ALTITUDE    2000 M
IRKUTSK2   INSTRUMENT   12NM64    NEUTRON MONITOR     
IRKUTSK2   STANDARD PRESSURE    789.2   mb     COEFFICIENT   -0.713    % / mb
IRKUTSK2   PRE-INCREASE BASELINE TIME INTERVAL    120517    000000-010000   UT
IRKUTSK2   PRE-INCREASE AVERAGE COUNTING RATE    477.10      COUNTS PER SECOND
IRKUTSK2   TIME INTERVALS    300         3600     
IRKUTSK2   SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
IRKUTSK2   120516 3600 000000-010000   00    -999.00 -999.0   -999.00    -9999    -9999
IRKUTSK2   120516 3600 010000-020000   00    -999.00 -999.0   -999.00    -9999    -9999
IRKUTSK2   120516 3600 020000-030000   00    -999.00 -999.0   -999.00    -9999    -9999
IRKUTSK2   120516 3600 030000-040000   00    -999.00 -999.0   -999.00    -9999    -9999
IRKUTSK2   120516 3600 040000-050000   00    -999.00 -999.0   -999.00    -9999    -9999
IRKUTSK2   120516 3600 050000-060000   00    -999.00 -999.0   -999.00    -9999    -9999
IRKUTSK2   120516 3600 060000-070000   00    -999.00 -999.0   -999.00    -9999    -9999
IRKUTSK2   120516 3600 070000-080000   00    -999.00 -999.0   -999.00    -9999    -9999
IRKUTSK2   120516 3600 080000-090000   00    -999.00 -999.0   -999.00    -9999    -9999
IRKUTSK2   120516 3600 090000-100000   00    -999.00 -999.0   -999.00    -9999    -9999
IRKUTSK2   120516 3600 100000-110000   00    -999.00 -999.0   -999.00    -9999    -9999
IRKUTSK2   120516 3600 110000-120000   00    -999.00 -999.0   -999.00    -9999    -9999
IRKUTSK2   120516 3600 120000-130000   00    -999.00 -999.0   -999.00    -9999    -9999
IRKUTSK2   120516 3600 130000-140000   00    -999.00 -999.0   -999.00    -9999    -9999
IRKUTSK2   120516 3600 140000-150000   00    -999.00 -999.0   -999.00    -9999    -9999
IRKUTSK2   120516 3600 150000-160000   00    -999.00 -999.0   -999.00    -9999    -9999
IRKUTSK2   120516 3600 160000-170000   00    -999.00 -999.0   -999.00    -9999    -9999
IRKUTSK2   120516 3600 170000-180000   00    -999.00 -999.0   -999.00    -9999    -9999
IRKUTSK2   120516 3600 180000-190000   00    -999.00 -999.0   -999.00    -9999    -9999
IRKUTSK2   120516 3600 190000-200000   00    -999.00 -999.0   -999.00    -9999    -9999
IRKUTSK2   120516 3600 200000-210000   00    -999.00 -999.0   -999.00    -9999    -9999
IRKUTSK2   120516 300  210000-210500   00    -999.00 -999.0   -999.00    -9999    -9999
IRKUTSK2   120516 300  210500-211000   00    -999.00 -999.0   -999.00    -9999    -9999
IRKUTSK2   120516 300  211000-211500   00    -999.00 -999.0   -999.00    -9999    -9999
IRKUTSK2   120516 300  211500-212000   00    -999.00 -999.0   -999.00    -9999    -9999
IRKUTSK2   120516 300  212000-212500   00    -999.00 -999.0   -999.00    -9999    -9999
IRKUTSK2   120516 300  212500-213000   00    -999.00 -999.0   -999.00    -9999    -9999
IRKUTSK2   120516 300  213000-213500   00    -999.00 -999.0   -999.00    -9999    -9999
IRKUTSK2   120516 300  213500-214000   00    -999.00 -999.0   -999.00    -9999    -9999
IRKUTSK2   120516 300  214000-214500   00    -999.00 -999.0   -999.00    -9999    -9999
IRKUTSK2   120516 300  214500-215000   00    -999.00 -999.0   -999.00    -9999    -9999
IRKUTSK2   120516 300  215000-215500   00    -999.00 -999.0   -999.00    -9999    -9999
IRKUTSK2   120516 300  215500-220000   00    -999.00 -999.0   -999.00    -9999    -9999
IRKUTSK2   120516 300  220000-220500   00    -999.00 -999.0   -999.00    -9999    -9999
IRKUTSK2   120516 300  220500-221000   00    -999.00 -999.0   -999.00    -9999    -9999
IRKUTSK2   120516 300  221000-221500   00    -999.00 -999.0   -999.00    -9999    -9999
IRKUTSK2   120516 300  221500-222000   00    -999.00 -999.0   -999.00    -9999    -9999
IRKUTSK2   120516 300  222000-222500   00    -999.00 -999.0   -999.00    -9999    -9999
IRKUTSK2   120516 300  222500-223000   00    -999.00 -999.0   -999.00    -9999    -9999
IRKUTSK2   120516 300  223000-223500   00    -999.00 -999.0   -999.00    -9999    -9999
IRKUTSK2   120516 300  223500-224000   00    -999.00 -999.0   -999.00    -9999    -9999
IRKUTSK2   120516 300  224000-224500   00    -999.00 -999.0   -999.00    -9999    -9999
