LARC       LATITUDE    -62.2     LONGITUDE     301.04    ALTITUDE    40 M
LARC       INSTRUMENT   6-NM-64  NEUTRON MONITOR
LARC       STANDARD PRESSURE    980     mb     COEFFICIENT   -0.74     % / mb
LARC       PRE-INCREASE BASELINE TIME INTERVAL    031028    100000-110000   UT
LARC       PRE-INCREASE AVERAGE COUNTING RATE     64.66      COUNTS PER SECOND
LARC       TIME INTERVALS    300         3600     
LARC       SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
LARC       031027 3600 000000-010000   00      82.11  950.7     66.08     2.10    -9999
LARC       031027 3600 010000-020000   00      82.37  949.2     65.60     1.40    -9999
LARC       031027 3600 020000-030000   00      82.98  948.5     65.71     1.60    -9999
LARC       031027 3600 030000-040000   00      83.31  948.1     65.78     1.70    -9999
LARC       031027 3600 040000-050000   00      83.56  947.8     65.86     1.80    -9999
LARC       031027 3600 050000-060000   00      83.13  948.5     65.84     1.80    -9999
LARC       031027 3600 060000-070000   00      82.75  949.1     65.84     1.80    -9999
LARC       031027 3600 070000-080000   00      82.74  949.6     66.08     2.10    -9999
LARC       031027 3600 080000-090000   00      82.20  950.6     66.14     2.20    -9999
LARC       031027 3600 090000-100000   00      81.83  951.7     66.37     2.60    -9999
LARC       031027 3600 100000-110000   00      81.28  952.8     66.44     2.70    -9999
LARC       031027 3600 110000-120000   00      80.82  954.0     66.68     3.10    -9999
LARC       031027 3600 120000-130000   00      80.13  955.1     66.65     3.00    -9999
LARC       031027 3600 130000-140000   00      79.41  956.2     66.60     2.90    -9999
LARC       031027 3600 140000-150000   00      78.80  957.5     66.73     3.10    -9999
LARC       031027 3600 150000-160000   00      78.65  958.7     67.18     3.80    -9999
LARC       031027 3600 160000-170000   00      78.38  960.1     67.64     4.60    -9999
LARC       031027 3600 170000-180000   00      76.89  961.7     67.16     3.80    -9999
LARC       031027 3600 180000-190000   00      76.42  963.4     67.60     4.50    -9999
LARC       031027 3600 190000-200000   00      75.01  965.5     67.39     4.20    -9999
LARC       031027 3600 200000-210000   00      73.45  967.6     67.01     3.60    -9999
LARC       031027 3600 210000-220000   00      72.67  969.9     67.44     4.20    -9999
LARC       031027 3600 220000-230000   00      71.48  972.0     67.36     4.10    -9999
LARC       031027 3600 230000-240000   00      70.29  973.6     67.06     3.60    -9999
LARC       031028 3600 000000-010000   00      69.60  974.6     66.86     3.30    -9999
LARC       031028 3600 010000-020000   00      69.21  975.4     66.88     3.40    -9999
LARC       031028 3600 020000-030000   00      69.13  976.3     67.24     3.90    -9999
LARC       031028 3600 030000-040000   00      67.47  977.1     66.01     2.00    -9999
LARC       031028 3600 040000-050000   00      65.46  977.9     64.45    -0.40    -9999
LARC       031028 3600 050000-060000   00      64.53  978.6     63.88    -1.30    -9999
LARC       031028 3600 060000-070000   00      63.22  978.8     62.66    -3.20    -9999
LARC       031028 3600 070000-080000   00      63.39  978.9     62.88    -2.80    -9999
LARC       031028 3600 080000-090000   00      64.34  978.7     63.72    -1.50    -9999
