LARC       LATITUDE    -62.2     LONGITUDE     301.04    ALTITUDE    40 M
LARC       INSTRUMENT   6-NM-64  NEUTRON MONITOR
LARC       STANDARD PRESSURE    980     mb     COEFFICIENT   -0.74     % / mb
LARC       031028 3600 090000-100000   00      65.49  977.9     64.48    -0.30    -9999
LARC       031028 300  100000-100500   00      65.80  978.0     64.84     0.30    -9999
LARC       031028 300  100500-101000   00      66.20  977.9     65.19     0.80    -9999
LARC       031028 300  101000-101500   00      66.55  977.8     65.48     1.30    -9999
LARC       031028 300  101500-102000   00      65.71  977.7     64.61    -0.10    -9999
LARC       031028 300  102000-102500   00      66.14  977.4     64.89     0.40    -9999
LARC       031028 300  102500-103000   00      65.81  977.5     64.61    -0.10    -9999
LARC       031028 300  103000-103500   00      64.49  977.4     63.24    -2.20    -9999
LARC       031028 300  103500-104000   00      65.79  977.2     64.45    -0.30    -9999
LARC       031028 300  104000-104500   00      65.26  977.3     63.98    -1.00    -9999
LARC       031028 300  104500-105000   00      66.08  977.4     64.84     0.30    -9999
LARC       031028 300  105000-105500   00      66.71  977.3     65.38     1.10    -9999
LARC       031028 300  105500-110000   00      65.57  977.5     64.38    -0.40    -9999
LARC       031028 300  110000-110500   00      65.49  976.9     64.00    -1.00    -9999
LARC       031028 300  110500-111000   00      65.25  977.1     63.84    -1.30    -9999
LARC       031028 300  111000-111500   00      66.50  977.1     65.08     0.70    -9999
LARC       031028 300  111500-112000   00      67.54  977.0     66.07     2.20    -9999
LARC       031028 300  112000-112500   00      67.39  977.1     65.97     2.00    -9999
LARC       031028 300  112500-113000   00      67.03  976.9     65.54     1.40    -9999
LARC       031028 300  113000-113500   00      66.20  976.9     64.69     0.00    -9999
LARC       031028 300  113500-114000   00      67.15  976.7     65.55     1.40    -9999
LARC       031028 300  114000-114500   00      66.63  976.7     65.00     0.50    -9999
LARC       031028 300  114500-115000   00      68.91  976.6     67.20     3.90    -9999
LARC       031028 300  115000-115500   00      69.29  976.5     67.53     4.40    -9999
LARC       031028 300  115500-120000   00      68.84  976.2     66.93     3.50    -9999
LARC       031028 300  120000-120500   00      68.10  975.9     66.06     2.20    -9999
LARC       031028 300  120500-121000   00      68.33  975.8     66.25     2.50    -9999
LARC       031028 300  121000-121500   00      69.09  975.9     67.00     3.60    -9999
LARC       031028 300  121500-122000   00      67.34  975.9     65.33     1.00    -9999
LARC       031028 300  122000-122500   00      67.39  975.8     65.35     1.10    -9999
LARC       031028 300  122500-123000   00      67.88  975.5     65.68     1.60    -9999
LARC       031028 300  123000-123500   00      67.17  975.4     64.92     0.40    -9999
LARC       031028 300  123500-124000   00      67.71  975.3     65.37     1.10    -9999
LARC       031028 300  124000-124500   00      68.01  975.1     65.58     1.40    -9999
LARC       031028 300  124500-125000   00      68.48  974.9     65.96     2.00    -9999
LARC       031028 300  125000-125500   00      68.07  975.0     65.58     1.40    -9999
LARC       031028 300  125500-130000   00      69.14  974.9     66.57     3.00    -9999
LARC       031028 300  130000-130500   00      69.13  974.6     66.43     2.70    -9999
LARC       031028 300  130500-131000   00      69.02  974.3     66.16     2.30    -9999
LARC       031028 300  131000-131500   00      68.91  974.2     66.00     2.10    -9999
LARC       031028 300  131500-132000   00      69.34  973.5     66.06     2.20    -9999
LARC       031028 300  132000-132500   00      69.96  973.4     66.63     3.10    -9999
LARC       031028 300  132500-133000   00      70.59  973.2     67.11     3.80    -9999
LARC       031028 300  133000-133500   00      69.66  973.1     66.19     2.40    -9999
LARC       031028 300  133500-134000   00      68.65  973.0     65.19     0.80    -9999
LARC       031028 300  134000-134500   00      69.66  972.8     66.03     2.10    -9999
LARC       031028 300  134500-135000   00      70.14  972.3     66.25     2.50    -9999
LARC       031028 300  135000-135500   00      70.59  972.2     66.62     3.00    -9999
LARC       031028 300  135500-140000   00      68.90  972.1     64.97     0.50    -9999
LARC       031028 300  140000-140500   00      71.02  971.9     66.91     3.50    -9999
LARC       031028 300  140500-141000   00      71.02  971.1     66.51     2.90    -9999
LARC       031028 300  141000-141500   00      72.61  970.9     67.88     5.00    -9999
LARC       031028 300  141500-142000   00      71.00  970.6     66.23     2.40    -9999
LARC       031028 300  142000-142500   00      71.63  970.1     66.56     2.90    -9999
LARC       031028 300  142500-143000   00      69.84  969.6     64.66     0.00    -9999
LARC       031028 300  143000-143500   00      70.88  969.7     65.70     1.60    -9999
LARC       031028 300  143500-144000   00      70.74  969.7     65.55     1.40    -9999
LARC       031028 300  144000-144500   00      71.25  969.7     66.01     2.10    -9999
LARC       031028 300  144500-145000   00      69.54  969.3     64.24    -0.60    -9999
LARC       031028 300  145000-145500   00      70.57  969.3     65.22     0.90    -9999
LARC       031028 300  145500-150000   00      70.55  969.6     65.34     1.10    -9999
LARC       031028 300  150000-150500   00      71.84  969.5     66.47     2.80    -9999
LARC       031028 300  150500-151000   00      70.40  969.4     65.07     0.60    -9999
LARC       031028 300  151000-151500   00      72.21  969.0     66.56     3.00    -9999
LARC       031028 300  151500-152000   00      71.60  968.4     65.70     1.60    -9999
LARC       031028 300  152000-152500   00      71.94  968.5     66.09     2.20    -9999
LARC       031028 300  152500-153000   00      72.08  968.6     66.25     2.50    -9999
LARC       031028 300  153000-153500   00      72.65  968.7     66.81     3.30    -9999
LARC       031028 300  153500-154000   00      72.52  968.7     66.69     3.10    -9999
LARC       031028 300  154000-154500   00      72.16  968.7     66.35     2.60    -9999
LARC       031028 300  154500-155000   00      71.56  968.1     65.55     1.40    -9999
LARC       031028 300  155000-155500   00      72.66  968.1     66.54     2.90    -9999
LARC       031028 300  155500-160000   00      71.49  968.1     65.47     1.30    -9999
LARC       031028 300  160000-160500   00      71.83  968.1     65.77     1.70    -9999
LARC       031028 300  160500-161000   00      70.51  968.0     64.50    -0.20    -9999
LARC       031028 300  161000-161500   00      71.75  967.8     65.56     1.40    -9999
LARC       031028 300  161500-162000   00      73.99  966.8     67.10     3.80    -9999
LARC       031028 300  162000-162500   00      72.34  967.3     65.86     1.90    -9999
LARC       031028 300  162500-163000   00      71.79  967.7     65.56     1.40    -9999
LARC       031028 300  163000-163500   00      73.53  968.0     67.27     4.00    -9999
LARC       031028 300  163500-164000   00      73.32  967.6     66.91     3.50    -9999
LARC       031028 300  164000-164500   00      72.35  967.3     65.84     1.80    -9999
LARC       031028 300  164500-165000   00      73.10  967.1     66.45     2.80    -9999
LARC       031028 300  165000-165500   00      74.81  967.0     67.93     5.10    -9999
LARC       031028 300  165500-170000   00      72.80  967.1     66.19     2.40    -9999
LARC       031028 300  170000-170500   00      72.61  967.3     66.12     2.30    -9999
LARC       031028 300  170500-171000   00      74.16  966.6     67.14     3.80    -9999
LARC       031028 300  171000-171500   00      73.41  966.7     66.55     2.90    -9999
LARC       031028 300  171500-172000   00      75.32  966.9     68.37     5.70    -9999
LARC       031028 300  172000-172500   00      73.39  966.8     66.56     3.00    -9999
LARC       031028 300  172500-173000   00      73.88  966.8     66.98     3.60    -9999
LARC       031028 300  173000-173500   00      75.20  966.7     68.15     5.40    -9999
LARC       031028 300  173500-174000   00      72.71  966.5     65.80     1.80    -9999
LARC       031028 300  174000-174500   00      73.55  966.5     66.58     3.00    -9999
LARC       031028 300  174500-175000   00      72.68  966.3     65.69     1.60    -9999
LARC       031028 300  175000-175500   00      73.81  966.0     66.55     2.90    -9999
LARC       031028 300  175500-180000   00      75.25  966.3     68.00     5.20    -9999
LARC       031028 300  180000-180500   00      72.57  966.4     65.60     1.50    -9999
LARC       031028 300  180500-181000   00      75.22  965.9     67.78     4.80    -9999
LARC       031028 300  181000-181500   00      73.33  966.1     66.15     2.30    -9999
LARC       031028 300  181500-182000   00      74.31  966.2     67.11     3.80    -9999
LARC       031028 300  182000-182500   00      73.98  966.3     66.83     3.40    -9999
LARC       031028 300  182500-183000   00      74.39  966.0     67.07     3.70    -9999
LARC       031028 300  183000-183500   00      71.67  966.0     64.63     0.00    -9999
LARC       031028 300  183500-184000   00      73.69  966.0     66.41     2.70    -9999
LARC       031028 300  184000-184500   00      73.87  965.9     66.54     2.90    -9999
LARC       031028 300  184500-185000   00      73.70  966.0     66.45     2.80    -9999
LARC       031028 300  185000-185500   00      72.39  965.9     65.20     0.80    -9999
LARC       031028 300  185500-190000   00      72.85  965.9     65.63     1.50    -9999
LARC       031028 300  190000-190500   00      72.77  965.9     65.56     1.40    -9999
LARC       031028 300  190500-191000   00      73.05  965.8     65.75     1.70    -9999
LARC       031028 300  191000-191500   00      73.45  965.7     66.10     2.20    -9999
LARC       031028 300  191500-192000   00      72.52  965.9     65.32     1.00    -9999
LARC       031028 300  192000-192500   00      73.58  965.7     66.19     2.40    -9999
LARC       031028 300  192500-193000   00      73.90  965.7     66.49     2.80    -9999
LARC       031028 300  193000-193500   00      72.88  965.7     65.54     1.40    -9999
LARC       031028 300  193500-194000   00      74.75  965.7     67.22     4.00    -9999
LARC       031028 300  194000-194500   00      73.73  965.7     66.31     2.60    -9999
LARC       031028 300  194500-195000   00      73.95  965.7     66.51     2.90    -9999
LARC       031028 300  195000-195500   00      72.47  965.6     65.13     0.70    -9999
LARC       031028 300  195500-200000   00      72.97  965.5     65.54     1.40    -9999
LARC       031028 300  200000-200500   00      73.22  965.4     65.71     1.60    -9999
LARC       031028 300  200500-201000   00      74.46  965.3     66.78     3.30    -9999
LARC       031028 300  201000-201500   00      73.59  965.3     66.01     2.10    -9999
LARC       031028 300  201500-202000   00      74.89  965.3     67.19     3.90    -9999
LARC       031028 300  202000-202500   00      73.81  965.2     66.14     2.30    -9999
LARC       031028 300  202500-203000   00      72.73  965.2     65.20     0.80    -9999
LARC       031028 300  203000-203500   00      72.70  965.3     65.19     0.80    -9999
LARC       031028 300  203500-204000   00      73.45  965.2     65.81     1.80    -9999
LARC       031028 300  204000-204500   00      73.98  965.1     66.26     2.50    -9999
LARC       031028 300  204500-205000   00      74.46  965.1     66.69     3.10    -9999
LARC       031028 300  205000-205500   00      74.53  965.1     66.75     3.20    -9999
LARC       031028 300  205500-210000   00      72.80  965.0     65.16     0.80    -9999
LARC       031028 300  210000-210500   00      72.11  964.9     64.50    -0.20    -9999
LARC       031028 300  210500-211000   00      73.42  965.2     65.80     1.80    -9999
LARC       031028 300  211000-212100   00      73.33  965.4     65.80     1.80    -9999
LARC       031028 300  212000-212500   00      74.44  965.1     66.66     3.10    -9999
LARC       031028 300  212100-212000   00      72.71  965.2     65.19     0.80    -9999
LARC       031028 300  212500-213000   00      73.09  965.1     65.45     1.20    -9999
LARC       031028 300  213000-213500   00      73.19  965.1     65.53     1.40    -9999
LARC       031028 300  213500-214000   00      72.97  965.2     65.38     1.10    -9999
LARC       031028 300  214000-214500   00      73.01  965.1     65.41     1.20    -9999
LARC       031028 300  214500-215000   00      72.81  965.1     65.19     0.80    -9999
LARC       031028 300  215000-215500   00      73.37  964.9     65.61     1.50    -9999
LARC       031028 300  215500-220000   00      74.54  965.0     66.69     3.10    -9999
LARC       031028 300  220000-220500   00      73.18  964.9     65.45     1.20    -9999
LARC       031028 300  220500-221000   00      71.94  964.9     64.35    -0.50    -9999
LARC       031028 300  221000-221500   00      73.35  965.0     65.62     1.50    -9999
LARC       031028 300  221500-222000   00      73.40  964.9     65.65     1.50    -9999
LARC       031028 300  222000-222500   00      73.31  964.9     65.54     1.40    -9999
LARC       031028 300  222500-223000   00      73.36  964.8     65.56     1.40    -9999
LARC       031028 300  223000-223500   00      73.95  965.0     66.16     2.30    -9999
LARC       031028 300  223500-224000   00      72.84  965.1     65.26     0.90    -9999
LARC       031028 300  224000-224500   00      74.04  965.1     66.29     2.50    -9999
LARC       031028 300  224500-225000   00      72.92  965.2     65.35     1.10    -9999
LARC       031028 300  225000-225500   00      74.44  965.3     66.76     3.30    -9999
LARC       031028 300  225500-230000   00      71.65  965.4     64.31    -0.50    -9999
LARC       031028 300  230000-230500   00      73.16  965.1     65.54     1.40    -9999
LARC       031028 300  230500-231000   00      73.88  965.5     66.36     2.60    -9999
LARC       031028 300  231000-231500   00      71.78  965.3     64.39    -0.40    -9999
LARC       031028 300  231500-232000   00      72.65  965.5     65.24     0.90    -9999
LARC       031028 300  232000-232500   00      75.02  965.7     67.47     4.30    -9999
LARC       031028 300  232500-233000   00      73.89  965.5     66.39     2.70    -9999
LARC       031028 300  233000-233500   00      73.39  965.8     66.08     2.20    -9999
LARC       031028 300  233500-234000   00      73.00  966.0     65.81     1.80    -9999
LARC       031028 300  234000-234500   00      73.00  966.2     65.89     1.90    -9999
LARC       031028 300  234500-235000   00      72.50  966.2     65.46     1.20    -9999
LARC       031028 300  235000-235500   00      73.28  966.0     66.06     2.20    -9999
LARC       031028 300  235500-240000   00      72.88  966.2     65.79     1.70    -9999
LARC       031029 3600 000000-010000   00      73.10  966.3     66.04     2.10    -9999
LARC       031029 3600 010000-020000   00      73.78  965.9     66.49     2.80    -9999
LARC       031029 3600 020000-030000   00      73.48  965.7     66.10     2.20    -9999
LARC       031029 3600 030000-040000   00      73.18  965.8     65.91     1.90    -9999
LARC       031029 3600 040000-050000   00      73.13  966.1     65.96     2.00    -9999
LARC       031029 3600 050000-060000   00      72.88  966.5     65.96     1.90    -9999
LARC       031029 3600 060000-070000   00      70.57  967.3     64.22    -0.70    -9999
LARC       031029 3600 070000-080000   00      69.35  968.0     63.45    -1.90    -9999
LARC       031029 3600 080000-090000   00      68.87  968.9     63.43    -2.00    -9999
LARC       031029 3600 090000-100000   00      67.94  969.6     62.90    -2.80    -9999
LARC       031029 3600 100000-110000   00      66.31  970.5     61.83    -4.40    -9999
LARC       031029 3600 110000-120000   00      63.54  971.3     59.58    -7.90    -9999
LARC       031029 3600 120000-130000   00      60.81  971.7     57.19   -11.60    -9999
LARC       031029 3600 130000-140000   00      58.24  972.0     54.90   -15.10    -9999
LARC       031029 3600 140000-150000   00      56.30  972.2     53.14   -17.90    -9999
LARC       031029 3600 150000-160000   00      56.15  972.6     53.16   -17.80    -9999
LARC       031029 3600 160000-170000   00      55.81  972.3     52.71   -18.50    -9999
LARC       031029 3600 170000-180000   00      55.64  971.7     52.33   -19.10    -9999
LARC       031029 3600 180000-190000   00      57.53  971.3     53.94   -16.60    -9999
LARC       031029 3600 190000-200000   00      59.13  970.9     55.29   -14.50    -9999
LARC       031029 3600 200000-210000   00      59.14  970.1     54.96   -15.00    -9999
LARC       031029 3600 210000-220000   00      62.34  968.7     57.33   -11.40    -9999
LARC       031029 3600 220000-230000   00      63.53  967.8     58.06   -10.30    -9999
LARC       031029 3600 230000-240000   00      65.61  966.9     59.54    -8.00    -9999
*
COMMENT    ALERT FROM M. STORINI (head IFSI-R.U.: SVIRCO OBSERVATORY & LTP)
COMMENT    PRELIMINARY DATA PREPARED BY E.OLIVARES CANOUET 
COMMENT    DATA VERIFIED BY E.CORDARO CARDENAS: 2003-10-30
COMMENT    TO ACKNOWLEDGE: 
COMMENT    CHILE/ITALY COLLABORATION FOR LARC via INACH/PNRA
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2023-04-03 12:51:18 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE65/C065LARC.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
