SOUTH POLE LATITUDE    -90       LONGITUDE     0         ALTITUDE    2820 M
SOUTH POLE INSTRUMENT   3NM64    NEUTRON MONITOR     	
SOUTH POLE STANDARD PRESSURE    680     MB     COEFFICIENT   -0.69     % / MB
SOUTH POLE PRE-INCREASE BASELINE TIME INTERVAL    211028    130000-150000   UT
SOUTH POLE PRE-INCREASE AVERAGE COUNTING RATE    324.85      COUNTS PER SECOND
SOUTH POLE TIME INTERVALS    300         3600     
SOUTH POLE SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
SOUTH POLE 211028 300  142500-143000   00     320.89  680.6    322.65    -0.68    -9999
SOUTH POLE 211028 300  143000-143500   00     324.74  680.6    326.48     0.50    -9999
SOUTH POLE 211028 300  143500-144000   00     325.05  680.7    326.89     0.63    -9999
SOUTH POLE 211028 300  144000-144500   00     321.98  680.7    323.78    -0.33    -9999
SOUTH POLE 211028 300  144500-145000   00     324.07  680.7    326.02     0.36    -9999
SOUTH POLE 211028 300  145000-145500   00     325.43  680.8    327.60     0.85    -9999
SOUTH POLE 211028 300  145500-150000   00     323.26  680.8    325.52     0.21    -9999
SOUTH POLE 211028 300  150000-150500   00     323.99  680.9    326.25     0.43     0.49
SOUTH POLE 211028 300  150500-151000   00     320.63  680.9    322.97    -0.58    -0.51
SOUTH POLE 211028 300  151000-151500   00     319.20  680.9    321.63    -0.99    -0.92
SOUTH POLE 211028 300  151500-152000   00     320.71  681.0    323.25    -0.49    -0.41
SOUTH POLE 211028 300  152000-152500   00     321.20  681.0    323.76    -0.34    -0.26
SOUTH POLE 211028 300  152500-153000   00     322.93  681.0    325.63     0.24     0.33
SOUTH POLE 211028 300  153000-153500   00     321.92  681.1    324.85     0.00     0.09
SOUTH POLE 211028 300  153500-154000   00     320.29  681.2    323.42    -0.44    -0.34
SOUTH POLE 211028 300  154000-154500   00     318.99  681.2    322.14    -0.83    -0.73
SOUTH POLE 211028 300  154500-155000   00     324.72  681.3    328.08     0.99     1.10
SOUTH POLE 211028 300  155000-155500   00     326.16  681.3    329.50     1.43     1.54
SOUTH POLE 211028 300  155500-160000   00     328.45  681.3    331.79     2.14     2.26
SOUTH POLE 211028 300  160000-160500   00     328.16  681.3    331.54     2.06     2.18
SOUTH POLE 211028 300  160500-161000   00     332.90  681.3    336.32     3.53     3.66
SOUTH POLE 211028 300  161000-161500   00     332.30  681.4    335.90     3.40     3.53
SOUTH POLE 211028 300  161500-162000   00     334.55  681.4    338.29     4.14     4.28
SOUTH POLE 211028 300  162000-162500   00     336.21  681.4    340.09     4.69     4.83
SOUTH POLE 211028 300  162500-163000   00     337.17  681.5    341.28     5.06     5.21
SOUTH POLE 211028 300  163000-163500   00     334.51  681.6    338.66     4.25     4.40
SOUTH POLE 211028 300  163500-164000   00     335.65  681.5    339.76     4.59     4.75
SOUTH POLE 211028 300  164000-164500   00     334.89  681.6    339.04     4.37     4.53
SOUTH POLE 211028 300  164500-165000   00     334.28  681.6    338.63     4.24     4.41
SOUTH POLE 211028 300  165000-165500   00     334.64  681.7    339.20     4.42     4.59
SOUTH POLE 211028 300  165500-170000   00     335.18  681.8    339.83     4.61     4.79
SOUTH POLE 211028 300  170000-170500   00     336.00  681.8    340.77     4.90     5.08
SOUTH POLE 211028 300  170500-171000   00     335.05  681.8    339.73     4.58     4.77
SOUTH POLE 211028 300  171000-171500   00     335.40  681.7    340.01     4.67     4.86
SOUTH POLE 211028 300  171500-172000   00     332.35  681.7    336.93     3.72     3.92
SOUTH POLE 211028 300  172000-172500   00     335.76  681.8    340.46     4.81     5.01
SOUTH POLE 211028 300  172500-173000   00     335.17  681.8    340.01     4.67     4.88
SOUTH POLE 211028 300  173000-173500   00     334.48  681.9    339.46     4.50     4.71
SOUTH POLE 211028 300  173500-174000   00     331.86  681.9    336.84     3.69     3.91
SOUTH POLE 211028 300  174000-174500   00     332.18  681.9    337.16     3.79     4.01
SOUTH POLE 211028 300  174500-175000   00     332.19  681.9    337.28     3.83     4.06
SOUTH POLE 211028 300  175000-175500   00     333.19  682.0    338.46     4.19     4.42
SOUTH POLE 211028 300  175500-180000   00     333.40  682.0    338.63     4.24     4.48
SOUTH POLE 211028 300  180000-180500   00     331.48  681.9    336.59     3.61     3.85
SOUTH POLE 211028 300  180500-181000   00     330.35  681.9    335.35     3.23     3.48
SOUTH POLE 211028 300  181000-181500   00     331.80  681.9    336.74     3.66     3.91
SOUTH POLE 211028 300  181500-182000   00     333.46  681.9    338.48     4.20     4.46
SOUTH POLE 211028 300  182000-182500   00     332.24  681.9    337.28     3.83     4.09
SOUTH POLE 211028 300  182500-183000   00     329.94  681.9    334.95     3.11     3.38
SOUTH POLE 211028 300  183000-183500   00     328.92  681.9    333.88     2.78     3.05
SOUTH POLE 211028 300  183500-184000   00     330.75  681.9    335.83     3.38     3.66
SOUTH POLE 211028 300  184000-184500   00     329.53  682.0    334.70     3.03     3.31
SOUTH POLE 211028 300  184500-185000   00     330.69  682.0    335.95     3.42     3.71
SOUTH POLE 211028 300  185000-185500   00     330.61  682.1    336.09     3.46     3.75
SOUTH POLE 211028 300  185500-190000   00     328.28  682.1    333.75     2.74     3.04
SOUTH POLE 211028 300  190000-190500   00     327.02  682.1    332.46     2.34     2.64
SOUTH POLE 211028 300  190500-191000   00     327.04  682.1    332.51     2.36     2.67
SOUTH POLE 211028 300  191000-191500   00     326.96  682.1    332.52     2.36     2.67
SOUTH POLE 211028 300  191500-192000   00     326.43  682.2    332.08     2.23     2.55
SOUTH POLE 211028 300  192000-192500   00     329.22  682.2    334.98     3.12     3.44
SOUTH POLE 211028 300  192500-193000   00     324.48  682.2    330.23     1.66     1.99
SOUTH POLE 211028 300  193000-193500   00     325.49  682.3    331.37     2.01     2.34
SOUTH POLE 211028 300  193500-194000   00     326.73  682.4    332.82     2.45     2.79
SOUTH POLE 211028 300  194000-194500   00     324.96  682.4    331.15     1.94     2.28
SOUTH POLE 211028 300  194500-195000   00     323.00  682.4    329.15     1.32     1.67
SOUTH POLE 211028 300  195000-195500   00     323.83  682.4    329.93     1.56     1.91
SOUTH POLE 211028 300  195500-200000   00     324.76  682.4    330.93     1.87     2.23
SOUTH POLE 211028 300  200000-200500   00     324.65  682.5    330.91     1.87     2.23
SOUTH POLE 211028 300  200500-201000   00     322.34  682.5    328.64     1.17     1.54
SOUTH POLE 211028 300  201000-201500   00     323.27  682.5    329.69     1.49     1.86
SOUTH POLE 211028 300  201500-202000   00     322.32  682.6    328.81     1.22     1.60
SOUTH POLE 211028 300  202000-202500   00     323.49  682.6    330.07     1.61     1.99
SOUTH POLE 211028 300  202500-203000   00     324.59  682.6    331.25     1.97     2.36
SOUTH POLE 211028 300  203000-203500   00     325.16  682.6    331.86     2.16     2.55
SOUTH POLE 211028 300  203500-204000   00     324.07  682.7    330.87     1.85     2.25
SOUTH POLE 211028 300  204000-204500   00     326.05  682.7    332.96     2.50     2.90
