POTCHEFSTR LATITUDE    -26.68    LONGITUDE     27.92     ALTITUDE    1351 M
POTCHEFSTR INSTRUMENT   12IGY    NEUTRON MONITOR     
POTCHEFSTR STANDARD PRESSURE    660     MMHG   COEFFICIENT   0.99      % / MMHG
POTCHEFSTR PRE-INCREASE BASELINE TIME INTERVAL    010415    120000-130000   UT
POTCHEFSTR PRE-INCREASE AVERAGE COUNTING RATE     49.61      COUNTS PER SECOND
POTCHEFSTR TIME INTERVALS    300         3600     
POTCHEFSTR SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S    (MMHG)     C/S
POTCHEFSTR 010415 300  103500-104000   00      51.61  653.4     48.34    -2.60    -9999
POTCHEFSTR 010415 300  104000-104500   00      53.12  653.3     49.71     0.20    -9999
POTCHEFSTR 010415 300  104500-105000   00      52.64  653.3     49.25    -0.70    -9999
POTCHEFSTR 010415 300  105000-105500   00      52.13  653.2     48.73    -1.80    -9999
POTCHEFSTR 010415 300  105500-110000   00      52.16  653.2     48.77    -1.70    -9999
POTCHEFSTR 010415 300  110000-110500   00      52.80  653.1     49.30    -0.60    -9999
POTCHEFSTR 010415 300  110500-111000   00      53.05  653.0     49.50    -0.20    -9999
POTCHEFSTR 010415 300  111000-111500   00      53.28  653.0     49.71     0.20    -9999
POTCHEFSTR 010415 300  111500-112000   00      52.45  653.0     48.92    -1.40    -9999
POTCHEFSTR 010415 300  112000-112500   00      52.02  652.9     48.49    -2.30    -9999
POTCHEFSTR 010415 300  112500-113000   00      52.83  652.9     49.24    -0.70    -9999
POTCHEFSTR 010415 300  113000-113500   00      53.57  652.8     49.90     0.60    -9999
POTCHEFSTR 010415 300  113500-114000   00      54.45  652.8     50.70     2.20    -9999
POTCHEFSTR 010415 300  114000-114500   00      52.54  652.7     48.88    -1.50    -9999
POTCHEFSTR 010415 300  114500-115000   00      52.67  652.7     49.00    -1.20    -9999
POTCHEFSTR 010415 300  115000-115500   00      53.15  652.7     49.45    -0.30    -9999
POTCHEFSTR 010415 300  115500-120000   00      52.74  652.7     49.06    -1.10    -9999
POTCHEFSTR 010415 300  120000-120500   00      54.46  652.7     50.65     2.10    -9999
POTCHEFSTR 010415 300  120500-121000   00      52.20  652.6     48.51    -2.20    -9999
POTCHEFSTR 010415 300  121000-121500   00      53.57  652.6     49.79     0.40    -9999
POTCHEFSTR 010415 300  121500-122000   00      54.05  652.6     50.23     1.20    -9999
POTCHEFSTR 010415 300  122000-122500   00      53.00  652.6     49.26    -0.70    -9999
POTCHEFSTR 010415 300  122500-123000   00      52.27  652.6     48.58    -2.10    -9999
POTCHEFSTR 010415 300  123000-123500   00      54.35  652.6     50.51     1.80    -9999
POTCHEFSTR 010415 300  123500-124000   00      52.83  652.6     49.10    -1.00    -9999
POTCHEFSTR 010415 300  124000-124500   00      53.30  652.7     49.58    -0.10    -9999
POTCHEFSTR 010415 300  124500-125000   00      53.57  652.7     49.84     0.50    -9999
POTCHEFSTR 010415 300  125000-125500   00      52.75  652.7     49.08    -1.10    -9999
POTCHEFSTR 010415 300  125500-130000   00      53.94  652.7     50.18     1.10    -9999
POTCHEFSTR 010415 300  130000-130500   00      53.02  652.7     49.32    -0.60    -9999
POTCHEFSTR 010415 300  130500-131000   00      53.39  652.6     49.64     0.10    -9999
POTCHEFSTR 010415 300  131000-131500   00      53.41  652.6     49.64     0.10    -9999
POTCHEFSTR 010415 300  131500-132000   00      52.98  652.6     49.23    -0.80    -9999
POTCHEFSTR 010415 300  132000-132500   00      53.79  652.6     49.99     0.80    -9999
POTCHEFSTR 010415 300  132500-133000   00      53.40  652.5     49.59     0.00    -9999
POTCHEFSTR 010415 300  133000-133500   00      53.59  652.5     49.75     0.30    -9999
POTCHEFSTR 010415 300  133500-134000   00      52.28  652.5     48.54    -2.20    -9999
POTCHEFSTR 010415 300  134000-134500   00      52.21  652.5     48.48    -2.30    -9999
POTCHEFSTR 010415 300  134500-135000   00      53.22  652.5     49.43    -0.40    -9999
POTCHEFSTR 010415 300  135000-135500   00      55.04  652.6     51.15     3.10    -9999
POTCHEFSTR 010415 300  135500-140000   00      53.81  652.6     50.01     0.80    -9999
POTCHEFSTR 010415 300  140000-140500   00      52.94  652.6     49.20    -0.80    -9999
POTCHEFSTR 010415 300  140500-141000   00      52.42  652.7     48.75    -1.70    -9999
POTCHEFSTR 010415 300  141000-141500   00      52.63  652.7     48.96    -1.30    -9999
POTCHEFSTR 010415 300  141500-142000   00      54.31  652.7     50.52     1.80    -9999
POTCHEFSTR 010415 300  142000-142500   00      54.25  652.7     50.47     1.70    -9999
POTCHEFSTR 010415 300  142500-143000   00      53.66  652.7     49.91     0.60    -9999
POTCHEFSTR 010415 300  143000-143500   00      53.68  652.6     49.88     0.50    -9999
POTCHEFSTR 010415 300  143500-144000   00      53.30  652.6     49.53    -0.20    -9999
POTCHEFSTR 010415 300  144000-144500   00      52.75  652.6     49.03    -1.20    -9999
POTCHEFSTR 010415 300  144500-145000   00      53.14  652.6     49.38    -0.50    -9999
POTCHEFSTR 010415 300  145000-145500   00      52.94  652.5     49.16    -0.90    -9999
POTCHEFSTR 010415 300  145500-150000   00      53.30  652.6     49.52    -0.20    -9999
POTCHEFSTR 010415 300  150000-150500   00      52.91  652.6     49.17    -0.90    -9999
POTCHEFSTR 010415 300  150500-151000   00      52.61  652.6     48.89    -1.50    -9999
POTCHEFSTR 010415 300  151000-151500   00      54.95  652.6     51.07     2.90    -9999
POTCHEFSTR 010415 300  151500-152000   00      52.92  652.7     49.22    -0.80    -9999
POTCHEFSTR 010415 300  152000-152500   00      53.38  652.7     49.66     0.10    -9999
POTCHEFSTR 010415 300  152500-153000   00      53.43  652.7     49.71     0.20    -9999
POTCHEFSTR 010415 300  153000-153500   00      52.74  652.7     49.08    -1.10    -9999
POTCHEFSTR 010415 300  153500-154000   00      54.23  652.8     50.50     1.80    -9999
POTCHEFSTR 010415 300  154000-154500   00      54.21  652.8     50.49     1.80    -9999
POTCHEFSTR 010415 300  154500-155000   00      53.32  652.9     49.69     0.20    -9999
POTCHEFSTR 010415 300  155000-155500   00      53.72  652.8     50.05     0.90    -9999
POTCHEFSTR 010415 300  155500-160000   00      53.00  652.9     49.40    -0.40    -9999
POTCHEFSTR 010415 300  160000-160500   00      53.32  652.9     49.70     0.20    -9999
POTCHEFSTR 010415 300  160500-161000   00      53.63  652.9     49.99     0.80    -9999
POTCHEFSTR 010415 300  161000-161500   00      53.94  652.9     50.28     1.40    -9999
POTCHEFSTR 010415 300  161500-162000   00      52.19  652.9     48.65    -1.90    -9999
POTCHEFSTR 010415 300  162000-162500   00      52.60  653.0     49.07    -1.10    -9999
POTCHEFSTR 010415 300  162500-163000   00      54.11  653.0     50.49     1.80    -9999
POTCHEFSTR 010415 300  163000-163500   00      52.49  653.1     49.01    -1.20    -9999
POTCHEFSTR 010415 300  163500-164000   00      52.17  653.1     48.73    -1.80    -9999
POTCHEFSTR 010415 300  164000-164500   00      52.61  653.1     49.14    -0.90    -9999
POTCHEFSTR 010415 300  164500-165000   00      53.12  653.1     49.62     0.00    -9999
POTCHEFSTR 010415 300  165000-165500   00      52.15  653.1     48.71    -1.80    -9999
POTCHEFSTR 010415 300  165500-170000   00      52.86  653.1     49.37    -0.50    -9999
POTCHEFSTR 010415 300  170000-170500   00      52.98  653.2     49.51    -0.20    -9999
POTCHEFSTR 010415 300  170500-171000   00      52.20  653.2     48.81    -1.60    -9999
