NAIN       LATITUDE    56.6      LONGITUDE     -61.7     ALTITUDE    0 M
NAIN       INSTRUMENT   18NM64    NEUTRON MONITOR     	
NAIN       STANDARD PRESSURE    1013.3  MB     COEFFICIENT   -0.72     % / MB
NAIN       PRE-INCREASE BASELINE TIME INTERVAL    211028    130000-150000   UT
NAIN       PRE-INCREASE AVERAGE COUNTING RATE    226.45      COUNTS PER SECOND
NAIN       TIME INTERVALS    300         3600     
NAIN       SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
NAIN       211028 300  145500-150000   00     217.91 1018.8    227.96     0.67    -9999
NAIN       211028 300  150000-150500   00     216.50 1018.8    226.59     0.06    -0.03
NAIN       211028 300  150500-151000   00     218.07 1018.9    228.39     0.86     0.76
NAIN       211028 300  151000-151500   00     216.95 1018.8    227.06     0.27     0.17
NAIN       211028 300  151500-152000   00     215.28 1018.6    225.01    -0.63    -0.74
NAIN       211028 300  152000-152500   00     215.83 1018.5    225.37    -0.48    -0.60
NAIN       211028 300  152500-153000   00     216.55 1018.5    226.06    -0.17    -0.29
NAIN       211028 300  153000-153500   00     217.14 1018.4    226.61     0.07    -0.06
NAIN       211028 300  153500-154000   00     215.26 1018.4    224.55    -0.84    -0.97
NAIN       211028 300  154000-154500   00     216.94 1018.2    225.99    -0.20    -0.33
NAIN       211028 300  154500-155000   00     219.94 1018.2    229.13     1.19     1.05
NAIN       211028 300  155000-155500   00     218.62 1018.2    227.70     0.55     0.41
NAIN       211028 300  155500-160000   00     221.47 1018.1    230.61     1.84     1.69
NAIN       211028 300  160000-160500   00     219.87 1018.1    228.91     1.09     0.94
NAIN       211028 300  160500-161000   00     220.61 1018.1    229.63     1.41     1.26
NAIN       211028 300  161000-161500   00     223.87 1018.1    233.10     2.94     2.78
NAIN       211028 300  161500-162000   00     222.88 1018.1    232.08     2.49     2.33
NAIN       211028 300  162000-162500   00     223.04 1018.0    232.00     2.45     2.29
NAIN       211028 300  162500-163000   00     221.60 1017.8    230.23     1.67     1.51
NAIN       211028 300  163000-163500   00     222.67 1017.8    231.30     2.14     1.97
NAIN       211028 300  163500-164000   00     224.06 1017.9    232.84     2.82     2.65
NAIN       211028 300  164000-164500   00     222.28 1017.8    230.86     1.95     1.78
NAIN       211028 300  164500-165000   00     224.21 1017.7    232.76     2.79     2.62
NAIN       211028 300  165000-165500   00     224.55 1017.7    233.02     2.90     2.73
NAIN       211028 300  165500-170000   00     223.54 1017.7    231.94     2.43     2.26
NAIN       211028 300  170000-170500   00     223.42 1017.6    231.75     2.34     2.17
NAIN       211028 300  170500-171000   00     222.09 1017.6    230.29     1.70     1.53
NAIN       211028 300  171000-171500   00     223.80 1017.4    231.78     2.36     2.19
NAIN       211028 300  171500-172000   00     222.03 1017.3    229.78     1.47     1.30
NAIN       211028 300  172000-172500   00     223.49 1017.3    231.35     2.17     2.00
NAIN       211028 300  172500-173000   00     220.22 1017.4    228.07     0.72     0.55
NAIN       211028 300  173000-173500   00     222.12 1017.4    229.98     1.56     1.39
NAIN       211028 300  173500-174000   00     221.96 1017.4    229.80     1.48     1.31
NAIN       211028 300  174000-174500   00     220.47 1017.3    228.23     0.79     0.62
NAIN       211028 300  174500-175000   00     219.91 1017.3    227.56     0.49     0.32
NAIN       211028 300  175000-175500   00     221.77 1017.3    229.44     1.32     1.16
NAIN       211028 300  175500-180000   00     221.08 1017.2    228.64     0.97     0.81
NAIN       211028 300  180000-180500   00     221.93 1017.2    229.51     1.35     1.19
NAIN       211028 300  180500-181000   00     221.52 1017.2    229.00     1.13     0.97
NAIN       211028 300  181000-181500   00     221.51 1017.2    229.02     1.14     0.99
NAIN       211028 300  181500-182000   00     217.44 1017.2    224.81    -0.72    -0.87
NAIN       211028 300  182000-182500   00     222.95 1017.1    230.43     1.76     1.61
NAIN       211028 300  182500-183000   00     223.69 1017.1    231.07     2.04     1.90
NAIN       211028 300  183000-183500   00     223.87 1017.1    231.40     2.19     2.05
NAIN       211028 300  183500-184000   00     219.06 1017.2    226.53     0.04    -0.09
NAIN       211028 300  184000-184500   00     221.11 1017.1    228.55     0.93     0.80
NAIN       211028 300  184500-185000   00     219.40 1017.1    226.63     0.08    -0.05
NAIN       211028 300  185000-185500   00     223.15 1016.9    230.27     1.69     1.57
NAIN       211028 300  185500-190000   00     222.23 1016.8    229.11     1.18     1.06
NAIN       211028 300  190000-190500   00     221.06 1016.8    227.82     0.61     0.50
NAIN       211028 300  190500-191000   00     222.58 1016.7    229.36     1.29     1.19
NAIN       211028 300  191000-191500   00     220.10 1016.8    226.83     0.17     0.07
NAIN       211028 300  191500-192000   00     218.82 1016.8    225.58    -0.38    -0.47
NAIN       211028 300  192000-192500   00     222.58 1016.8    229.47     1.33     1.24
NAIN       211028 300  192500-193000   00     219.80 1016.8    226.57     0.05    -0.03
NAIN       211028 300  193000-193500   00     220.52 1016.7    227.09     0.29     0.22
NAIN       211028 300  193500-194000   00     221.77 1016.6    228.36     0.84     0.77
NAIN       211028 300  194000-194500   00     221.92 1016.6    228.47     0.89     0.83
NAIN       211028 300  194500-195000   00     221.46 1016.6    227.90     0.64     0.59
NAIN       211028 300  195000-195500   00     221.86 1016.5    228.22     0.78     0.74
NAIN       211028 300  195500-200000   00     219.41 1016.4    225.58    -0.38    -0.41
NAIN       211028 300  200000-200500   00     222.69 1016.4    228.86     1.07     1.04
NAIN       211028 300  200500-201000   00     222.45 1016.3    228.53     0.92     0.90
NAIN       211028 300  201000-201500   00     222.59 1016.3    228.68     0.99     0.98
NAIN       211028 300  201500-202000   00     218.63 1016.3    224.64    -0.80    -0.80
NAIN       211028 300  202000-202500   00     221.60 1016.3    227.56     0.49     0.50
NAIN       211028 300  202500-203000   00     222.12 1016.2    228.06     0.71     0.73
NAIN       211028 300  203000-203500   00     222.41 1016.2    228.26     0.80     0.83
NAIN       211028 300  203500-204000   00     219.94 1016.2    225.70    -0.33    -0.29
NAIN       211028 300  204000-204500   00     220.33 1016.2    226.09    -0.16    -0.11
NAIN       211028 300  204500-205000   00     219.34 1016.2    225.08    -0.60    -0.54
NAIN       211028 300  205000-205500   00     219.75 1016.1    225.32    -0.50    -0.43
NAIN       211028 300  205500-210000   00     217.35 1016.1    222.91    -1.56    -1.48
NAIN       211028 300  210000-210500   00     221.71 1016.1    227.41     0.43    -9999
NAIN       211028 300  210500-211000   00     219.63 1016.2    225.23    -0.53    -9999
NAIN       211028 300  211000-211500   00     219.95 1016.1    225.55    -0.39    -9999
NAIN       211028 300  211500-212000   00     219.37 1016.1    224.92    -0.68    -9999
NAIN       211028 300  212000-212500   00     221.41 1016.0    226.99     0.24    -9999
NAIN       211028 300  212500-213000   00     220.59 1016.0    226.13    -0.14    -9999
NAIN       211028 300  213000-213500   00     220.25 1015.9    225.55    -0.40    -9999
NAIN       211028 300  213500-214000   00     221.46 1015.9    226.72     0.12    -9999
NAIN       211028 300  214000-214500   00     221.25 1016.0    226.72     0.12    -9999
NAIN       211028 300  214500-215000   00     220.23 1016.0    225.70    -0.33    -9999
NAIN       211028 300  215000-215500   00     220.20 1016.0    225.68    -0.34    -9999
NAIN       211028 300  215500-220000   00     218.72 1016.1    224.26    -0.96    -9999
NAIN       211028 300  220000-220500   00     220.91 1016.1    226.59     0.06    -9999
NAIN       211028 300  220500-221000   00     219.21 1016.0    224.69    -0.77    -9999
NAIN       211028 300  221000-221500   00     219.30 1016.0    224.75    -0.75    -9999
NAIN       211028 300  221500-222000   00     221.76 1016.0    227.31     0.38    -9999
NAIN       211028 300  222000-222500   00     222.21 1016.0    227.74     0.57    -9999
NAIN       211028 300  222500-223000   00     222.53 1016.0    228.00     0.69    -9999
NAIN       211028 300  223000-223500   00     223.11 1016.0    228.63     0.97    -9999
NAIN       211028 300  223500-224000   00     219.35 1016.0    224.86    -0.70    -9999
NAIN       211028 300  224000-224500   00     218.39 1016.1    223.90    -1.12    -9999
NAIN       211028 300  224500-225000   00     220.10 1016.1    225.71    -0.33    -9999
NAIN       211028 300  225000-225500   00     220.43 1016.1    226.12    -0.14    -9999
NAIN       211028 300  225500-230000   00     219.49 1016.2    225.20    -0.55    -9999
NAIN       211028 300  230000-230500   00     219.46 1016.2    225.30    -0.50    -9999
NAIN       211028 300  230500-231000   00     217.88 1016.3    223.79    -1.17    -9999
NAIN       211028 300  231000-231500   00     217.99 1016.3    223.89    -1.13    -9999
NAIN       211028 300  231500-232000   00     219.65 1016.2    225.52    -0.41    -9999
NAIN       211028 300  232000-232500   00     220.23 1016.3    226.14    -0.13    -9999
NAIN       211028 300  232500-233000   00     217.94 1016.2    223.74    -1.19    -9999
NAIN       211028 300  233000-233500   00     219.05 1016.2    224.88    -0.69    -9999
NAIN       211028 300  233500-234000   00     220.40 1016.2    226.29    -0.07    -9999
NAIN       211028 300  234000-234500   00     220.06 1016.2    225.89    -0.24    -9999
NAIN       211028 300  234500-235000   00     219.32 1016.2    225.11    -0.59    -9999
NAIN       211028 300  235000-235500   00     218.90 1016.2    224.61    -0.81    -9999
NAIN       211028 300  235500-240000   00     219.79 1016.1    225.48    -0.42    -9999
NAIN       211029 3600 000000-010000   00     218.05 1016.0    223.49    -1.30    -9999
NAIN       211029 3600 010000-020000   00     217.61 1015.9    222.91    -1.56    -9999
NAIN       211029 3600 020000-030000   00     218.31 1015.7    223.25    -1.41    -9999
NAIN       211029 3600 030000-040000   00     218.84 1015.4    223.34    -1.37    -9999
