INUVIK     LATITUDE    68.35     LONGITUDE     -133.72   ALTITUDE    21 M
INUVIK     INSTRUMENT   18NM64    NEUTRON MONITOR     	
INUVIK     STANDARD PRESSURE    1000    MB     COEFFICIENT   -0.58     % / MB
INUVIK     PRE-INCREASE BASELINE TIME INTERVAL    211028    130000-150000   UT
INUVIK     PRE-INCREASE AVERAGE COUNTING RATE    199.33      COUNTS PER SECOND
INUVIK     TIME INTERVALS    300         3600     
INUVIK     SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
INUVIK     211028 300  145000-145500   00     217.77 1002.4    200.75     0.71    -9999
INUVIK     211028 300  145500-150000   00     215.44 1002.4    198.65    -0.34    -9999
INUVIK     211028 300  150000-150500   00     214.95 1002.4    198.18    -0.58    -0.78
INUVIK     211028 300  150500-151000   00     218.81 1002.4    201.75     1.21     0.99
INUVIK     211028 300  151000-151500   00     218.07 1002.5    201.13     0.90     0.67
INUVIK     211028 300  151500-152000   00     213.11 1002.5    196.64    -1.35    -1.60
INUVIK     211028 300  152000-152500   00     216.83 1002.5    200.13     0.40     0.13
INUVIK     211028 300  152500-153000   00     216.49 1002.5    199.80     0.23    -0.05
INUVIK     211028 300  153000-153500   00     214.50 1002.5    197.93    -0.71    -1.01
INUVIK     211028 300  153500-154000   00     215.85 1002.5    199.17    -0.08    -0.39
INUVIK     211028 300  154000-154500   00     214.73 1002.5    198.13    -0.60    -0.93
INUVIK     211028 300  154500-155000   00     219.29 1002.5    202.35     1.51     1.17
INUVIK     211028 300  155000-155500   00     215.69 1002.5    199.03    -0.15    -0.50
INUVIK     211028 300  155500-160000   00     218.74 1002.5    201.79     1.23     0.86
INUVIK     211028 300  160000-160500   00     216.60 1002.5    199.82     0.25    -0.13
INUVIK     211028 300  160500-161000   00     220.53 1002.5    203.45     2.07     1.67
INUVIK     211028 300  161000-161500   00     220.52 1002.5    203.44     2.06     1.65
INUVIK     211028 300  161500-162000   00     219.25 1002.5    202.34     1.51     1.09
