SOUTH POLE LATITUDE    -90       LONGITUDE     0         ALTITUDE    2820 M
SOUTH POLE INSTRUMENT   3NM64    NEUTRON MONITOR     	
SOUTH POLE STANDARD PRESSURE    676.4   MB     COEFFICIENT   -0.75     % / MB
SOUTH POLE PRE-INCREASE BASELINE TIME INTERVAL    010415    120000-130000   UT
SOUTH POLE PRE-INCREASE AVERAGE COUNTING RATE    250.08      COUNTS PER SECOND
SOUTH POLE TIME INTERVALS    300         3600     
SOUTH POLE SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
SOUTH POLE 010415 300  114000-114500   00     249.23  676.4    249.23    -0.30    -9999
SOUTH POLE 010415 300  114500-115000   00     248.56  676.4    248.56    -0.60    -9999
SOUTH POLE 010415 300  115000-115500   00     250.11  676.4    250.11     0.00    -9999
SOUTH POLE 010415 300  115500-120000   00     247.45  676.4    247.45    -1.10    -9999
SOUTH POLE 010415 300  120000-120500   00     248.93  676.4    248.99    -0.40    -9999
SOUTH POLE 010415 300  120500-121000   00     249.12  676.4    249.18    -0.40    -9999
SOUTH POLE 010415 300  121000-121500   00     249.53  676.4    249.58    -0.20    -9999
SOUTH POLE 010415 300  121500-122000   00     248.36  676.4    248.40    -0.70    -9999
SOUTH POLE 010415 300  122000-122500   00     251.98  676.4    252.01     0.80    -9999
SOUTH POLE 010415 300  122500-123000   00     250.15  676.4    250.17     0.00    -9999
SOUTH POLE 010415 300  123000-123500   00     249.32  676.4    249.32    -0.30    -9999
SOUTH POLE 010415 300  123500-124000   00     253.41  676.4    253.38     1.30    -9999
SOUTH POLE 010415 300  124000-124500   00     251.04  676.4    250.99     0.40    -9999
SOUTH POLE 010415 300  124500-125000   00     250.38  676.4    250.30     0.10    -9999
SOUTH POLE 010415 300  125000-125500   00     249.15  676.3    249.03    -0.40    -9999
SOUTH POLE 010415 300  125500-130000   00     249.57  676.3    249.42    -0.30    -9999
SOUTH POLE 010415 300  130000-130500   00     251.36  676.2    251.08     0.40     0.32
