HOBART     LATITUDE    -42.9     LONGITUDE     147.33    ALTITUDE    18 M
HOBART     INSTRUMENT   IGY     NEUTRON MONITOR
HOBART     STANDARD PRESSURE    1012.5  MB     COEFFICIENT   -0.739    % / MB
HOBART     PRE-INCREASE BASELINE TIME INTERVAL    000714    090000-100000   UT
HOBART     PRE-INCREASE AVERAGE COUNTING RATE     74.00      COUNTS PER SECOND
HOBART     TIME INTERVALS    60          3600     
HOBART     SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
HOBART     000714 60   004800-004900   00      78.40  999.4     71.17    -3.80    -9999
HOBART     000714 60   004900-005000   00      81.33  999.4     73.83    -0.20    -9999
HOBART     000714 60   005000-005100   00      83.47  999.4     75.77     2.40    -9999
HOBART     000714 60   005100-005200   00      80.53  999.4     73.10    -1.20    -9999
HOBART     000714 60   005200-005300   00      83.73  999.4     76.01     2.70    -9999
HOBART     000714 60   005300-005400   00      80.27  999.3     72.81    -1.60    -9999
HOBART     000714 60   005400-005500   00      80.80  999.3     73.29    -1.00    -9999
HOBART     000714 60   005500-005600   00      81.87  999.3     74.26     0.30    -9999
HOBART     000714 60   005600-005700   00      81.87  999.2     74.20     0.30    -9999
HOBART     000714 60   005700-005800   00      82.67  999.2     74.93     1.30    -9999
HOBART     000714 60   005800-005900   00      83.73  999.2     75.89     2.60    -9999
HOBART     000714 60   005900-010000   00      79.73  999.2     72.27    -2.30    -9999
HOBART     000714 60   010000-010100   00      82.13  999.1     74.39     0.50    -9999
HOBART     000714 60   010100-010200   00      84.27  999.1     76.32     3.10    -9999
HOBART     000714 60   010200-010300   00      78.40  999.1     71.01    -4.00    -9999
HOBART     000714 60   010300-010400   00      87.47  999.1     79.22     7.10    -9999
HOBART     000714 60   010400-010500   00      84.27  999.1     76.32     3.10    -9999
HOBART     000714 60   010500-010600   00      80.80  999.1     73.18    -1.10    -9999
HOBART     000714 60   010600-010700   00      82.93  999.1     75.11     1.50    -9999
HOBART     000714 60   010700-010800   00      84.53  999.1     76.56     3.50    -9999
HOBART     000714 60   010800-010900   00      81.33  999.1     73.67    -0.50    -9999
HOBART     000714 60   010900-011000   00      81.87  999.1     74.15     0.20    -9999
HOBART     000714 60   011000-011100   00      80.53  999.1     72.94    -1.40    -9999
HOBART     000714 60   011100-011200   00      82.40  999.1     74.63     0.80    -9999
HOBART     000714 60   011200-011300   00      80.80  999.1     73.18    -1.10    -9999
HOBART     000714 60   011300-011400   00      82.93  999.0     75.06     1.40    -9999
HOBART     000714 60   011400-011500   00      82.67  999.0     74.82     1.10    -9999
HOBART     000714 60   011500-011600   00      83.20  999.0     75.30     1.80    -9999
HOBART     000714 60   011600-011700   00      80.80  998.9     73.07    -1.30    -9999
HOBART     000714 60   011700-011800   00      80.80  998.9     73.07    -1.30    -9999
HOBART     000714 60   011800-011900   00      82.13  998.9     74.28     0.40    -9999
HOBART     000714 60   011900-012000   00      80.00  998.9     72.35    -2.20    -9999
HOBART     000714 60   012000-012100   00      86.13  998.8     77.84     5.20    -9999
HOBART     000714 60   012100-012200   00      82.40  998.8     74.47     0.60    -9999
HOBART     000714 60   012200-012300   00      80.27  998.8     72.54    -2.00    -9999
HOBART     000714 60   012300-012400   00      85.07  998.8     76.88     3.90    -9999
HOBART     000714 60   012400-012500   00      80.80  998.8     73.02    -1.30    -9999
HOBART     000714 60   012500-012600   00      84.00  998.7     75.86     2.50    -9999
HOBART     000714 60   012600-012700   00      82.40  998.7     74.41     0.60    -9999
HOBART     000714 60   012700-012800   00      80.80  998.7     72.97    -1.40    -9999
HOBART     000714 60   012800-012900   00      86.13  998.7     77.78     5.10    -9999
HOBART     000714 60   012900-013000   00      82.13  998.6     74.12     0.20    -9999
HOBART     000714 60   013000-013100   00      85.07  998.6     76.76     3.70    -9999
HOBART     000714 60   013100-013200   00      80.80  998.6     72.91    -1.50    -9999
HOBART     000714 60   013200-013300   00      82.93  998.5     74.78     1.10    -9999
HOBART     000714 60   013300-013400   00      79.47  998.5     71.66    -3.20    -9999
HOBART     000714 60   013400-013500   00      80.80  998.5     72.86    -1.50    -9999
HOBART     000714 60   013500-013600   00      79.73  998.5     71.90    -2.80    -9999
HOBART     000714 60   013600-013700   00      85.33  998.5     76.95     4.00    -9999
HOBART     000714 60   013700-013800   00      78.67  998.5     70.93    -4.10    -9999
HOBART     000714 60   013800-013900   00      81.87  998.5     73.82    -0.20    -9999
HOBART     000714 60   013900-014000   00      83.20  998.5     75.02     1.40    -9999
HOBART     000714 60   014000-014100   00      85.87  998.5     77.43     4.60    -9999
HOBART     000714 60   014100-014200   00      81.07  998.5     73.10    -1.20    -9999
HOBART     000714 60   014200-014300   00      84.80  998.5     76.47     3.30    -9999
HOBART     000714 60   014300-014400   00      80.53  998.5     72.62    -1.90    -9999
HOBART     000714 60   014400-014500   00      84.80  998.5     76.47     3.30    -9999
HOBART     000714 60   014500-014600   00      82.13  998.5     74.06     0.10    -9999
HOBART     000714 60   014600-014700   00      85.07  998.5     76.71     3.70    -9999
HOBART     000714 60   014700-014800   00      83.20  998.5     75.02     1.40    -9999
HOBART     000714 60   014800-014900   00      81.33  998.4     73.29    -1.00    -9999
HOBART     000714 60   014900-015000   00      78.67  998.4     70.88    -4.20    -9999
HOBART     000714 60   015000-015100   00      86.40  998.4     77.85     5.20    -9999
HOBART     000714 60   015100-015200   00      82.13  998.4     74.01     0.00    -9999
HOBART     000714 60   015200-015300   00      80.00  998.3     72.03    -2.70    -9999
HOBART     000714 60   015300-015400   00      81.87  998.3     73.71    -0.40    -9999
HOBART     000714 60   015400-015500   00      81.07  998.3     72.99    -1.40    -9999
HOBART     000714 60   015500-015600   00      81.07  998.3     72.99    -1.40    -9999
HOBART     000714 60   015600-015700   00      83.47  998.3     75.15     1.60    -9999
HOBART     000714 60   015700-015800   00      84.27  998.3     75.87     2.50    -9999
HOBART     000714 60   015800-015900   00      83.20  998.4     74.97     1.30    -9999
HOBART     000714 60   015900-020000   00      82.93  998.4     74.73     1.00    -9999
HOBART     000714 60   020000-020100   00      78.93  998.4     71.12    -3.90    -9999
HOBART     000714 60   020100-020200   00      82.40  998.4     74.25     0.30    -9999
HOBART     000714 60   020200-020300   00      81.87  998.4     73.77    -0.30    -9999
HOBART     000714 60   020300-020400   00      82.13  998.4     74.01     0.00    -9999
HOBART     000714 60   020400-020500   00      82.67  998.4     74.49     0.70    -9999
HOBART     000714 60   020500-020600   00      81.60  998.3     73.47    -0.70    -9999
HOBART     000714 60   020600-020700   00      84.27  998.3     75.87     2.50    -9999
HOBART     000714 60   020700-020800   00      83.20  998.3     74.91     1.20    -9999
HOBART     000714 60   020800-020900   00      81.87  998.2     73.66    -0.50    -9999
HOBART     000714 60   020900-021000   00      82.13  998.2     73.90    -0.10    -9999
HOBART     000714 60   021000-021100   00      82.93  998.2     74.62     0.80    -9999
HOBART     000714 60   021100-021200   00      86.67  998.2     77.98     5.40    -9999
HOBART     000714 60   021200-021300   00      85.33  998.1     76.72     3.70    -9999
HOBART     000714 60   021300-021400   00      82.40  998.1     74.08     0.10    -9999
HOBART     000714 60   021400-021500   00      83.20  998.1     74.80     1.10    -9999
HOBART     000714 60   021500-021600   00      80.00  998.0     71.87    -2.90    -9999
HOBART     000714 60   021600-021700   00      82.93  998.0     74.51     0.70    -9999
HOBART     000714 60   021700-021800   00      84.53  998.0     75.94     2.60    -9999
HOBART     000714 60   021800-021900   00      85.33  998.0     76.66     3.60    -9999
HOBART     000714 60   021900-022000   00      82.67  998.0     74.27     0.40    -9999
HOBART     000714 60   022000-022100   00      83.47  998.0     74.99     1.30    -9999
HOBART     000714 60   022100-022200   00      82.40  998.0     74.03     0.00    -9999
HOBART     000714 60   022200-022300   00      83.73  998.0     75.22     1.70    -9999
HOBART     000714 60   022300-022400   00      81.60  998.0     73.31    -0.90    -9999
HOBART     000714 60   022400-022500   00      82.93  998.0     74.51     0.70    -9999
HOBART     000714 60   022500-022600   00      80.00  998.0     71.87    -2.90    -9999
HOBART     000714 60   022600-022700   00      82.13  998.0     73.79    -0.30    -9999
HOBART     000714 60   022700-022800   00      82.13  998.0     73.79    -0.30    -9999
HOBART     000714 60   022800-022900   00      83.73  998.0     75.22     1.70    -9999
HOBART     000714 60   022900-023000   00      85.07  998.0     76.42     3.30    -9999
HOBART     000714 60   023000-023100   00      82.93  998.0     74.51     0.70    -9999
HOBART     000714 60   023100-023200   00      83.73  997.9     75.17     1.60    -9999
HOBART     000714 60   023200-023300   00      83.47  997.9     74.93     1.30    -9999
HOBART     000714 60   023300-023400   00      83.20  997.9     74.69     0.90    -9999
HOBART     000714 60   023400-023500   00      80.80  997.9     72.54    -2.00    -9999
HOBART     000714 60   023500-023600   00      84.80  997.9     76.13     2.90    -9999
HOBART     000714 60   023600-023700   00      80.80  997.9     72.54    -2.00    -9999
HOBART     000714 60   023700-023800   00      82.40  997.9     73.97     0.00    -9999
HOBART     000714 60   023800-023900   00      84.80  997.9     76.13     2.90    -9999
HOBART     000714 60   023900-024000   00      79.73  997.9     71.58    -3.30    -9999
HOBART     000714 60   024000-024100   00      79.73  997.9     71.58    -3.30    -9999
HOBART     000714 60   024100-024200   00      82.67  997.9     74.21     0.30    -9999
HOBART     000714 60   024200-024300   00      86.93  997.9     78.04     5.50    -9999
HOBART     000714 60   024300-024400   00      85.07  997.9     76.37     3.20    -9999
HOBART     000714 60   024400-024500   00      83.73  997.9     75.17     1.60    -9999
HOBART     000714 60   024500-024600   00      81.33  997.9     73.01    -1.30    -9999
HOBART     000714 60   024600-024700   00      81.87  997.9     73.49    -0.70    -9999
HOBART     000714 60   024700-024800   00      82.13  997.9     73.73    -0.40    -9999
HOBART     000714 60   024800-024900   00      82.13  997.8     73.68    -0.40    -9999
HOBART     000714 60   024900-025000   00      82.13  997.8     73.68    -0.40    -9999
HOBART     000714 60   025000-025100   00      81.07  997.8     72.72    -1.70    -9999
HOBART     000714 60   025100-025200   00      86.93  997.8     77.98     5.40    -9999
HOBART     000714 60   025200-025300   00      83.20  997.8     74.64     0.90    -9999
HOBART     000714 60   025300-025400   00      84.00  997.8     75.35     1.80    -9999
HOBART     000714 60   025400-025500   00      82.93  997.8     74.40     0.50    -9999
HOBART     000714 60   025500-025600   00      82.93  997.8     74.40     0.50    -9999
HOBART     000714 60   025600-025700   00      82.67  997.7     74.10     0.10    -9999
HOBART     000714 60   025700-025800   00      84.27  997.7     75.54     2.10    -9999
HOBART     000714 60   025800-025900   00      82.67  997.7     74.10     0.10    -9999
HOBART     000714 60   025900-030000   00      86.93  997.7     77.93     5.30    -9999
HOBART     000714 60   030000-030100   00      83.20  997.7     74.58     0.80    -9999
HOBART     000714 60   030100-030200   00      86.13  997.7     77.21     4.30    -9999
HOBART     000714 60   030200-030300   00      82.40  997.7     73.86    -0.20    -9999
HOBART     000714 60   030300-030400   00      80.80  997.7     72.43    -2.10    -9999
HOBART     000714 60   030400-030500   00      83.20  997.6     74.53     0.70    -9999
HOBART     000714 60   030500-030600   00      83.73  997.6     75.00     1.40    -9999
HOBART     000714 60   030600-030700   00      81.33  997.6     72.85    -1.60    -9999
HOBART     000714 60   030700-030800   00      84.53  997.6     75.72     2.30    -9999
HOBART     000714 60   030800-030900   00      84.27  997.6     75.48     2.00    -9999
HOBART     000714 60   030900-031000   00      82.67  997.6     74.05     0.10    -9999
HOBART     000714 60   031000-031100   00      85.87  997.5     76.86     3.90    -9999
HOBART     000714 60   031100-031200   00      86.13  997.5     77.10     4.20    -9999
HOBART     000714 60   031200-031300   00      85.07  997.5     76.14     2.90    -9999
HOBART     000714 60   031300-031400   00      81.07  997.5     72.56    -1.90    -9999
HOBART     000714 60   031400-031500   00      84.27  997.5     75.42     1.90    -9999
HOBART     000714 60   031500-031600   00      84.53  997.5     75.66     2.20    -9999
HOBART     000714 60   031600-031700   00      81.60  997.5     73.04    -1.30    -9999
HOBART     000714 60   031700-031800   00      87.20  997.5     78.05     5.50    -9999
HOBART     000714 60   031800-031900   00      84.00  997.4     75.13     1.50    -9999
HOBART     000714 60   031900-032000   00      80.53  997.4     72.03    -2.70    -9999
HOBART     000714 60   032000-032100   00      81.60  997.5     73.04    -1.30    -9999
HOBART     000714 60   032100-032200   00      83.20  997.5     74.47     0.60    -9999
HOBART     000714 60   032200-032300   00      81.60  997.4     72.98    -1.40    -9999
HOBART     000714 60   032300-032400   00      82.13  997.4     73.46    -0.70    -9999
HOBART     000714 60   032400-032500   00      82.67  997.4     73.94    -0.10    -9999
HOBART     000714 60   032500-032600   00      83.73  997.3     74.84     1.10    -9999
HOBART     000714 60   032600-032700   00      85.33  997.4     76.32     3.10    -9999
HOBART     000714 60   032700-032800   00      84.27  997.4     75.37     1.80    -9999
HOBART     000714 60   032800-032900   00      84.27  997.4     75.37     1.80    -9999
HOBART     000714 60   032900-033000   00      82.93  997.4     74.18     0.20    -9999
HOBART     000714 60   033000-033100   00      84.27  997.3     75.31     1.80    -9999
HOBART     000714 60   033100-033200   00      85.60  997.3     76.51     3.40    -9999
HOBART     000714 60   033200-033300   00      83.73  997.3     74.84     1.10    -9999
HOBART     000714 60   033300-033400   00      82.40  997.3     73.65    -0.50    -9999
HOBART     000714 60   033400-033500   00      85.07  997.3     76.03     2.70    -9999
HOBART     000714 60   033500-033600   00      86.40  997.3     77.22     4.30    -9999
HOBART     000714 60   033600-033700   00      81.87  997.3     73.17    -1.10    -9999
HOBART     000714 60   033700-033800   00      84.00  997.3     75.08     1.40    -9999
HOBART     000714 60   033800-033900   00      84.27  997.3     75.31     1.80    -9999
HOBART     000714 60   033900-034000   00      82.67  997.3     73.88    -0.20    -9999
HOBART     000714 60   034000-034100   00      81.87  997.3     73.17    -1.10    -9999
HOBART     000714 60   034100-034200   00      84.80  997.3     75.79     2.40    -9999
HOBART     000714 60   034200-034300   00      81.60  997.3     72.93    -1.40    -9999
HOBART     000714 60   034300-034400   00      88.00  997.3     78.65     6.30    -9999
HOBART     000714 60   034400-034500   00      79.47  997.3     71.02    -4.00    -9999
HOBART     000714 60   034500-034600   00      84.80  997.2     75.73     2.30    -9999
HOBART     000714 60   034600-034700   00      83.20  997.2     74.31     0.40    -9999
HOBART     000714 60   034700-034800   00      83.20  997.2     74.31     0.40    -9999
HOBART     000714 60   034800-034900   00      84.53  997.2     75.50     2.00    -9999
HOBART     000714 60   034900-035000   00      82.93  997.2     74.07     0.10    -9999
HOBART     000714 60   035000-035100   00      82.40  997.3     73.65    -0.50    -9999
HOBART     000714 60   035100-035200   00      84.27  997.2     75.26     1.70    -9999
HOBART     000714 60   035200-035300   00      81.60  997.2     72.88    -1.50    -9999
HOBART     000714 60   035300-035400   00      83.20  997.2     74.31     0.40    -9999
HOBART     000714 60   035400-035500   00      78.40  997.2     70.02    -5.40    -9999
HOBART     000714 60   035500-035600   00      86.13  997.2     76.92     3.90    -9999
HOBART     000714 60   035600-035700   00      82.93  997.3     74.12     0.20    -9999
HOBART     000714 60   035700-035800   00      80.27  997.2     71.69    -3.10    -9999
HOBART     000714 60   035800-035900   00      85.33  997.2     76.21     3.00    -9999
HOBART     000714 60   035900-040000   00      80.53  997.2     71.92    -2.80    -9999
HOBART     000714 60   040000-040100   00      84.53  997.2     75.50     2.00    -9999
HOBART     000714 60   040100-040200   00      85.33  997.2     76.21     3.00    -9999
HOBART     000714 60   040200-040300   00      81.87  997.2     73.11    -1.20    -9999
HOBART     000714 60   040300-040400   00      80.80  997.2     72.16    -2.50    -9999
HOBART     000714 60   040400-040500   00      83.73  997.2     74.78     1.10    -9999
HOBART     000714 60   040500-040600   00      81.60  997.2     72.88    -1.50    -9999
HOBART     000714 60   040600-040700   00      82.93  997.2     74.07     0.10    -9999
HOBART     000714 60   040700-040800   00      84.27  997.2     75.26     1.70    -9999
HOBART     000714 60   040800-040900   00      82.93  997.2     74.07     0.10    -9999
HOBART     000714 60   040900-041000   00      81.33  997.1     72.58    -1.90    -9999
HOBART     000714 60   041000-041100   00      82.13  997.1     73.30    -1.00    -9999
HOBART     000714 60   041100-041200   00      82.93  997.1     74.01     0.00    -9999
HOBART     000714 60   041200-041300   00      85.60  997.1     76.39     3.20    -9999
HOBART     000714 60   041300-041400   00      81.60  997.1     72.82    -1.60    -9999
HOBART     000714 60   041400-041500   00      84.27  997.1     75.20     1.60    -9999
HOBART     000714 60   041500-041600   00      81.07  997.1     72.35    -2.20    -9999
HOBART     000714 60   041600-041700   00      82.67  997.1     73.77    -0.30    -9999
HOBART     000714 60   041700-041800   00      83.47  997.1     74.49     0.70    -9999
HOBART     000714 60   041800-041900   00      83.20  997.1     74.25     0.30    -9999
HOBART     000714 60   041900-042000   00      84.27  997.1     75.20     1.60    -9999
HOBART     000714 60   042000-042100   00      83.47  997.1     74.49     0.70    -9999
HOBART     000714 60   042100-042200   00      79.73  997.1     71.16    -3.80    -9999
HOBART     000714 60   042200-042300   00      87.20  997.1     77.82     5.20    -9999
HOBART     000714 60   042300-042400   00      80.27  997.1     71.63    -3.20    -9999
HOBART     000714 60   042400-042500   00      82.40  997.1     73.54    -0.60    -9999
HOBART     000714 60   042500-042600   00      84.53  997.1     75.44     1.90    -9999
HOBART     000714 60   042600-042700   00      83.20  997.1     74.25     0.30    -9999
HOBART     000714 60   042700-042800   00      82.13  997.0     73.24    -1.00    -9999
HOBART     000714 60   042800-042900   00      88.27  997.0     78.71     6.40    -9999
HOBART     000714 60   042900-043000   00      80.00  997.0     71.34    -3.60    -9999
HOBART     000714 60   043000-043100   00      82.93  997.0     73.96    -0.10    -9999
HOBART     000714 60   043100-043200   00      84.00  997.0     74.91     1.20    -9999
HOBART     000714 60   043200-043300   00      84.53  997.0     75.38     1.90    -9999
HOBART     000714 60   043300-043400   00      83.47  997.0     74.43     0.60    -9999
HOBART     000714 60   043400-043500   00      81.60  997.0     72.77    -1.70    -9999
HOBART     000714 60   043500-043600   00      83.20  997.0     74.20     0.30    -9999
HOBART     000714 60   043600-043700   00      84.00  997.0     74.91     1.20    -9999
HOBART     000714 60   043700-043800   00      80.80  997.0     72.06    -2.60    -9999
HOBART     000714 60   043800-043900   00      81.33  997.0     72.53    -2.00    -9999
HOBART     000714 60   043900-044000   00      82.93  997.0     73.96    -0.10    -9999
HOBART     000714 60   044000-044100   00      85.87  997.0     76.57     3.50    -9999
HOBART     000714 60   044100-044200   00      85.60  997.0     76.34     3.20    -9999
HOBART     000714 60   044200-044300   00      84.00  997.0     74.91     1.20    -9999
HOBART     000714 60   044300-044400   00      85.60  997.1     76.39     3.20    -9999
HOBART     000714 60   044400-044500   00      81.87  997.1     73.06    -1.30    -9999
HOBART     000714 60   044500-044600   00      85.87  997.1     76.63     3.60    -9999
HOBART     000714 60   044600-044700   00      82.40  997.1     73.54    -0.60    -9999
HOBART     000714 60   044700-044800   00      84.80  997.1     75.68     2.30    -9999
HOBART     000714 60   044800-044900   00      85.60  997.1     76.39     3.20    -9999
HOBART     000714 60   044900-045000   00      84.80  997.1     75.68     2.30    -9999
HOBART     000714 60   045000-045100   00      81.33  997.1     72.58    -1.90    -9999
HOBART     000714 60   045100-045200   00      83.20  997.1     74.25     0.30    -9999
HOBART     000714 60   045200-045300   00      85.33  997.1     76.15     2.90    -9999
HOBART     000714 60   045300-045400   00      81.07  997.1     72.35    -2.20    -9999
HOBART     000714 60   045400-045500   00      82.13  997.1     73.30    -1.00    -9999
HOBART     000714 60   045500-045600   00      83.73  997.0     74.67     0.90    -9999
HOBART     000714 60   045600-045700   00      85.87  997.0     76.57     3.50    -9999
HOBART     000714 60   045700-045800   00      84.00  997.0     74.91     1.20    -9999
HOBART     000714 60   045800-045900   00      84.27  997.0     75.15     1.50    -9999
HOBART     000714 60   045900-050000   00      85.33  997.1     76.15     2.90    -9999
HOBART     000714 60   050000-050100   00      82.67  997.1     73.77    -0.30    -9999
HOBART     000714 60   050100-050200   00      83.47  997.1     74.49     0.70    -9999
HOBART     000714 60   050200-050300   00      84.80  997.1     75.68     2.30    -9999
