JUNGFRAUJ  LATITUDE    46.55     LONGITUDE     7.98      ALTITUDE    3550 M
JUNGFRAUJ  INSTRUMENT   IGY     NEUTRON MONITOR
JUNGFRAUJ  STANDARD PRESSURE    482     MMHG   COEFFICIENT   -0.96     % / MMHG
JUNGFRAUJ  PRE-INCREASE BASELINE TIME INTERVAL    000714    090000-100000   UT
JUNGFRAUJ  PRE-INCREASE AVERAGE COUNTING RATE    131.87      COUNTS PER SECOND
JUNGFRAUJ  TIME INTERVALS    60          300         3600     
JUNGFRAUJ  SCALE FACTORS     1           1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S    (MMHG)     C/S
JUNGFRAUJ  000714 60   093000-093100   30     122.18  489.9    131.82     0.00    -9999
JUNGFRAUJ  000714 60   093100-093200   30     122.30  489.5    131.43    -0.30    -9999
JUNGFRAUJ  000714 60   093200-093300   30     122.17  489.7    131.55    -0.20    -9999
JUNGFRAUJ  000714 60   093300-093400   30     121.98  489.6    131.22    -0.50    -9999
JUNGFRAUJ  000714 60   093400-093500   30     121.88  489.6    131.10    -0.60    -9999
JUNGFRAUJ  000714 60   093500-093600   30     121.48  489.7    130.80    -0.80    -9999
JUNGFRAUJ  000714 60   093600-093700   30     119.00  489.6    128.02    -2.90    -9999
JUNGFRAUJ  000714 60   093700-093800   30     121.57  489.6    130.77    -0.80    -9999
JUNGFRAUJ  000714 60   093800-093900   30     119.15  489.6    128.17    -2.80    -9999
JUNGFRAUJ  000714 60   093900-094000   30     122.37  489.7    131.75    -0.10    -9999
JUNGFRAUJ  000714 60   094000-094100   30     120.27  489.8    129.62    -1.70    -9999
JUNGFRAUJ  000714 60   094100-094200   30     124.52  489.7    134.07     1.70    -9999
JUNGFRAUJ  000714 60   094200-094300   30     120.90  489.6    130.05    -1.40    -9999
JUNGFRAUJ  000714 60   094300-094400   30     122.47  489.6    131.73    -0.10    -9999
JUNGFRAUJ  000714 60   094400-094500   30     117.70  489.6    126.60    -4.00    -9999
JUNGFRAUJ  000714 60   094500-094600   30     123.92  489.7    133.42     1.20    -9999
JUNGFRAUJ  000714 60   094600-094700   30     124.33  489.6    133.75     1.40    -9999
JUNGFRAUJ  000714 60   094700-094800   30     122.05  489.6    131.30    -0.40    -9999
JUNGFRAUJ  000714 60   094800-094900   30     122.05  489.6    131.28    -0.40    -9999
JUNGFRAUJ  000714 60   094900-095000   30     121.63  489.6    130.83    -0.80    -9999
JUNGFRAUJ  000714 60   095000-095100   30     122.17  489.7    131.53    -0.30    -9999
JUNGFRAUJ  000714 60   095100-095200   30     120.37  489.7    129.60    -1.70    -9999
JUNGFRAUJ  000714 60   095200-095300   30     122.90  489.7    132.33     0.40    -9999
JUNGFRAUJ  000714 60   095300-095400   30     123.28  489.7    132.75     0.70    -9999
JUNGFRAUJ  000714 60   095400-095500   30     122.87  489.7    132.30     0.30    -9999
JUNGFRAUJ  000714 60   095500-095600   30     123.45  489.6    132.80     0.70    -9999
JUNGFRAUJ  000714 60   095600-095700   30     123.30  489.7    132.77     0.70    -9999
JUNGFRAUJ  000714 60   095700-095800   30     124.60  489.7    134.15     1.70    -9999
JUNGFRAUJ  000714 60   095800-095900   30     121.68  489.7    131.02    -0.60    -9999
JUNGFRAUJ  000714 60   095900-100000   30     119.73  489.6    128.80    -2.30    -9999
JUNGFRAUJ  000714 60   100000-100100   30     123.70  489.7    133.20     1.00    -9999
JUNGFRAUJ  000714 60   100100-100200   30     123.40  489.8    133.00     0.90    -9999
JUNGFRAUJ  000714 60   100200-100300   30     120.48  489.6    129.60    -1.70    -9999
JUNGFRAUJ  000714 60   100300-100400   30     118.08  489.7    127.13    -3.60    -9999
JUNGFRAUJ  000714 60   100400-100500   30     121.45  489.6    130.63    -0.90    -9999
JUNGFRAUJ  000714 60   100500-100600   30     119.82  489.7    129.02    -2.20    -9999
JUNGFRAUJ  000714 60   100600-100700   30     120.52  489.6    129.63    -1.70    -9999
JUNGFRAUJ  000714 60   100700-100800   30     123.00  489.6    132.30     0.30    -9999
JUNGFRAUJ  000714 60   100800-100900   30     124.60  489.6    134.03     1.60    -9999
JUNGFRAUJ  000714 60   100900-101000   30     125.30  489.6    134.78     2.20    -9999
JUNGFRAUJ  000714 60   101000-101100   30     122.60  489.5    131.75    -0.10    -9999
JUNGFRAUJ  000714 60   101100-101200   30     122.55  489.4    131.57    -0.20    -9999
JUNGFRAUJ  000714 60   101200-101300   30     125.63  489.6    135.15     2.50    -9999
JUNGFRAUJ  000714 60   101300-101400   30     124.87  489.6    134.32     1.90    -9999
JUNGFRAUJ  000714 60   101400-101500   30     121.82  489.4    130.78    -0.80    -9999
JUNGFRAUJ  000714 60   101500-101600   30     123.22  489.7    132.67     0.60    -9999
JUNGFRAUJ  000714 60   101600-101700   30     122.15  489.6    131.40    -0.40    -9999
JUNGFRAUJ  000714 60   101700-101800   30     123.03  489.5    132.22     0.30    -9999
JUNGFRAUJ  000714 60   101800-101900   30     126.15  489.6    135.70     2.90    -9999
JUNGFRAUJ  000714 60   101900-102000   30     123.73  489.6    133.10     0.90    -9999
JUNGFRAUJ  000714 60   102000-102100   30     122.50  489.4    131.53    -0.30    -9999
JUNGFRAUJ  000714 60   102100-102200   30     124.95  489.6    134.42     1.90    -9999
JUNGFRAUJ  000714 60   102200-102300   30     121.70  489.5    130.80    -0.80    -9999
JUNGFRAUJ  000714 60   102300-102400   30     122.55  489.4    131.57    -0.20    -9999
JUNGFRAUJ  000714 60   102400-102500   30     119.75  489.5    128.68    -2.40    -9999
JUNGFRAUJ  000714 60   102500-102600   30     124.42  489.2    133.32     1.10    -9999
JUNGFRAUJ  000714 60   102600-102700   30     124.70  489.4    133.87     1.50    -9999
JUNGFRAUJ  000714 60   102700-102800   30     121.32  489.3    130.13    -1.30    -9999
JUNGFRAUJ  000714 60   102800-102900   30     121.32  489.5    130.37    -1.10    -9999
JUNGFRAUJ  000714 60   102900-103000   30     123.67  489.5    132.90     0.80    -9999
JUNGFRAUJ  000714 60   103000-103100   30     122.02  489.4    131.00    -0.70    -9999
JUNGFRAUJ  000714 60   103100-103200   30     124.87  489.4    134.05     1.70    -9999
JUNGFRAUJ  000714 60   103200-103300   30     124.07  489.6    133.45     1.20    -9999
JUNGFRAUJ  000714 60   103300-103400   30     120.18  489.5    129.15    -2.10    -9999
JUNGFRAUJ  000714 60   103400-103500   30     123.50  489.5    132.73     0.70    -9999
JUNGFRAUJ  000714 60   103500-103600   30     123.72  489.4    132.82     0.70    -9999
JUNGFRAUJ  000714 60   103600-103700   30     122.77  489.4    131.82     0.00    -9999
JUNGFRAUJ  000714 60   103700-103800   30     123.10  489.4    132.17     0.20    -9999
JUNGFRAUJ  000714 60   103800-103900   30     125.58  489.6    135.10     2.50    -9999
JUNGFRAUJ  000714 60   103900-104000   30     127.90  489.5    137.45     4.20    -9999
JUNGFRAUJ  000714 60   104000-104100   30     123.18  489.5    132.38     0.40    -9999
JUNGFRAUJ  000714 60   104100-104200   30     123.70  489.6    133.07     0.90    -9999
JUNGFRAUJ  000714 60   104200-104300   30     122.12  489.4    131.12    -0.60    -9999
JUNGFRAUJ  000714 60   104300-104400   30     125.40  489.5    134.77     2.20    -9999
JUNGFRAUJ  000714 60   104400-104500   30     125.12  489.5    134.45     2.00    -9999
JUNGFRAUJ  000714 60   104500-104600   30     127.32  489.5    136.82     3.80    -9999
JUNGFRAUJ  000714 60   104600-104700   30     122.50  489.5    131.65    -0.20    -9999
JUNGFRAUJ  000714 60   104700-104800   30     124.63  489.6    134.05     1.70    -9999
JUNGFRAUJ  000714 60   104800-104900   30     125.32  489.6    134.80     2.20    -9999
JUNGFRAUJ  000714 60   104900-105000   30     125.10  489.5    134.43     1.90    -9999
JUNGFRAUJ  000714 60   105000-105100   30     126.70  489.5    136.17     3.30    -9999
JUNGFRAUJ  000714 60   105100-105200   30     124.98  489.4    134.18     1.80    -9999
JUNGFRAUJ  000714 60   105200-105300   30     124.32  489.6    133.73     1.40    -9999
JUNGFRAUJ  000714 60   105300-105400   30     122.98  489.6    132.30     0.30    -9999
JUNGFRAUJ  000714 60   105400-105500   30     122.08  489.6    131.33    -0.40    -9999
JUNGFRAUJ  000714 60   105500-105600   30     125.22  489.6    134.70     2.10    -9999
JUNGFRAUJ  000714 60   105600-105700   30     121.60  489.5    130.68    -0.90    -9999
JUNGFRAUJ  000714 60   105700-105800   30     122.85  489.5    132.03     0.10    -9999
JUNGFRAUJ  000714 60   105800-105900   30     127.90  489.7    137.72     4.40    -9999
JUNGFRAUJ  000714 60   105900-110000   30     125.97  489.5    135.37     2.70    -9999
JUNGFRAUJ  000714 60   110000-110100   30     124.15  489.6    133.55     1.30    -9999
JUNGFRAUJ  000714 60   110100-110200   30     122.73  489.6    132.03     0.10    -9999
JUNGFRAUJ  000714 60   110200-110300   30     122.50  489.6    131.77    -0.10    -9999
JUNGFRAUJ  000714 60   110300-110400   30     125.15  489.6    134.62     2.10    -9999
JUNGFRAUJ  000714 60   110400-110500   30     119.67  489.5    128.60    -2.50    -9999
JUNGFRAUJ  000714 60   110500-110600   30     120.97  489.5    130.00    -1.40    -9999
JUNGFRAUJ  000714 60   110600-110700   30     122.33  489.6    131.60    -0.20    -9999
JUNGFRAUJ  000714 60   110700-110800   30     122.70  489.6    132.00     0.10    -9999
JUNGFRAUJ  000714 60   110800-110900   30     125.02  489.4    134.22     1.80    -9999
JUNGFRAUJ  000714 60   110900-111000   30     122.00  489.5    131.12    -0.60    -9999
JUNGFRAUJ  000714 60   111000-111100   30     124.30  489.4    133.45     1.20    -9999
JUNGFRAUJ  000714 60   111100-111200   30     128.60  489.6    138.32     4.90    -9999
JUNGFRAUJ  000714 60   111200-111300   30     124.78  489.5    134.08     1.70    -9999
JUNGFRAUJ  000714 60   111300-111400   30     121.05  489.5    130.08    -1.40    -9999
JUNGFRAUJ  000714 60   111400-111500   30     123.52  489.5    132.73     0.70    -9999
JUNGFRAUJ  000714 60   111500-111600   30     124.93  489.6    134.38     1.90    -9999
JUNGFRAUJ  000714 60   111600-111700   30     120.65  489.4    129.53    -1.80    -9999
JUNGFRAUJ  000714 60   111700-111800   30     124.88  489.4    134.08     1.70    -9999
JUNGFRAUJ  000714 60   111800-111900   30     124.35  489.5    133.63     1.30    -9999
JUNGFRAUJ  000714 60   111900-112000   30     127.42  489.5    136.92     3.80    -9999
JUNGFRAUJ  000714 60   112000-112100   30     123.88  489.5    133.13     1.00    -9999
JUNGFRAUJ  000714 60   112100-112200   30     122.55  489.5    131.70    -0.10    -9999
JUNGFRAUJ  000714 60   112200-112300   30     120.88  489.6    130.03    -1.40    -9999
JUNGFRAUJ  000714 60   112300-112400   30     126.93  489.6    136.53     3.50    -9999
JUNGFRAUJ  000714 60   112400-112500   30     120.37  489.6    129.47    -1.80    -9999
JUNGFRAUJ  000714 60   112500-112600   30     121.85  489.5    130.93    -0.70    -9999
JUNGFRAUJ  000714 60   112600-112700   30     126.98  489.5    136.45     3.50    -9999
JUNGFRAUJ  000714 60   112700-112800   30     125.55  489.6    135.05     2.40    -9999
JUNGFRAUJ  000714 60   112800-112900   30     125.85  489.6    135.37     2.70    -9999
JUNGFRAUJ  000714 60   112900-113000   30     121.33  489.6    130.52    -1.00    -9999
JUNGFRAUJ  000714 60   113000-113100   30     126.42  489.5    135.85     3.00    -9999
JUNGFRAUJ  000714 60   113100-113200   30     124.93  489.5    134.25     1.80    -9999
JUNGFRAUJ  000714 60   113200-113300   30     125.67  489.5    135.05     2.40    -9999
JUNGFRAUJ  000714 60   113300-113400   30     119.95  489.4    128.77    -2.40    -9999
JUNGFRAUJ  000714 60   113400-113500   30     123.62  489.5    132.85     0.70    -9999
JUNGFRAUJ  000714 60   113500-113600   30     123.10  489.4    132.17     0.20    -9999
