CALGARY    LATITUDE    51.08     LONGITUDE     -114.13   ALTITUDE    1128 M
CALGARY    INSTRUMENT   12NM64    NEUTRON MONITOR     	
CALGARY    STANDARD PRESSURE    883     MB     COEFFICIENT   -0.7718   % / MB
CALGARY    PRE-INCREASE BASELINE TIME INTERVAL    010415    120000-130000   UT
CALGARY    PRE-INCREASE AVERAGE COUNTING RATE    275.36      COUNTS PER SECOND
CALGARY    TIME INTERVALS    300         3600     
CALGARY    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
CALGARY    010415 300  121000-121500   00     253.85  893.0    274.22    -0.40    -9999
CALGARY    010415 300  121500-122000   00     255.58  893.0    276.08     0.30    -9999
CALGARY    010415 300  122000-122500   00     256.31  893.1    277.09     0.60    -9999
CALGARY    010415 300  122500-123000   00     257.27  893.2    278.34     1.10    -9999
CALGARY    010415 300  123000-123500   00     253.55  893.2    274.32    -0.40    -9999
CALGARY    010415 300  123500-124000   00     255.01  893.2    275.90     0.20    -9999
CALGARY    010415 300  124000-124500   00     252.92  893.3    273.85    -0.50    -9999
CALGARY    010415 300  124500-125000   00     253.82  893.4    275.03    -0.10    -9999
CALGARY    010415 300  125000-125500   00     253.29  893.4    274.45    -0.30    -9999
CALGARY    010415 300  125500-130000   00     252.99  893.3    273.92    -0.50    -9999
CALGARY    010415 300  130000-130500   00     254.12  893.5    275.57     0.10    -0.04
CALGARY    010415 300  130500-131000   00     253.48  893.5    274.88    -0.20    -0.36
CALGARY    010415 300  131000-131500   00     252.02  893.6    273.51    -0.70    -0.88
CALGARY    010415 300  131500-132000   00     254.25  893.5    275.71     0.10    -0.10
CALGARY    010415 300  132000-132500   00     255.74  893.6    277.55     0.80     0.58
CALGARY    010415 300  132500-133000   00     253.22  893.7    275.02    -0.10    -0.34
CALGARY    010415 300  133000-133500   00     253.42  893.7    275.23     0.00    -0.26
CALGARY    010415 300  133500-134000   00     254.41  893.7    276.32     0.30     0.02
CALGARY    010415 300  134000-134500   00     254.61  893.8    276.75     0.50     0.20
CALGARY    010415 300  134500-135000   00     253.09  894.0    275.51     0.10    -0.22
CALGARY    010415 300  135000-135500   00     252.12  893.9    274.25    -0.40    -0.74
CALGARY    010415 300  135500-140000   00     291.59  894.0    317.42    15.30    14.94
CALGARY    010415 300  140000-140500   00     379.75  894.1    413.71    50.20    49.82
CALGARY    010415 300  140500-141000   00     479.33  894.2    522.61    89.80    89.40
CALGARY    010415 300  141000-141500   00     602.34  894.2    656.72   138.50   138.08
CALGARY    010415 300  141500-142000   00     612.37  894.2    667.66   142.50   142.06
CALGARY    010415 300  142000-142500   00     627.65  894.3    684.85   148.70   148.24
CALGARY    010415 300  142500-143000   00     625.95  894.3    683.00   148.00   147.52
CALGARY    010415 300  143000-143500   00     620.81  894.3    677.38   146.00   145.50
CALGARY    010415 300  143500-144000   00     606.76  894.3    662.05   140.40   139.88
CALGARY    010415 300  144000-144500   00     586.99  894.3    640.48   132.60   132.06
CALGARY    010415 300  144500-145000   00     555.50  894.4    606.59   120.30   119.74
CALGARY    010415 300  145000-145500   00     538.19  894.4    587.69   113.40   112.83
CALGARY    010415 300  145500-150000   00     525.64  894.5    574.42   108.60   108.01
CALGARY    010415 300  150000-150500   00     507.00  894.5    554.06   101.20   100.59
CALGARY    010415 300  150500-151000   00     488.90  894.5    534.28    94.00    93.37
CALGARY    010415 300  151000-151500   00     470.40  894.5    514.06    86.70    86.05
CALGARY    010415 300  151500-152000   00     451.39  894.6    493.67    79.30    78.63
CALGARY    010415 300  152000-152500   00     439.04  894.7    480.53    74.50    73.81
CALGARY    010415 300  152500-153000   00     426.95  894.5    466.57    69.40    68.69
CALGARY    010415 300  153000-153500   00     421.00  894.6    460.43    67.20    66.48
CALGARY    010415 300  153500-154000   00     406.72  894.6    444.81    61.50    60.76
CALGARY    010415 300  154000-154500   00     399.51  894.7    437.26    58.80    58.04
CALGARY    010415 300  154500-155000   00     388.88  894.7    425.63    54.60    53.82
CALGARY    010415 300  155000-155500   00     377.62  894.6    412.99    50.00    49.20
CALGARY    010415 300  155500-160000   00     367.85  894.8    402.93    46.30    45.49
CALGARY    010415 300  160000-160500   00     361.44  894.8    395.91    43.80    42.97
CALGARY    010415 300  160500-161000   00     351.97  894.7    385.24    39.90    39.05
CALGARY    010415 300  161000-161500   00     349.22  894.7    382.22    38.80    37.93
CALGARY    010415 300  161500-162000   00     341.15  894.9    373.96    35.80    34.91
CALGARY    010415 300  162000-162500   00     340.98  894.9    373.78    35.70    34.80
CALGARY    010415 300  162500-163000   00     335.33  894.9    367.59    33.50    32.58
CALGARY    010415 300  163000-163500   00     332.34  895.0    364.59    32.40    31.46
CALGARY    010415 300  163500-164000   00     327.99  895.0    359.82    30.70    29.74
CALGARY    010415 300  164000-164500   00     322.94  895.1    354.56    28.80    27.83
CALGARY    010415 300  164500-165000   00     316.17  895.2    347.38    26.20    25.21
CALGARY    010415 300  165000-165500   00     312.61  895.1    343.21    24.60    23.59
CALGARY    010415 300  165500-170000   00     311.91  895.1    342.45    24.40    23.38
CALGARY    010415 300  170000-170500   00     306.53  895.2    336.80    22.30    21.26
CALGARY    010415 300  170500-171000   00     305.64  895.1    335.55    21.90    20.84
CALGARY    010415 300  171000-171500   00     304.67  895.1    334.50    21.50    20.43
CALGARY    010415 300  171500-172000   00     303.41  895.2    333.37    21.10    20.01
CALGARY    010415 300  172000-172500   00     298.49  895.2    327.97    19.10    17.99
CALGARY    010415 300  172500-173000   00     296.43  895.3    325.95    18.40    17.28
CALGARY    010415 300  173000-173500   00     296.63  895.3    326.17    18.50    17.36
CALGARY    010415 300  173500-174000   00     293.05  895.3    322.23    17.00    15.84
CALGARY    010415 300  174000-174500   00     292.38  895.3    321.50    16.80    15.63
CALGARY    010415 300  174500-175000   00     290.59  895.3    319.53    16.00    14.81
CALGARY    010415 300  175000-175500   00     290.79  895.3    319.75    16.10    14.89
CALGARY    010415 300  175500-180000   00     287.87  895.4    316.78    15.00    13.78
CALGARY    010415 300  180000-180500   00     289.26  895.3    318.07    15.50    14.26
CALGARY    010415 300  180500-181000   00     285.51  895.4    314.18    14.10    12.84
CALGARY    010415 300  181000-181500   00     285.14  895.3    313.54    13.90    12.63
CALGARY    010415 300  181500-182000   00     284.81  895.3    313.17    13.70    12.41
CALGARY    010415 300  182000-182500   00     284.51  895.4    313.08    13.70    12.40
CALGARY    010415 300  182500-183000   00     285.54  895.4    314.22    14.10    12.78
CALGARY    010415 300  183000-183500   00     283.51  895.4    311.99    13.30    11.97
CALGARY    010415 300  183500-184000   00     278.60  895.6    307.05    11.50    10.15
CALGARY    010415 300  184000-184500   00     282.58  895.6    311.44    13.10    11.73
CALGARY    010415 300  184500-185000   00     279.96  895.6    308.55    12.10    10.72
CALGARY    010415 300  185000-185500   00     278.40  895.6    306.83    11.40    10.00
CALGARY    010415 300  185500-190000   00     279.00  895.6    307.49    11.70    10.29
CALGARY    010415 300  190000-190500   00     277.77  895.6    306.14    11.20     9.77
CALGARY    010415 300  190500-191000   00     276.80  895.5    304.84    10.70     9.26
CALGARY    010415 300  191000-191500   00     273.88  895.8    302.32     9.80     8.34
CALGARY    010415 300  191500-192000   00     278.63  895.6    307.09    11.50    10.03
CALGARY    010415 300  192000-192500   00     274.38  895.7    302.63     9.90     8.41
CALGARY    010415 300  192500-193000   00     275.74  895.8    304.37    10.50     9.00
CALGARY    010415 300  193000-193500   00     272.42  895.7    300.47     9.10     7.58
CALGARY    010415 300  193500-194000   00     273.18  895.7    301.32     9.40     7.87
CALGARY    010415 300  194000-194500   00     274.81  895.7    303.11    10.10     8.55
CALGARY    010415 300  194500-195000   00     272.88  895.7    300.99     9.30     7.74
CALGARY    010415 300  195000-195500   00     274.28  895.8    302.76     9.90     8.33
CALGARY    010415 300  195500-200000   00     273.22  895.7    301.35     9.40     7.81
CALGARY    010415 300  200000-200500   00     271.19  895.7    299.12     8.60     7.00
CALGARY    010415 300  200500-201000   00     272.48  895.7    300.55     9.10     7.48
CALGARY    010415 300  201000-201500   00     272.12  895.7    300.14     9.00     7.37
CALGARY    010415 300  201500-202000   00     272.02  895.6    299.80     8.90     7.25
CALGARY    010415 300  202000-202500   00     272.12  895.6    299.91     8.90     7.24
CALGARY    010415 300  202500-203000   00     273.45  895.6    301.38     9.40     7.73
CALGARY    010415 300  203000-203500   00     270.56  895.7    298.42     8.40     6.71
CALGARY    010415 300  203500-204000   00     272.48  895.5    300.08     9.00     7.30
CALGARY    010415 300  204000-204500   00     273.02  895.6    300.90     9.30     7.58
CALGARY    010415 300  204500-205000   00     270.72  895.7    298.60     8.40     6.67
CALGARY    010415 300  205000-205500   00     270.19  895.6    297.79     8.10     6.36
CALGARY    010415 300  205500-210000   00     269.23  895.8    297.18     7.90     6.14
CALGARY    010415 300  210000-210500   00     270.23  895.7    298.05     8.20     6.43
CALGARY    010415 300  210500-211000   00     269.26  895.8    297.22     7.90     6.12
CALGARY    010415 300  211000-211500   00     267.67  895.8    295.46     7.30     5.50
CALGARY    010415 300  211500-212000   00     268.70  895.7    296.37     7.60     5.79
CALGARY    010415 300  212000-212500   00     268.10  895.7    295.71     7.40     5.58
CALGARY    010415 300  212500-213000   00     269.83  895.7    297.62     8.10     6.26
CALGARY    010415 300  213000-213500   00     266.97  895.7    294.46     6.90     5.05
CALGARY    010415 300  213500-214000   00     268.53  895.9    296.64     7.70     5.84
CALGARY    010415 300  214000-214500   00     268.40  895.8    296.27     7.60     5.73
CALGARY    010415 300  214500-215000   00     266.41  895.8    294.07     6.80     4.91
CALGARY    010415 300  215000-215500   00     267.47  895.9    295.47     7.30     5.40
CALGARY    010415 300  215500-220000   00     264.15  896.0    292.03     6.10     4.19
CALGARY    010415 300  220000-220500   00     265.08  896.0    293.05     6.40     4.47
CALGARY    010415 300  220500-221000   00     268.83  895.9    296.97     7.80     5.86
CALGARY    010415 300  221000-221500   00     266.77  896.0    294.93     7.10     5.15
CALGARY    010415 300  221500-222000   00     264.75  895.9    292.46     6.20     4.24
CALGARY    010415 300  222000-222500   00     263.65  896.0    291.47     5.90     3.93
CALGARY    010415 300  222500-223000   00     266.84  896.0    295.00     7.10     5.11
CALGARY    010415 300  223000-223500   00     265.84  896.1    294.13     6.80     4.80
CALGARY    010415 300  223500-224000   00     265.44  896.0    293.46     6.60     4.59
CALGARY    010415 300  224000-224500   00     267.17  896.0    295.37     7.30     5.28
CALGARY    010415 300  224500-225000   00     264.94  896.1    293.13     6.50     4.47
CALGARY    010415 300  225000-225500   00     265.97  896.1    294.27     6.90     4.85
CALGARY    010415 300  225500-230000   00     265.88  896.1    294.16     6.80     4.74
CALGARY    010415 300  230000-230500   00     265.61  896.0    293.64     6.60     4.53
CALGARY    010415 300  230500-231000   00     263.22  896.1    291.22     5.80     3.72
CALGARY    010415 300  231000-231500   00     264.65  896.2    293.03     6.40     4.31
CALGARY    010415 300  231500-232000   00     262.62  896.2    290.78     5.60     3.50
CALGARY    010415 300  232000-232500   00     265.34  896.3    294.03     6.80     4.68
CALGARY    010415 300  232500-233000   00     262.22  896.2    290.34     5.40     3.27
CALGARY    010415 300  233000-233500   00     264.05  896.2    292.37     6.20     4.06
CALGARY    010415 300  233500-234000   00     262.32  896.3    290.68     5.60     3.45
CALGARY    010415 300  234000-234500   00     263.65  896.2    291.92     6.00     3.84
CALGARY    010415 300  234500-235000   00     264.88  896.2    293.29     6.50     4.33
CALGARY    010415 300  235000-235500   00     260.19  896.2    288.10     4.60     2.42
CALGARY    010415 300  235500-240000   00     261.66  896.2    289.72     5.20     3.01
CALGARY    010416 3600 000000-010000   00     261.39  896.4    290.03     5.30     3.03
CALGARY    010416 3600 010000-020000   00     258.33  896.9    287.78     4.50     2.11
CALGARY    010416 3600 020000-030000   00     256.56  897.8    287.72     4.50     2.01
CALGARY    010416 3600 030000-040000   00     254.69  898.5    287.06     4.20     1.61
CALGARY    010416 3600 040000-050000   00     252.72  899.0    286.06     3.90     1.22
CALGARY    010416 3600 050000-060000   00     250.47  899.2    283.86     3.10     0.35
CALGARY    010416 3600 060000-070000   00     249.50  899.3    282.94     2.80    -0.02
CALGARY    010416 3600 070000-080000   00     249.81  899.4    283.72     3.00    -9999
CALGARY    010416 3600 080000-090000   00     249.75  899.2    283.14     2.80    -9999
CALGARY    010416 3600 090000-100000   00     250.75  899.0    283.75     3.00    -9999
CALGARY    010416 3600 100000-110000   00     250.22  898.9    282.97     2.80    -9999
CALGARY    010416 3600 110000-120000   00     251.22  898.8    283.86     3.10    -9999
CALGARY    010416 3600 120000-130000   00     252.81  898.6    285.25     3.60    -9999
