TERREADELI LATITUDE    -66.65    LONGITUDE     140       ALTITUDE    32 M
TERREADELI INSTRUMENT   9-NM-64  NEUTRON MONITOR	
TERREADELI STANDARD PRESSURE    740     MMHG   COEFFICIENT   -0.99     % / MMHG
TERREADELI PRE-INCREASE BASELINE TIME INTERVAL    061213    010000-020000   UT
TERREADELI PRE-INCREASE AVERAGE COUNTING RATE    114.51      COUNTS PER SECOND
TERREADELI TIME INTERVALS    300      
TERREADELI SCALE FACTORS     1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S    (MMHG)     C/S
TERREADELI 061212 300  055000-055500   10     122.87  733.3    114.80     0.30    -9999
TERREADELI 061212 300  055500-060000   10     120.73  733.2    112.80    -1.50    -9999
TERREADELI 061212 300  060000-060500   10     122.87  733.3    114.87     0.30    -9999
TERREADELI 061212 300  060500-061000   10     120.73  733.3    112.87    -1.40    -9999
TERREADELI 061212 300  061000-061500   10     123.33  733.3    115.27     0.70    -9999
TERREADELI 061212 300  061500-062000   10     121.73  733.2    113.67    -0.70    -9999
TERREADELI 061212 300  062000-062500   10     121.60  733.2    113.60    -0.80    -9999
TERREADELI 061212 300  062500-063000   10     121.47  733.2    113.40    -1.00    -9999
TERREADELI 061212 300  063000-063500   10     120.53  733.2    112.60    -1.70    -9999
TERREADELI 061212 300  063500-064000   10     121.93  733.2    113.87    -0.60    -9999
TERREADELI 061212 300  064000-064500   10     123.33  733.2    115.20     0.60    -9999
TERREADELI 061212 300  064500-065000   10     120.60  733.2    112.67    -1.60    -9999
TERREADELI 061212 300  065000-065500   10     120.27  733.2    112.33    -1.90    -9999
TERREADELI 061212 300  065500-070000   10     119.87  733.2    112.00    -2.20    -9999
TERREADELI 061212 300  070000-070500   10     123.07  733.3    115.07     0.50    -9999
TERREADELI 061212 300  070500-071000   10     121.60  733.3    113.73    -0.70    -9999
TERREADELI 061212 300  071000-071500   10     120.73  733.3    112.87    -1.40    -9999
TERREADELI 061212 300  071500-072000   10     120.87  733.3    113.07    -1.30    -9999
TERREADELI 061212 300  072000-072500   10     121.07  733.3    113.20    -1.10    -9999
TERREADELI 061212 300  072500-073000   16    -999.00 -999.0   -999.00    -9999    -9999
TERREADELI 061212 300  073000-073500   16    -999.00 -999.0   -999.00    -9999    -9999
TERREADELI 061212 300  073500-074000   16    -999.00 -999.0   -999.00    -9999    -9999
TERREADELI 061212 300  074000-074500   10     120.93  733.3    113.13    -1.20    -9999
TERREADELI 061212 300  074500-075000   10     122.27  733.3    114.33    -0.20    -9999
TERREADELI 061212 300  075000-075500   10     122.07  733.3    114.13    -0.30    -9999
TERREADELI 061212 300  075500-080000   10     121.53  733.3    113.60    -0.80    -9999
TERREADELI 061212 300  080000-080500   10     121.60  733.3    113.73    -0.70    -9999
TERREADELI 061212 300  080500-081000   10     122.53  733.4    114.60     0.10    -9999
TERREADELI 061212 300  081000-081500   10     124.13  733.4    116.20     1.50    -9999
TERREADELI 061212 300  081500-082000   10     122.20  733.4    114.33    -0.20    -9999
TERREADELI 061212 300  082000-082500   10     120.87  733.4    113.13    -1.20    -9999
TERREADELI 061212 300  082500-083000   10     123.33  733.4    115.40     0.80    -9999
TERREADELI 061212 300  083000-083500   10     121.73  733.4    113.93    -0.50    -9999
TERREADELI 061212 300  083500-084000   10     120.93  733.4    113.20    -1.10    -9999
TERREADELI 061212 300  084000-084500   10     122.73  733.3    114.73     0.20    -9999
TERREADELI 061212 300  084500-085000   10     123.67  733.3    115.67     1.00    -9999
TERREADELI 061212 300  085000-085500   10     121.27  733.4    113.53    -0.80    -9999
TERREADELI 061212 300  085500-090000   10     121.80  733.4    114.00    -0.40    -9999
TERREADELI 061212 300  090000-090500   10     122.07  733.3    114.13    -0.30    -9999
TERREADELI 061212 300  090500-091000   10     122.40  733.3    114.47     0.00    -9999
TERREADELI 061212 300  091000-091500   10     122.33  733.3    114.40    -0.10    -9999
TERREADELI 061212 300  091500-092000   10     122.00  733.3    114.07    -0.40    -9999
TERREADELI 061212 300  092000-092500   10     121.27  733.3    113.40    -1.00    -9999
TERREADELI 061212 300  092500-093000   10     122.33  733.4    114.47     0.00    -9999
TERREADELI 061212 300  093000-093500   10     122.00  733.4    114.13    -0.30    -9999
TERREADELI 061212 300  093500-094000   10     122.13  733.5    114.47     0.00    -9999
TERREADELI 061212 300  094000-094500   10     124.27  733.5    116.40     1.70    -9999
TERREADELI 061212 300  094500-095000   10     122.33  733.5    114.60     0.10    -9999
TERREADELI 061212 300  095000-095500   10     121.00  733.5    113.33    -1.00    -9999
TERREADELI 061212 300  095500-100000   10     120.60  733.4    112.87    -1.40    -9999
TERREADELI 061212 300  100000-100500   10     123.33  733.5    115.53     0.90    -9999
TERREADELI 061212 300  100500-101000   10     120.60  733.5    112.93    -1.40    -9999
TERREADELI 061212 300  101000-101500   10     121.47  733.4    113.73    -0.70    -9999
TERREADELI 061212 300  101500-102000   10     123.20  733.5    115.47     0.80    -9999
TERREADELI 061212 300  102000-102500   10     118.40  733.4    110.80    -3.20    -9999
TERREADELI 061212 300  102500-103000   10     122.80  733.5    115.00     0.40    -9999
TERREADELI 061212 300  103000-103500   10     120.93  733.5    113.33    -1.00    -9999
TERREADELI 061212 300  103500-104000   10     122.80  733.5    115.07     0.50    -9999
TERREADELI 061212 300  104000-104500   10     121.13  733.5    113.47    -0.90    -9999
TERREADELI 061212 300  104500-105000   10     120.27  733.6    112.73    -1.50    -9999
TERREADELI 061212 300  105000-105500   10     121.80  733.5    114.13    -0.30    -9999
TERREADELI 061212 300  105500-110000   10     120.33  733.6    112.87    -1.40    -9999
TERREADELI 061212 300  110000-110500   10     120.60  733.6    113.07    -1.30    -9999
TERREADELI 061212 300  110500-111000   10     120.13  733.6    112.67    -1.60    -9999
TERREADELI 061212 300  111000-111500   10     122.47  733.6    114.87     0.30    -9999
TERREADELI 061212 300  111500-112000   10     121.80  733.6    114.20    -0.30    -9999
TERREADELI 061212 300  112000-112500   10     122.87  733.5    115.13     0.50    -9999
TERREADELI 061212 300  112500-113000   10     120.20  733.6    112.73    -1.50    -9999
TERREADELI 061212 300  113000-113500   10     121.27  733.5    113.53    -0.80    -9999
TERREADELI 061212 300  113500-114000   10     120.33  733.6    112.80    -1.50    -9999
TERREADELI 061212 300  114000-114500   10     122.27  733.6    114.67     0.10    -9999
TERREADELI 061212 300  114500-115000   10     120.33  733.4    112.53    -1.70    -9999
TERREADELI 061212 300  115000-115500   10     121.27  733.6    113.80    -0.60    -9999
TERREADELI 061212 300  115500-120000   10     120.53  733.6    113.07    -1.30    -9999
TERREADELI 061212 300  120000-120500   10     120.27  733.7    112.87    -1.40    -9999
TERREADELI 061212 300  120500-121000   10     123.07  733.6    115.40     0.80    -9999
TERREADELI 061212 300  121000-121500   10     121.87  733.6    114.27    -0.20    -9999
TERREADELI 061212 300  121500-122000   10     121.87  733.6    114.33    -0.20    -9999
TERREADELI 061212 300  122000-122500   10     122.20  733.6    114.53     0.00    -9999
TERREADELI 061212 300  122500-123000   10     121.93  733.7    114.47     0.00    -9999
TERREADELI 061212 300  123000-123500   10     122.20  733.6    114.53     0.00    -9999
TERREADELI 061212 300  123500-124000   10     122.13  733.6    114.53     0.00    -9999
TERREADELI 061212 300  124000-124500   10     123.07  733.6    115.40     0.80    -9999
TERREADELI 061212 300  124500-125000   10     122.53  733.5    114.80     0.30    -9999
TERREADELI 061212 300  125000-125500   10     122.40  733.6    114.80     0.30    -9999
TERREADELI 061212 300  125500-130000   10     121.60  733.6    114.00    -0.40    -9999
TERREADELI 061212 300  130000-130500   10     122.47  733.6    114.80     0.30    -9999
TERREADELI 061212 300  130500-131000   10     119.60  733.6    112.20    -2.00    -9999
TERREADELI 061212 300  131000-131500   10     120.47  733.6    112.93    -1.40    -9999
TERREADELI 061212 300  131500-132000   10     122.73  733.6    115.07     0.50    -9999
TERREADELI 061212 300  132000-132500   10     121.00  733.7    113.60    -0.80    -9999
TERREADELI 061212 300  132500-133000   10     122.33  733.6    114.73     0.20    -9999
TERREADELI 061212 300  133000-133500   10     119.80  733.6    112.33    -1.90    -9999
TERREADELI 061212 300  133500-134000   10     119.07  733.6    111.67    -2.50    -9999
TERREADELI 061212 300  134000-134500   10     121.67  733.6    114.07    -0.40    -9999
TERREADELI 061212 300  134500-135000   10     120.60  733.6    113.13    -1.20    -9999
TERREADELI 061212 300  135000-135500   10     120.40  733.7    113.00    -1.30    -9999
TERREADELI 061212 300  135500-140000   10     120.73  733.7    113.33    -1.00    -9999
TERREADELI 061212 300  140000-140500   10     122.27  733.7    114.73     0.20    -9999
TERREADELI 061212 300  140500-141000   10     121.53  733.7    114.07    -0.40    -9999
TERREADELI 061212 300  141000-141500   10     120.73  733.7    113.40    -1.00    -9999
TERREADELI 061212 300  141500-142000   10     121.07  733.7    113.67    -0.70    -9999
TERREADELI 061212 300  142000-142500   10     121.47  733.6    113.93    -0.50    -9999
TERREADELI 061212 300  142500-143000   10     120.60  733.6    113.07    -1.30    -9999
TERREADELI 061212 300  143000-143500   10     122.07  733.6    114.47     0.00    -9999
TERREADELI 061212 300  143500-144000   10     122.67  733.7    115.13     0.50    -9999
TERREADELI 061212 300  144000-144500   10     120.73  733.7    113.33    -1.00    -9999
TERREADELI 061212 300  144500-145000   10     120.80  733.8    113.47    -0.90    -9999
TERREADELI 061212 300  145000-145500   10     120.93  733.7    113.53    -0.80    -9999
TERREADELI 061212 300  145500-150000   10     121.40  733.7    114.00    -0.40    -9999
TERREADELI 061212 300  150000-150500   10     121.00  733.7    113.60    -0.80    -9999
TERREADELI 061212 300  150500-151000   10     120.80  733.7    113.40    -1.00    -9999
TERREADELI 061212 300  151000-151500   10     120.80  733.7    113.40    -1.00    -9999
TERREADELI 061212 300  151500-152000   10     120.60  733.6    113.07    -1.30    -9999
TERREADELI 061212 300  152000-152500   10     123.33  733.7    115.73     1.10    -9999
TERREADELI 061212 300  152500-153000   10     122.33  733.6    114.73     0.20    -9999
TERREADELI 061212 300  153000-153500   10     122.27  733.6    114.67     0.10    -9999
TERREADELI 061212 300  153500-154000   10     121.53  733.7    114.07    -0.40    -9999
TERREADELI 061212 300  154000-154500   10     121.73  733.7    114.27    -0.20    -9999
TERREADELI 061212 300  154500-155000   10     121.47  733.7    114.07    -0.40    -9999
TERREADELI 061212 300  155000-155500   10     120.07  733.7    112.73    -1.50    -9999
TERREADELI 061212 300  155500-160000   10     120.60  733.7    113.13    -1.20    -9999
TERREADELI 061212 300  160000-160500   10     118.67  733.7    111.40    -2.70    -9999
TERREADELI 061212 300  160500-161000   10     121.67  733.8    114.33    -0.20    -9999
TERREADELI 061212 300  161000-161500   10     119.20  733.8    112.00    -2.20    -9999
TERREADELI 061212 300  161500-162000   10     120.53  733.8    113.27    -1.10    -9999
TERREADELI 061212 300  162000-162500   10     120.93  733.9    113.73    -0.70    -9999
TERREADELI 061212 300  162500-163000   10     122.00  733.9    114.80     0.30    -9999
TERREADELI 061212 300  163000-163500   10     120.73  733.9    113.53    -0.80    -9999
TERREADELI 061212 300  163500-164000   10     120.20  733.8    113.00    -1.30    -9999
TERREADELI 061212 300  164000-164500   10     122.13  733.7    114.67     0.10    -9999
TERREADELI 061212 300  164500-165000   10     119.87  733.7    112.53    -1.70    -9999
TERREADELI 061212 300  165000-165500   10     121.87  733.7    114.40    -0.10    -9999
TERREADELI 061212 300  165500-170000   10     120.93  733.7    113.53    -0.80    -9999
TERREADELI 061212 300  170000-170500   10     119.93  733.7    112.53    -1.70    -9999
TERREADELI 061212 300  170500-171000   10     120.67  733.7    113.27    -1.10    -9999
TERREADELI 061212 300  171000-171500   10     121.80  733.7    114.33    -0.20    -9999
TERREADELI 061212 300  171500-172000   10     121.73  733.5    114.07    -0.40    -9999
TERREADELI 061212 300  172000-172500   10     121.33  733.6    113.73    -0.70    -9999
