IRKUTSK    LATITUDE    52.1      LONGITUDE     104       ALTITUDE    433 M
IRKUTSK    INSTRUMENT   18NM64    NEUTRON MONITOR     
IRKUTSK    STANDARD PRESSURE    956.5   mb     COEFFICIENT   -0.713    % / mb
IRKUTSK    PRE-INCREASE BASELINE TIME INTERVAL    061213    010000-020000   UT
IRKUTSK    PRE-INCREASE AVERAGE COUNTING RATE    221.08      COUNTS PER SECOND
IRKUTSK    TIME INTERVALS    300         3600     
IRKUTSK    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
IRKUTSK    061213 300  043500-044000   00     228.20  955.5    226.61     2.50     2.29
IRKUTSK    061213 300  044000-044500   00     227.82  955.5    226.20     2.32     2.10
IRKUTSK    061213 300  044500-045000   00     226.32  955.5    224.70     1.64     1.42
IRKUTSK    061213 300  045000-045500   00     226.98  955.5    225.33     1.92     1.70
IRKUTSK    061213 300  045500-050000   00     226.54  955.4    224.86     1.71     1.48
IRKUTSK    061213 300  050000-050500   00     224.34  955.4    222.66     0.72     0.49
IRKUTSK    061213 300  050500-051000   00     225.94  955.4    224.25     1.43     1.20
IRKUTSK    061213 300  051000-051500   00     226.31  955.4    224.61     1.59     1.36
IRKUTSK    061213 300  051500-052000   00     225.76  955.4    224.06     1.34     1.11
IRKUTSK    061213 300  052000-052500   00     225.02  955.4    223.32     1.02     0.78
IRKUTSK    061213 300  052500-053000   00     227.21  955.4    225.49     1.99     1.75
IRKUTSK    061213 300  053000-053500   00     223.06  955.4    221.37     0.13    -0.11
IRKUTSK    061213 300  053500-054000   00     224.39  955.4    222.68     0.72     0.48
IRKUTSK    061213 300  054000-054500   00     221.32  955.4    219.63    -0.65    -0.89
IRKUTSK    061213 300  054500-055000   00     225.67  955.4    223.94     1.29     1.05
IRKUTSK    061213 300  055000-055500   00     225.69  955.4    223.96     1.30     1.06
IRKUTSK    061213 300  055500-060000   00     224.50  955.4    222.76     0.76     0.52
IRKUTSK    061213 300  060000-060500   00     223.17  955.4    221.44     0.16    -0.08
IRKUTSK    061213 300  060500-061000   00     225.45  955.4    223.70     1.18     0.94
IRKUTSK    061213 300  061000-061500   00     225.44  955.4    223.68     1.18     0.94
IRKUTSK    061213 300  061500-062000   00     223.59  955.4    221.85     0.34     0.10
IRKUTSK    061213 300  062000-062500   00     226.07  955.4    224.30     1.46     1.23
IRKUTSK    061213 300  062500-063000   00     223.86  955.4    222.10     0.46     0.23
IRKUTSK    061213 300  063000-063500   00     221.95  955.4    220.20    -0.40    -0.63
IRKUTSK    061213 300  063500-064000   00     224.37  955.4    222.60     0.69     0.46
IRKUTSK    061213 300  064000-064500   00     222.51  955.4    220.75    -0.15    -0.38
IRKUTSK    061213 300  064500-065000   00     224.39  955.4    222.62     0.70     0.48
IRKUTSK    061213 300  065000-065500   00     225.62  955.4    223.83     1.24     1.02
IRKUTSK    061213 300  065500-070000   00     224.14  955.4    222.36     0.58     0.36
IRKUTSK    061213 300  070000-070500   00     226.47  955.4    224.67     1.62     1.40
IRKUTSK    061213 300  070500-071000   00     226.19  955.4    224.39     1.50     1.29
IRKUTSK    061213 300  071000-071500   00     224.59  955.4    222.80     0.78     0.57
IRKUTSK    061213 300  071500-072000   00     224.24  955.4    222.46     0.62     0.41
