,Rigidity,initialLatitude,initialLongitude,Filter,Lat,Long,Xpla,Ypla,Zpla,initialZenith,initialAzimuth,THETApla,PHIpla,angleDiffRad,weightingFactor,Rlower,Reffective,Rupper,angleBetweenIMFinRadians,PitchAngleWeightingFactor,RigidityWeightingFactor,fullRigidityPitchWeightingFactor,Energy,fullEnergyPitchWeightingFactor
130,13.2,65.02,25.5,1.0,32.122443413333336,57.25002055444444,6.70578619,8.615268866666666,8.023042188888889,21.333333333333332,120.0,53.68314268140759,52.39507124239273,0.38320616607412167,0.6392502178171189,0.7444444444444445,0.7666666666666667,0.788888888888889,0.9403401704517351,0.18879307838280113,1.7283943459718213e-10,3.263088892354484e-11,12295.032657998681,3.271321949032063e-14
131,13.3,65.02,25.5,1.0,32.20357279666667,57.315978924444444,6.679573157777778,8.605478535555555,8.029216066666667,21.333333333333332,120.0,53.60970610205899,52.48184079081292,0.3807405612514365,0.6335806021156978,0.7444444444444445,0.7666666666666667,0.788888888888889,0.9419593837786839,0.18885017082484135,1.41142065995805e-10,2.6654703273878803e-11,12394.782869525108,2.6720949145766407e-14
132,13.4,65.02,25.5,1.0,32.28673900333334,57.38207038888889,6.656359346666666,8.5947632,8.03378232,21.333333333333332,120.0,53.5319364333386,52.56820438639852,0.37820729326554087,0.6277211072964082,0.7444444444444445,0.7666666666666667,0.788888888888889,0.9436055941412644,0.18891204326917319,1.1523461247852715e-10,2.1769206098649922e-11,12494.536795487418,2.1822506349092555e-14
133,13.5,65.02,25.5,1.0,32.37117887,57.44929112666667,6.630211918888889,8.584560416666667,8.039995307777778,21.333333333333332,120.0,53.45483357517517,52.65461354745341,0.37571481725128986,0.6220427544134959,0.7444444444444445,0.7666666666666667,0.788888888888889,0.9452899583252936,0.1889665666886642,9.406376329454801e-11,1.777490639958593e-11,12594.29435374386,1.781778532265719e-14
134,13.6,65.02,25.5,1.0,32.45587724777778,57.51900208111111,6.6102555700000005,8.581753828888887,8.05143478111111,21.333333333333332,120.0,53.37889029250675,52.74486505734007,0.37330558314413476,0.6164934106204449,0.7444444444444445,0.7666666666666667,0.788888888888889,0.9469779465674937,0.18903330288533768,7.676703672509262e-11,1.4511526504864275e-11,12694.0554645541,1.4546020780012097e-14
135,13.7,65.02,25.5,1.0,32.54352202888889,57.58716094444445,6.583701955555556,8.571652147777778,8.057381541111111,21.333333333333332,120.0,53.29895478744839,52.83057958161382,0.3708754660829369,0.6109725561369309,0.7444444444444445,0.7666666666666667,0.788888888888889,0.9487288232332944,0.18908445356487474,6.263835249398259e-11,1.1843938653528707e-11,12793.820050492199,1.1871682983798132e-14
136,13.8,65.02,25.5,1.0,32.62938184555556,57.66046521111111,6.567709387777778,8.575418316666665,8.07678601,21.333333333333332,120.0,53.22356112557307,52.92496178959129,0.3686524739266386,0.6058621092009366,0.7444444444444445,0.7666666666666667,0.788888888888889,0.9504469681982174,0.1891395319743311,5.10997888558939e-11,9.664990148190913e-12,12893.58803636335,9.687303756326946e-15
137,13.9,65.02,25.5,1.0,32.72234864111111,57.723940761111116,6.533538988888889,8.54749549,8.071829417777778,21.333333333333332,120.0,53.13255527167199,53.00266552070569,0.36632793678409536,0.6007786471490721,0.7444444444444445,0.7666666666666667,0.788888888888889,0.9522850854843653,0.18917635461793636,4.167841810878823e-11,7.884571204062743e-12,12993.35934912417,7.902513673250277e-15
138,14.0,65.02,25.5,1.0,32.81430614666667,57.79261061333333,6.507837275555556,8.53683193,8.077484825555555,21.333333333333332,120.0,53.04800075812213,53.08700741646472,0.3643194603051495,0.5961910969516127,0.7444444444444445,0.7666666666666667,0.788888888888889,0.9541192066383142,0.1892244436015792,3.398731129449486e-11,6.431230069214459e-12,13093.133917806404,6.4456571586202496e-15
139,14.1,65.02,25.5,1.0,32.90709815555555,57.86183954444444,6.480315158888889,8.525586203333335,8.085208918888888,21.333333333333332,120.0,52.96321619411867,53.17172952059723,0.36256124422461905,0.5922194020070175,0.7444444444444445,0.7666666666666667,0.788888888888889,0.9559773526688916,0.1892598375081709,2.7709964933859223e-11,5.244383460739311e-12,13192.911673443823,5.255982014287586e-15
140,14.2,65.02,25.5,1.0,33.00093708222222,57.93076115222222,6.453951293333334,8.51316234111111,8.093514031111111,21.333333333333332,120.0,52.87661562540158,53.25632074014418,0.3610476026468354,0.5888095515193904,0.7444444444444445,0.7666666666666667,0.788888888888889,0.9578502902146274,0.18929621340960073,2.258753595802265e-11,4.275735027106886e-12,13292.6925490022,4.2850587302677e-15
141,14.3,65.02,25.5,1.0,33.09442073666666,58.00188332,6.433679151111111,8.506701117777778,8.108645345555555,21.333333333333332,120.0,52.790899090419515,53.34450450829374,0.35979647211716875,0.5859330239249505,0.7444444444444445,0.7666666666666667,0.788888888888889,0.9597141649804395,0.1893295831144294,1.840838062883822e-11,3.4852510302696786e-12,13392.476479312205,3.49274518952936e-15
142,14.4,65.02,25.5,1.0,33.192685187777776,58.067994298888884,6.404166177777778,8.487281842222222,8.108224472222222,21.333333333333332,120.0,52.69764634071725,53.42249794365909,0.35877565159308983,0.5835172273751374,0.7444444444444445,0.7666666666666667,0.788888888888889,0.9616679739150074,0.18936349961668356,1.499948337826338e-11,2.8403546649502285e-12,13492.263401005055,2.8463776941080097e-15
143,14.5,65.02,25.5,1.0,33.28833950777778,58.13881177333334,6.383459231111111,8.480945645555556,8.123834365555556,21.333333333333332,120.0,52.6104668656724,53.50958187024336,0.3578886887134092,0.5814766260888782,0.7444444444444445,0.7666666666666667,0.788888888888889,0.9635775859362953,0.18939505829294423,1.2219435590128042e-11,2.314300715899178e-12,13592.053252450844,2.319140850941762e-15
144,14.6,65.02,25.5,1.0,33.38656268111111,58.20772212333333,6.355310962222223,8.468450892222222,8.13335006,21.333333333333332,120.0,52.520668826669784,53.59166992419015,0.35705089064401724,0.5795804089066176,0.7444444444444445,0.7666666666666667,0.788888888888889,0.9655481008220406,0.1894127173615318,9.952685240969652e-12,1.8851651565360744e-12,13691.845973699348,1.8890540278589765e-15
