,Rigidity,initialLatitude,initialLongitude,Filter,Lat,Long,Xpla,Ypla,Zpla,initialZenith,initialAzimuth,THETApla,PHIpla,angleDiffRad,weightingFactor,Rlower,Reffective,Rupper,angleBetweenIMFinRadians,PitchAngleWeightingFactor,RigidityWeightingFactor,fullRigidityPitchWeightingFactor,Energy,fullEnergyPitchWeightingFactor
13,1.5,65.02,25.5,1.0,-12.97044611,91.97111919,5.15002943,12.38997455,-0.16249355,0.0,0.0,-89.30615903871326,67.42924843346209,1.3531245905143006,0.42172186147901175,0.8,0.8,0.8,0.5809332801623587,0.4417580628981695,2.686944044011274,1.1869791959981943,831.0087010213894,0.0014000663259744507
14,1.6,65.02,25.5,1.0,-11.06098591,87.67480153,5.71168893,12.37504876,0.2547534,0.0,0.0,88.92919633756826,65.2243710103874,1.7304146789211634,-0.313841921692064,0.8,0.8,0.8,0.5251207424692211,0.5095911536728963,2.0471140419315574,1.043191206327888,916.5471782160015,0.0012093319676848926
15,1.7,65.02,25.5,1.0,-10.87858262,85.73761821,5.82947858,12.2924179,0.287523,0.0,0.0,88.78928096321994,64.62811660810581,1.72670161737695,-0.3067824127028289,0.8,0.8,0.8,0.49629786774940976,0.546382262583331,1.5737535769073843,0.8598710400992668,1003.4679847828595,0.0009821447390344629
16,1.8,65.02,25.5,1.0,-9.9523629,84.52094422,5.83979154,12.25133809,0.66340091,0.0,0.0,87.2015974751872,64.51446789221968,1.6851643443051916,-0.2267466615286908,0.8,0.8,0.8,0.4848420220107072,0.5612538331687662,1.2193263222069808,0.6843515722222421,1091.5935504535553,0.0007717454118733063
17,1.9,65.02,25.5,1.0,-7.71661106,82.06710909,6.12397747,12.12540865,1.22439106,0.0,0.0,84.84962406371518,63.203791800466625,1.6083970944890078,-0.07513067458527946,0.8,0.8,0.8,0.46824768370039654,0.5829907740526465,0.9511694341860412,0.554523004691338,1180.7735722200014,0.0006184524035912995
18,2.0,65.02,25.5,1.0,-6.15888191,79.65939903,6.48960191,12.14758616,1.46605627,0.0,0.0,83.92380769402276,61.88754112240154,1.5671485430514334,0.007295502768964692,0.8,0.8,0.8,0.4504741015613785,0.6064649235646138,0.7464263932294462,0.4526814255165064,1270.8803535529096,0.0005000211383107367
19,2.1,65.02,25.5,1.0,-5.77434795,78.26733407,6.62004863,12.13250519,1.4790056,0.0,0.0,83.89198133315644,61.381102421636875,1.5606591628425153,0.02027293897839573,0.8,0.8,0.8,0.43618155007748355,0.6254335277268767,0.5888435150266759,0.368282476882228,1361.8049780872284,0.0004033705138467122
20,2.2,65.02,25.5,1.0,-5.43743774,77.79505707,6.54406953,12.07869801,1.58245781,0.0,0.0,83.42893017692019,61.55178517113293,1.5472521638135466,0.047070926319024035,0.8,0.8,0.8,0.43393394943488894,0.6284208262071729,0.4666966787048671,0.2932819124198561,1453.454173481664,0.00031884093276324525
21,2.3,65.02,25.5,1.0,-4.29398536,77.41201922,6.47389931,12.01175223,1.90375901,0.0,0.0,82.05748796324399,61.67694094471201,1.504332706794727,0.13253612271276166,0.8,0.8,0.8,0.44275362493855314,0.6167042341826133,0.3714211809943927,0.22905701498434877,1545.7477407817914,0.0002473835509747315
22,2.4,65.02,25.5,1.0,-2.44670226,76.51178488,6.52406008,11.88303009,2.34049856,0.0,0.0,80.2043450929527,61.232189275729745,1.4410334091681063,0.2566222949504081,0.8,0.8,0.8,0.4552691009003682,0.6001166726421615,0.29668912673442766,0.17804809154497328,1638.6164446495377,0.00019117086893311657
23,2.5,65.02,25.5,1.0,-0.54456831,75.08083402,6.6835047,11.69984606,2.72080248,0.0,0.0,78.5840018969792,60.26295167791103,1.3807385832934782,0.37102771563461845,0.8,0.8,0.8,0.46511555391635356,0.5871151133319846,0.23777759601467804,0.13960282023196455,1732.0002781866049,0.00014911102126703425
24,2.6,65.02,25.5,1.0,0.81315801,73.64900857,6.92849384,11.69864269,2.9496175,0.0,0.0,77.75986686568885,59.363960720499115,1.3434136037868678,0.43925161101637056,0.8,0.8,0.8,0.47013309906645395,0.5805110733286427,0.19112928651122246,0.11095266725716743,1825.8470319980022,0.00011795630347244629
25,2.7,65.02,25.5,1.0,1.54949992,72.35051489,7.09990627,11.63161383,3.03482934,0.0,0.0,77.44498339397234,58.60021939831,1.3254059398624205,0.47131464708875054,0.8,0.8,0.8,0.4691664735667149,0.5817820919620664,0.15404273439835856,0.08961930426983401,1920.1111104982156,9.487641245363043e-05
26,2.8,65.02,25.5,1.0,1.84399948,71.51952795,7.18044571,11.61146426,3.04517061,0.0,0.0,77.42589081909271,58.267652462467346,1.3200162597114926,0.48079410112255655,0.8,0.8,0.8,0.4665454890979735,0.5852314493647492,0.12445112550337296,0.07283271255341327,2014.7525494480046,7.681314093354924e-05
27,2.9,65.02,25.5,1.0,2.02075627,71.16405816,7.17259811,11.62880079,3.06040169,0.0,0.0,77.37452512813512,58.33387948146433,1.316059224644141,0.48771829411504,0.8,0.8,0.8,0.46635110714381495,0.5854874373871962,0.10076253365291131,0.05899519761308416,2109.736197633859,6.200615557339137e-05
28,3.0,65.02,25.5,1.0,2.3719176,71.05772531,7.07517007,11.56718254,3.13140895,0.0,0.0,76.99610362503272,58.54758841488514,1.3034305509317428,0.5096100834323156,0.8,0.8,0.8,0.4709386585547029,0.5794523133522176,0.08174330595109718,0.04736634773442135,2205.031032796676,4.962892955828633e-05
