,latitude,longitude,altitude (km),edose,adose,dosee,tn1,tn2,tn3,SEU,SEL,longitudeTranslated,datetime,SEU (Upsets/hr/Gb),SEL (Latch-ups/hr/device)
0,-90.0,0.0,11.89,11.798347762943486,11.306006342051958,8.590005486149868,3.597814530409102,2.306331060094894,1.5693197378318735,2.7345279709366857e-13,2.7345279709366857e-08,0.0,2012-05-17 01:55:00+00:00,0.5216459569962522,5.216459569962522e-05
1,-90.0,5.0,11.89,11.798347762890826,11.306006341637918,8.590005485955569,3.5978145301321716,2.306331059915393,1.5693197377070487,2.7345279707571844e-13,2.7345279707571845e-08,10.0,2012-05-17 01:55:00+00:00,0.5216459569962522,5.216459569962522e-05
2,-90.0,10.0,11.89,11.798347763118832,11.306006341835682,8.59000548615466,3.597814530234899,2.306331059982735,1.5693197377566934,2.7345279708245266e-13,2.7345279708245266e-08,20.0,2012-05-17 01:55:00+00:00,0.5216459569962522,5.216459569962522e-05
3,-90.0,15.0,11.89,11.798347761626594,11.30600634063358,8.590005485155062,3.5978145297534896,2.3063310596696907,1.569319737534542,2.7345279705114823e-13,2.734527970511482e-08,30.0,2012-05-17 01:55:00+00:00,0.5216459569962522,5.216459569962522e-05
4,-90.0,20.0,11.89,11.798347766123129,11.306006345967297,8.59000548809456,3.5978145322341,2.306331061253242,1.5693197385979176,2.734527972095034e-13,2.7345279720950337e-08,40.0,2012-05-17 01:55:00+00:00,0.5216459569962522,5.216459569962522e-05
5,-90.0,25.0,11.89,11.798347767849302,11.306006348414972,8.59000548910554,3.597814533421113,2.3063310619855963,1.569319739053253,2.734527972827388e-13,2.7345279728273883e-08,50.0,2012-05-17 01:55:00+00:00,0.5216459569962522,5.216459569962522e-05
6,-90.0,30.0,11.89,11.798347764767508,11.306006344249631,8.59000548719876,3.5978145314188197,2.3063310607288616,1.5693197382425015,2.734527971570653e-13,2.734527971570653e-08,60.0,2012-05-17 01:55:00+00:00,0.5216459569962522,5.216459569962522e-05
7,-90.0,35.0,11.89,11.798347764986225,11.306006344853538,8.590005487246193,3.5978145317677237,2.30633106093906,1.5693197383648765,2.7345279717808517e-13,2.7345279717808513e-08,70.0,2012-05-17 01:55:00+00:00,0.5216459569962522,5.216459569962522e-05
8,-90.0,40.0,11.89,11.798347762554329,11.306006341395136,8.590005485819297,3.5978145300461177,2.3063310598593505,1.5693197376680426,2.7345279707011417e-13,2.7345279707011417e-08,80.0,2012-05-17 01:55:00+00:00,0.5216459569962522,5.216459569962522e-05
9,-90.0,45.0,11.89,11.79834776283158,11.306006341595113,8.590005485946609,3.5978145301455413,2.306331059923631,1.5693197377138537,2.734527970765423e-13,2.7345279707654226e-08,90.0,2012-05-17 01:55:00+00:00,0.5216459569962522,5.216459569962522e-05
10,-90.0,50.0,11.89,11.798347761489866,11.30600634021648,8.59000548499197,3.5978145295300044,2.3063310595204545,1.5693197374274428,2.734527970362246e-13,2.7345279703622458e-08,100.0,2012-05-17 01:55:00+00:00,0.5216459569962522,5.216459569962522e-05
11,-90.0,55.0,11.89,11.798347765089588,11.306006344316287,8.59000548731126,3.5978145313983063,2.306331060714422,1.5693197382312092,2.7345279715562134e-13,2.7345279715562135e-08,110.0,2012-05-17 01:55:00+00:00,0.5216459569962522,5.216459569962522e-05
