,latitude,longitude,altitude (km),edose,adose,dosee,tn1,tn2,tn3,SEU,SEL,longitudeTranslated,datetime,SEU (Upsets/hr/Gb),SEL (Latch-ups/hr/device)
0,-90.0,0.0,11.89,12.953640650832243,14.963654200745157,8.099494682445458,6.870526769736128,4.376141032465343,2.9252471944960887,4.376141032465343e-13,4.376141032465343e-08,0.0,2012-05-17 02:20:00+00:00,1.5754107716875234,0.00015754107716875235
1,-90.0,5.0,11.89,12.953640650832243,14.963654200745157,8.099494682445458,6.870526769736128,4.376141032465343,2.9252471944960887,4.376141032465343e-13,4.376141032465343e-08,5.0,2012-05-17 02:20:00+00:00,1.5754107716875234,0.00015754107716875235
2,-90.0,10.0,11.89,12.953640650832243,14.963654200745157,8.099494682445458,6.870526769736128,4.376141032465343,2.9252471944960887,4.376141032465343e-13,4.376141032465343e-08,10.0,2012-05-17 02:20:00+00:00,1.5754107716875234,0.00015754107716875235
3,-90.0,15.0,11.89,12.953640650832243,14.963654200745157,8.099494682445458,6.870526769736128,4.376141032465343,2.9252471944960887,4.376141032465343e-13,4.376141032465343e-08,15.0,2012-05-17 02:20:00+00:00,1.5754107716875234,0.00015754107716875235
4,-90.0,20.0,11.89,12.953640650832243,14.963654200745157,8.099494682445458,6.870526769736128,4.376141032465343,2.9252471944960887,4.376141032465343e-13,4.376141032465343e-08,20.0,2012-05-17 02:20:00+00:00,1.5754107716875234,0.00015754107716875235
5,-90.0,25.0,11.89,12.953640650832243,14.963654200745157,8.099494682445458,6.870526769736128,4.376141032465343,2.9252471944960887,4.376141032465343e-13,4.376141032465343e-08,25.0,2012-05-17 02:20:00+00:00,1.5754107716875234,0.00015754107716875235
6,-90.0,30.0,11.89,12.953640650832243,14.963654200745157,8.099494682445458,6.870526769736128,4.376141032465343,2.9252471944960887,4.376141032465343e-13,4.376141032465343e-08,30.0,2012-05-17 02:20:00+00:00,1.5754107716875234,0.00015754107716875235
7,-90.0,35.0,11.89,12.953640650832243,14.963654200745157,8.099494682445458,6.870526769736128,4.376141032465343,2.9252471944960887,4.376141032465343e-13,4.376141032465343e-08,35.0,2012-05-17 02:20:00+00:00,1.5754107716875234,0.00015754107716875235
8,-90.0,40.0,11.89,12.953640650832243,14.963654200745157,8.099494682445458,6.870526769736128,4.376141032465343,2.9252471944960887,4.376141032465343e-13,4.376141032465343e-08,40.0,2012-05-17 02:20:00+00:00,1.5754107716875234,0.00015754107716875235
9,-90.0,45.0,11.89,12.953640650832243,14.963654200745157,8.099494682445458,6.870526769736128,4.376141032465343,2.9252471944960887,4.376141032465343e-13,4.376141032465343e-08,45.0,2012-05-17 02:20:00+00:00,1.5754107716875234,0.00015754107716875235
10,-90.0,50.0,11.89,12.953640650832243,14.963654200745157,8.099494682445458,6.870526769736128,4.376141032465343,2.9252471944960887,4.376141032465343e-13,4.376141032465343e-08,50.0,2012-05-17 02:20:00+00:00,1.5754107716875234,0.00015754107716875235
11,-90.0,55.0,11.89,12.953640650832243,14.963654200745157,8.099494682445458,6.870526769736128,4.376141032465343,2.9252471944960887,4.376141032465343e-13,4.376141032465343e-08,55.0,2012-05-17 02:20:00+00:00,1.5754107716875234,0.00015754107716875235
12,-90.0,60.0,11.89,12.953640650832243,14.963654200745157,8.099494682445458,6.870526769736128,4.376141032465343,2.9252471944960887,4.376141032465343e-13,4.376141032465343e-08,60.0,2012-05-17 02:20:00+00:00,1.5754107716875234,0.00015754107716875235
13,-90.0,65.0,11.89,12.953640650832243,14.963654200745157,8.099494682445458,6.870526769736128,4.376141032465343,2.9252471944960887,4.376141032465343e-13,4.376141032465343e-08,65.0,2012-05-17 02:20:00+00:00,1.5754107716875234,0.00015754107716875235
14,-90.0,70.0,11.89,12.953640650832243,14.963654200745157,8.099494682445458,6.870526769736128,4.376141032465343,2.9252471944960887,4.376141032465343e-13,4.376141032465343e-08,70.0,2012-05-17 02:20:00+00:00,1.5754107716875234,0.00015754107716875235
15,-90.0,75.0,11.89,12.953640650832243,14.963654200745157,8.099494682445458,6.870526769736128,4.376141032465343,2.9252471944960887,4.376141032465343e-13,4.376141032465343e-08,75.0,2012-05-17 02:20:00+00:00,1.5754107716875234,0.00015754107716875235
16,-90.0,80.0,11.89,12.953640650832243,14.963654200745157,8.099494682445458,6.870526769736128,4.376141032465343,2.9252471944960887,4.376141032465343e-13,4.376141032465343e-08,80.0,2012-05-17 02:20:00+00:00,1.5754107716875234,0.00015754107716875235
17,-90.0,85.0,11.89,12.953640650832243,14.963654200745157,8.099494682445458,6.870526769736128,4.376141032465343,2.9252471944960887,4.376141032465343e-13,4.376141032465343e-08,85.0,2012-05-17 02:20:00+00:00,1.5754107716875234,0.00015754107716875235
18,-90.0,90.0,11.89,12.953640650832243,14.963654200745157,8.099494682445458,6.870526769736128,4.376141032465343,2.9252471944960887,4.376141032465343e-13,4.376141032465343e-08,90.0,2012-05-17 02:20:00+00:00,1.5754107716875234,0.00015754107716875235
19,-90.0,95.0,11.89,12.953640650832243,14.963654200745157,8.099494682445458,6.870526769736128,4.376141032465343,2.9252471944960887,4.376141032465343e-13,4.376141032465343e-08,95.0,2012-05-17 02:20:00+00:00,1.5754107716875234,0.00015754107716875235
20,-90.0,100.0,11.89,12.953640650832243,14.963654200745157,8.099494682445458,6.870526769736128,4.376141032465343,2.9252471944960887,4.376141032465343e-13,4.376141032465343e-08,100.0,2012-05-17 02:20:00+00:00,1.5754107716875234,0.00015754107716875235
