,latitude,longitude,altitude (km),edose,adose,dosee,tn1,tn2,tn3,SEU,SEL,longitudeTranslated,datetime
0,-90.0,0.0,11.89,3.573681257949699,4.385958508749646,2.2649023669282866,2.0607818689259667,1.3090882249290756,0.8693263684360792,1.3090882249290757e-13,1.3090882249290756e-08,0.0,2012-05-17 03:00:00+00:00
1,-90.0,5.0,11.89,3.5736812592659093,4.385958509587958,2.2649023676033897,2.0607818691865862,1.3090882250973075,0.869326368552423,1.3090882250973076e-13,1.3090882250973075e-08,5.0,2012-05-17 03:00:00+00:00
2,-90.0,10.0,11.89,3.5736812544995655,4.385958503640381,2.26490236452417,2.0607818663446595,1.3090882232973622,0.8693263673629372,1.3090882232973623e-13,1.3090882232973623e-08,10.0,2012-05-17 03:00:00+00:00
3,-90.0,15.0,11.89,3.573681259287391,4.385958510450378,2.2649023677820095,2.0607818697322564,1.309088225437194,0.8693263687687958,1.309088225437194e-13,1.3090882254371942e-08,15.0,2012-05-17 03:00:00+00:00
4,-90.0,20.0,11.89,3.5736812581914013,4.385958508392107,2.2649023668978794,2.060781868633727,1.3090882247450821,0.8693263683171096,1.309088224745082e-13,1.3090882247450822e-08,20.0,2012-05-17 03:00:00+00:00
5,-90.0,25.0,11.89,3.573681255970999,4.385958506108009,2.2649023656827443,2.0607818676506326,1.309088224126919,0.8693263679143901,1.309088224126919e-13,1.309088224126919e-08,25.0,2012-05-17 03:00:00+00:00
6,-90.0,30.0,11.89,3.5736812532123094,4.3859585027515156,2.264902363830144,2.060781866065684,1.3090882231102507,0.8693263672261583,1.3090882231102508e-13,1.3090882231102507e-08,30.0,2012-05-17 03:00:00+00:00
7,-90.0,35.0,11.89,3.5736812545521413,4.385958504442209,2.264902364927376,2.0607818668721474,1.309088223640085,0.8693263676020871,1.3090882236400848e-13,1.3090882236400849e-08,35.0,2012-05-17 03:00:00+00:00
8,-90.0,40.0,11.89,3.573681256342305,4.3859585057580945,2.2649023657907246,2.0607818673187372,1.3090882239161015,0.8693263677762368,1.3090882239161016e-13,1.3090882239161015e-08,40.0,2012-05-17 03:00:00+00:00
9,-90.0,45.0,11.89,3.5736812553357176,4.385958504887429,2.2649023651965443,2.0607818669800957,1.309088223700133,0.8693263676309085,1.309088223700133e-13,1.3090882237001329e-08,45.0,2012-05-17 03:00:00+00:00
10,-90.0,50.0,11.89,3.5736812556152007,4.38595850606779,2.264902365579178,2.0607818676845873,1.309088224144638,0.8693263679205636,1.309088224144638e-13,1.3090882241446381e-08,50.0,2012-05-17 03:00:00+00:00
11,-90.0,55.0,11.89,3.57368126289491,4.385958514811278,2.2649023698908195,2.0607818717369426,1.3090882267056494,0.8693263696003065,1.3090882267056493e-13,1.3090882267056495e-08,55.0,2012-05-17 03:00:00+00:00
12,-90.0,60.0,11.89,3.573681258704828,4.385958510030162,2.2649023673603215,2.0607818695650884,1.3090882253315548,0.8693263686943091,1.3090882253315548e-13,1.3090882253315548e-08,60.0,2012-05-17 03:00:00+00:00
13,-90.0,65.0,11.89,3.5736812592152494,4.385958510005773,2.2649023676702726,2.060781869440755,1.3090882252600933,0.8693263686600209,1.3090882252600934e-13,1.3090882252600933e-08,65.0,2012-05-17 03:00:00+00:00
14,-90.0,70.0,11.89,3.573681260062162,4.385958510186752,2.2649023679732023,2.0607818694076614,1.309088225244368,0.8693263686603506,1.3090882252443682e-13,1.3090882252443681e-08,70.0,2012-05-17 03:00:00+00:00
15,-90.0,75.0,11.89,3.5736812616046114,4.385958511852728,2.264902368780307,2.060781870116594,1.30908822568453,0.8693263689379749,1.30908822568453e-13,1.30908822568453e-08,75.0,2012-05-17 03:00:00+00:00
16,-90.0,80.0,11.89,3.573681256832703,4.385958505594498,2.2649023658465532,2.060781867124117,1.3090882237946218,0.8693263677012152,1.3090882237946218e-13,1.3090882237946217e-08,80.0,2012-05-17 03:00:00+00:00
17,-90.0,85.0,11.89,3.5736812557411404,4.385958505059777,2.264902365375611,2.060781867021521,1.309088223732013,0.869326367660885,1.309088223732013e-13,1.309088223732013e-08,85.0,2012-05-17 03:00:00+00:00
18,-90.0,90.0,11.89,3.5736812555712474,4.385958505121599,2.2649023653070883,2.0607818671052587,1.3090882237819965,0.8693263676890036,1.3090882237819965e-13,1.3090882237819965e-08,90.0,2012-05-17 03:00:00+00:00
19,-90.0,95.0,11.89,3.5736812530355038,4.38595850245066,2.2649023637824715,2.060781865922774,1.309088223027871,0.8693263671838809,1.3090882230278712e-13,1.3090882230278711e-08,95.0,2012-05-17 03:00:00+00:00
20,-90.0,100.0,11.89,3.5736812576770762,4.385958507398606,2.2649023666424415,2.0607818681360603,1.3090882244408428,0.869326368134668,1.3090882244408428e-13,1.3090882244408429e-08,100.0,2012-05-17 03:00:00+00:00
21,-90.0,105.0,11.89,3.573681258742544,4.38595850858678,2.264902367224546,2.0607818686635087,1.3090882247735331,0.8693263683517514,1.309088224773533e-13,1.3090882247735331e-08,105.0,2012-05-17 03:00:00+00:00
22,-90.0,110.0,11.89,3.5736812528902124,4.385958501621006,2.264902363535694,2.060781865397021,1.309088222698429,0.8693263669719002,1.309088222698429e-13,1.3090882226984291e-08,110.0,2012-05-17 03:00:00+00:00
23,-90.0,115.0,11.89,3.5736812547102854,4.385958504663405,2.2649023649960207,2.060781866988635,1.3090882237139827,0.8693263676510209,1.3090882237139828e-13,1.3090882237139827e-08,115.0,2012-05-17 03:00:00+00:00
24,-90.0,120.0,11.89,3.5736812584838558,4.385958508189161,2.264902366979437,2.0607818684431076,1.309088224629475,0.8693263682492882,1.3090882246294752e-13,1.3090882246294751e-08,120.0,2012-05-17 03:00:00+00:00
25,-90.0,125.0,11.89,3.5736812531030484,4.385958501756463,2.2649023636577845,2.060781865450909,1.309088222733115,0.869326366995574,1.3090882227331152e-13,1.3090882227331151e-08,125.0,2012-05-17 03:00:00+00:00
26,-90.0,130.0,11.89,3.573681258314615,4.385958507925862,2.2649023670475414,2.0607818683259427,1.3090882245653728,0.8693263682214339,1.3090882245653727e-13,1.3090882245653728e-08,130.0,2012-05-17 03:00:00+00:00
27,-90.0,135.0,11.89,3.5736812559467137,4.385958505512732,2.264902365472131,2.060781867290235,1.3090882238932178,0.8693263677568787,1.3090882238932178e-13,1.3090882238932179e-08,135.0,2012-05-17 03:00:00+00:00
28,-90.0,140.0,11.89,3.57368125407706,4.385958503179289,2.264902364282841,2.0607818661489223,1.309088223172892,0.8693263672812512,1.3090882231728921e-13,1.309088223172892e-08,140.0,2012-05-17 03:00:00+00:00
29,-90.0,145.0,11.89,3.5736812558731192,4.385958505180662,2.264902365224214,2.0607818670688793,1.3090882237500876,0.8693263676543036,1.3090882237500876e-13,1.3090882237500877e-08,145.0,2012-05-17 03:00:00+00:00
30,-90.0,150.0,11.89,3.573681255230719,4.385958504604835,2.2649023651684645,2.060781866842799,1.3090882236233352,0.8693263675955039,1.3090882236233352e-13,1.3090882236233353e-08,150.0,2012-05-17 03:00:00+00:00
31,-90.0,155.0,11.89,3.5736812550630797,4.385958505227589,2.2649023650541826,2.0607818672294202,1.3090882238547394,0.8693263677246206,1.3090882238547396e-13,1.3090882238547394e-08,155.0,2012-05-17 03:00:00+00:00
32,-90.0,160.0,11.89,3.5736812560841185,4.385958506393206,2.264902365659861,2.060781867783408,1.3090882242053807,0.8693263679566636,1.3090882242053808e-13,1.3090882242053808e-08,160.0,2012-05-17 03:00:00+00:00
33,-90.0,165.0,11.89,3.5736812557039515,4.385958505752214,2.2649023652541316,2.060781867458886,1.3090882239914285,0.8693263678043702,1.3090882239914286e-13,1.3090882239914285e-08,165.0,2012-05-17 03:00:00+00:00
34,-90.0,170.0,11.89,3.573681255264698,4.38595850533557,2.2649023651005322,2.060781867306519,1.309088223887978,0.869326367729837,1.309088223887978e-13,1.309088223887978e-08,170.0,2012-05-17 03:00:00+00:00
35,-90.0,175.0,11.89,3.5736812542620378,4.385958503717996,2.2649023643736736,2.060781866475371,1.309088223374899,0.869326367408557,1.309088223374899e-13,1.309088223374899e-08,175.0,2012-05-17 03:00:00+00:00
36,-90.0,180.0,11.89,3.5736812573337096,4.385958507611426,2.2649023665131565,2.060781868325107,1.3090882245616504,0.8693263682117098,1.3090882245616503e-13,1.3090882245616504e-08,180.0,2012-05-17 03:00:00+00:00
37,-90.0,185.0,11.89,3.5736812592484988,4.385958509739997,2.2649023675557576,2.0607818692679527,1.309088225147654,0.8693263685825602,1.309088225147654e-13,1.3090882251476541e-08,-175.0,2012-05-17 03:00:00+00:00
38,-90.0,190.0,11.89,3.573681260365849,4.3859585112888535,2.2649023681699596,2.060781870043126,1.3090882256315919,0.8693263688930163,1.3090882256315918e-13,1.3090882256315919e-08,-170.0,2012-05-17 03:00:00+00:00
39,-90.0,195.0,11.89,3.5736812589178335,4.385958509394643,2.2649023673638755,2.0607818691092707,1.3090882250480225,0.8693263685171504,1.3090882250480226e-13,1.3090882250480226e-08,-165.0,2012-05-17 03:00:00+00:00
40,-90.0,200.0,11.89,3.5736812564820633,4.3859585065422575,2.2649023660604968,2.060781867810744,1.3090882242367352,0.8693263679995014,1.3090882242367353e-13,1.3090882242367352e-08,-160.0,2012-05-17 03:00:00+00:00
41,-90.0,205.0,11.89,3.5736812554108854,4.385958503492148,2.2649023650345295,2.060781866080418,1.3090882231453589,0.8693263672903663,1.309088223145359e-13,1.309088223145359e-08,-155.0,2012-05-17 03:00:00+00:00
42,-90.0,210.0,11.89,3.573681258243325,4.385958509796095,2.2649023669619903,2.0607818694738342,1.3090882252574223,0.8693263686214358,1.3090882252574224e-13,1.3090882252574223e-08,-150.0,2012-05-17 03:00:00+00:00
43,-90.0,215.0,11.89,3.5736812597943004,4.385958511511591,2.26490236802148,2.0607818702832468,1.3090882257904617,0.8693263690027083,1.3090882257904616e-13,1.3090882257904617e-08,-145.0,2012-05-17 03:00:00+00:00
44,-90.0,220.0,11.89,3.5736812579305006,4.385958509117871,2.264902366824805,2.0607818691198108,1.3090882250396694,0.869326368489183,1.3090882250396695e-13,1.3090882250396694e-08,-140.0,2012-05-17 03:00:00+00:00
45,-90.0,225.0,11.89,3.5736812557032045,4.385958504567442,2.2649023652767606,2.060781866707196,1.3090882235394743,0.8693263675440335,1.3090882235394744e-13,1.3090882235394742e-08,-135.0,2012-05-17 03:00:00+00:00
46,-90.0,230.0,11.89,3.573681255492147,4.3859585050046,2.2649023653132057,2.060781867042024,1.309088223745305,0.8693263676704869,1.309088223745305e-13,1.309088223745305e-08,-130.0,2012-05-17 03:00:00+00:00
