,latitude,longitude,altitude (km),edose,adose,dosee,tn1,tn2,tn3,SEU,SEL,longitudeTranslated,datetime
0,-90.0,0.0,11.89,3.5393228357465896,4.3581503556042955,2.244426404527203,2.050155693465133,1.3021271666544099,0.8643676495128471,1.30212716665441e-13,1.30212716665441e-08,0.0,2012-05-17 03:05:00+00:00
1,-90.0,5.0,11.89,3.5393228361078033,4.358150356149579,2.2444264048298788,2.050155693735915,1.302127166829148,0.8643676496327383,1.3021271668291481e-13,1.302127166829148e-08,5.0,2012-05-17 03:05:00+00:00
2,-90.0,10.0,11.89,3.5393228349187704,4.358150354099594,2.2444264040063104,2.0501556926546503,1.302127166147868,0.8643676491894021,1.302127166147868e-13,1.302127166147868e-08,10.0,2012-05-17 03:05:00+00:00
3,-90.0,15.0,11.89,3.5393228390335985,4.358150359308034,2.244426406712063,2.050155695149706,1.3021271677370658,0.864367650251434,1.302127167737066e-13,1.3021271677370658e-08,15.0,2012-05-17 03:05:00+00:00
4,-90.0,20.0,11.89,3.539322837490302,4.358150357797975,2.2444264056124026,2.0501556944808548,1.3021271672958272,0.8643676499326851,1.3021271672958271e-13,1.3021271672958273e-08,20.0,2012-05-17 03:05:00+00:00
5,-90.0,25.0,11.89,3.539322837071546,4.35815035846117,2.2444264054411787,2.050155694978895,1.3021271675925237,0.8643676500990375,1.3021271675925237e-13,1.3021271675925238e-08,25.0,2012-05-17 03:05:00+00:00
6,-90.0,30.0,11.89,3.5393228352475283,4.358150354411937,2.244426404190689,2.050155692797389,1.3021271662353215,0.8643676492440261,1.3021271662353217e-13,1.3021271662353216e-08,30.0,2012-05-17 03:05:00+00:00
7,-90.0,35.0,11.89,3.5393228380238226,4.3581503584493735,2.244426406096085,2.050155694813638,1.3021271675105293,0.8643676500816222,1.3021271675105293e-13,1.3021271675105293e-08,35.0,2012-05-17 03:05:00+00:00
8,-90.0,40.0,11.89,3.5393228382316524,4.358150358766067,2.2444264060768098,2.05015569494469,1.302127167577151,0.8643676501022929,1.302127167577151e-13,1.3021271675771511e-08,40.0,2012-05-17 03:05:00+00:00
9,-90.0,45.0,11.89,3.5393228355241373,4.358150354959312,2.2444264043933724,2.0501556930989677,1.302127166425281,0.864367649367349,1.302127166425281e-13,1.302127166425281e-08,45.0,2012-05-17 03:05:00+00:00
10,-90.0,50.0,11.89,3.5393228385813225,4.35815035878899,2.244426406440901,2.0501556949075797,1.3021271675817303,0.8643676501462487,1.3021271675817303e-13,1.3021271675817304e-08,50.0,2012-05-17 03:05:00+00:00
11,-90.0,55.0,11.89,3.539322836631197,4.358150356584323,2.2444264051799783,2.0501556938996686,1.302127166932081,0.8643676497011242,1.3021271669320812e-13,1.3021271669320811e-08,55.0,2012-05-17 03:05:00+00:00
12,-90.0,60.0,11.89,3.5393228340698006,4.358150353574315,2.244426403507275,2.0501556925121895,1.3021271660524096,0.8643676491176893,1.3021271660524097e-13,1.3021271660524096e-08,60.0,2012-05-17 03:05:00+00:00
13,-90.0,65.0,11.89,3.5393228378190376,4.358150358420898,2.24442640583552,2.0501556948365356,1.3021271675236197,0.8643676500851877,1.3021271675236196e-13,1.3021271675236196e-08,65.0,2012-05-17 03:05:00+00:00
14,-90.0,70.0,11.89,3.5393228369133003,4.35815035593614,2.244426405133571,2.0501556934218557,1.3021271666322576,0.8643676495093299,1.3021271666322575e-13,1.3021271666322576e-08,70.0,2012-05-17 03:05:00+00:00
15,-90.0,75.0,11.89,3.539322838631473,4.3581503587152035,2.2444264062392656,2.0501556948319943,1.3021271675222614,0.8643676500898474,1.3021271675222615e-13,1.3021271675222614e-08,75.0,2012-05-17 03:05:00+00:00
16,-90.0,80.0,11.89,3.5393228351433392,4.358150354955174,2.24442640432718,2.050155693164693,1.3021271664716203,0.864367649403536,1.3021271664716202e-13,1.3021271664716203e-08,80.0,2012-05-17 03:05:00+00:00
17,-90.0,85.0,11.89,3.539322834858996,4.358150354485841,2.24442640408568,2.050155692920144,1.302127166308671,0.8643676492846409,1.302127166308671e-13,1.3021271663086711e-08,85.0,2012-05-17 03:05:00+00:00
18,-90.0,90.0,11.89,3.5393228344298877,4.358150354039061,2.244426403776453,2.0501556927038767,1.3021271661716731,0.8643676491920466,1.302127166171673e-13,1.3021271661716731e-08,90.0,2012-05-17 03:05:00+00:00
19,-90.0,95.0,11.89,3.5393228352752524,4.35815035469327,2.244426404334516,2.050155692965693,1.3021271663403309,0.8643676493105305,1.3021271663403308e-13,1.302127166340331e-08,95.0,2012-05-17 03:05:00+00:00
20,-90.0,100.0,11.89,3.539322836534458,4.358150356863171,2.244426405071217,2.0501556940834247,1.3021271670418468,0.8643676497611141,1.3021271670418467e-13,1.3021271670418468e-08,100.0,2012-05-17 03:05:00+00:00
21,-90.0,105.0,11.89,3.539322834605492,4.358150353819762,2.244426403748502,2.0501556925299176,1.302127166059418,0.8643676491176285,1.302127166059418e-13,1.3021271660594181e-08,105.0,2012-05-17 03:05:00+00:00
22,-90.0,110.0,11.89,3.539322834453455,4.358150353686631,2.244426403745127,2.0501556924910456,1.3021271660360971,0.8643676491045907,1.302127166036097e-13,1.3021271660360971e-08,110.0,2012-05-17 03:05:00+00:00
23,-90.0,115.0,11.89,3.539322834174263,4.35815035321372,2.2444264035007064,2.0501556922517987,1.3021271658854496,0.8643676490070124,1.3021271658854496e-13,1.3021271658854496e-08,115.0,2012-05-17 03:05:00+00:00
24,-90.0,120.0,11.89,3.5393228366281675,4.358150356034256,2.2444264049654663,2.050155693559011,1.302127166714718,0.8643676495554616,1.302127166714718e-13,1.302127166714718e-08,120.0,2012-05-17 03:05:00+00:00
25,-90.0,125.0,11.89,3.539322835791573,4.3581503560884975,2.244426404759848,2.0501556937462855,1.3021271668339507,0.8643676496326205,1.3021271668339507e-13,1.3021271668339507e-08,125.0,2012-05-17 03:05:00+00:00
26,-90.0,130.0,11.89,3.539322835202871,4.358150354883333,2.244426404153971,2.0501556931079246,1.3021271664207907,0.8643676493496515,1.3021271664207908e-13,1.3021271664207908e-08,130.0,2012-05-17 03:05:00+00:00
27,-90.0,135.0,11.89,3.5393228347734436,4.358150354231441,2.2444264039054644,2.0501556927721607,1.3021271662170506,0.8643676492259682,1.3021271662170506e-13,1.3021271662170506e-08,135.0,2012-05-17 03:05:00+00:00
28,-90.0,140.0,11.89,3.539322839359326,4.358150360487536,2.244426406865909,2.050155695833956,1.302127168152782,0.8643676504975611,1.302127168152782e-13,1.302127168152782e-08,140.0,2012-05-17 03:05:00+00:00
29,-90.0,145.0,11.89,3.539322840378881,4.35815036124195,2.244426407513633,2.0501556961140883,1.3021271683367026,0.8643676506313764,1.3021271683367027e-13,1.3021271683367026e-08,145.0,2012-05-17 03:05:00+00:00
30,-90.0,150.0,11.89,3.5393228366511362,4.358150355754167,2.244426404854341,2.050155693367134,1.3021271665957193,0.8643676494811785,1.3021271665957193e-13,1.3021271665957193e-08,150.0,2012-05-17 03:05:00+00:00
31,-90.0,155.0,11.89,3.5393228350281563,4.35815035449987,2.244426404216588,2.0501556929002547,1.3021271663042828,0.8643676492938954,1.3021271663042828e-13,1.3021271663042828e-08,155.0,2012-05-17 03:05:00+00:00
32,-90.0,160.0,11.89,3.5393228381297797,4.358150358355263,2.244426406077852,2.050155694709676,1.3021271674484631,0.8643676500442792,1.3021271674484633e-13,1.3021271674484631e-08,160.0,2012-05-17 03:05:00+00:00
33,-90.0,165.0,11.89,3.5393228348621326,4.358150353603826,2.2444264039290487,2.0501556923572233,1.3021271659655569,0.8643676490788765,1.302127165965557e-13,1.302127165965557e-08,165.0,2012-05-17 03:05:00+00:00
