,latitude,longitude,altitude (km),edose,adose,dosee,tn1,tn2,tn3,SEU,SEL,longitudeTranslated,datetime
0,-90.0,0.0,11.89,4.054599889432649,4.851611515012709,2.554504683358871,2.2581727925347526,1.436051225109214,0.9562153331303568,1.436051225109214e-13,1.436051225109214e-08,0.0,2012-05-17 02:30:00+00:00
1,-90.0,5.0,11.89,4.0545998852328555,4.851611510182849,2.5545046808063,2.25817279027584,1.4360512236736618,0.9562153321724185,1.4360512236736618e-13,1.4360512236736618e-08,5.0,2012-05-17 02:30:00+00:00
2,-90.0,10.0,11.89,4.05459988778637,4.851611513099503,2.5545046826296223,2.25817279161418,1.4360512245346129,0.9562153327622877,1.436051224534613e-13,1.436051224534613e-08,10.0,2012-05-17 02:30:00+00:00
3,-90.0,15.0,11.89,4.0545998857697985,4.851611510729113,2.554504681403936,2.2581727905472757,1.4360512238601821,0.9562153323198099,1.4360512238601823e-13,1.4360512238601821e-08,15.0,2012-05-17 02:30:00+00:00
4,-90.0,20.0,11.89,4.054599883938528,4.851611509523318,2.5545046801539373,2.258172790125259,1.4360512235757046,0.9562153321031637,1.4360512235757047e-13,1.4360512235757046e-08,20.0,2012-05-17 02:30:00+00:00
5,-90.0,25.0,11.89,4.054599884909066,4.851611509106496,2.554504680445483,2.258172789688247,1.436051223300645,0.9562153319318067,1.4360512233006452e-13,1.436051223300645e-08,25.0,2012-05-17 02:30:00+00:00
6,-90.0,30.0,11.89,4.054599888970776,4.851611515291338,2.5545046832370195,2.258172792804,1.4360512252840592,0.9562153332497156,1.4360512252840593e-13,1.4360512252840592e-08,30.0,2012-05-17 02:30:00+00:00
7,-90.0,35.0,11.89,4.054599889576768,4.851611515322167,2.554504683446267,2.258172792704373,1.4360512252172444,0.9562153332028134,1.4360512252172444e-13,1.4360512252172444e-08,35.0,2012-05-17 02:30:00+00:00
8,-90.0,40.0,11.89,4.054599890764961,4.851611517151802,2.554504684304786,2.258172793606335,1.4360512257731444,0.9562153335463878,1.4360512257731445e-13,1.4360512257731443e-08,40.0,2012-05-17 02:30:00+00:00
9,-90.0,45.0,11.89,4.054599884572759,4.851611511170817,2.554504680614756,2.258172791032709,1.4360512241415782,0.9562153324610477,1.4360512241415782e-13,1.4360512241415782e-08,45.0,2012-05-17 02:30:00+00:00
10,-90.0,50.0,11.89,4.05459988695344,4.851611511891152,2.5545046818888975,2.2581727910476843,1.4360512241710723,0.9562153325169659,1.4360512241710723e-13,1.4360512241710723e-08,50.0,2012-05-17 02:30:00+00:00
11,-90.0,55.0,11.89,4.054599883793592,4.851611507628727,2.554504679792201,2.2581727889214513,1.4360512228134166,0.9562153316062599,1.4360512228134166e-13,1.4360512228134167e-08,55.0,2012-05-17 02:30:00+00:00
12,-90.0,60.0,11.89,4.0545998869870985,4.8516115120279055,2.5545046819286528,2.258172791104128,1.4360512241992542,0.9562153325236286,1.4360512241992544e-13,1.4360512241992542e-08,60.0,2012-05-17 02:30:00+00:00
13,-90.0,65.0,11.89,4.0545998873326266,4.851611513002997,2.554504682262599,2.2581727916472603,1.436051224540615,0.956215332743969,1.436051224540615e-13,1.436051224540615e-08,65.0,2012-05-17 02:30:00+00:00
14,-90.0,70.0,11.89,4.05459988587426,4.851611511405509,2.554504681167531,2.258172790924269,1.436051224081314,0.9562153324351206,1.436051224081314e-13,1.436051224081314e-08,70.0,2012-05-17 02:30:00+00:00
15,-90.0,75.0,11.89,4.054599887482002,4.851611512118809,2.554504682067618,2.2581727910859275,1.4360512241911871,0.9562153325255913,1.436051224191187e-13,1.4360512241911872e-08,75.0,2012-05-17 02:30:00+00:00
16,-90.0,80.0,11.89,4.054599887821518,4.851611512739907,2.5545046823410082,2.2581727913807073,1.4360512243733028,0.9562153326386115,1.4360512243733029e-13,1.4360512243733028e-08,80.0,2012-05-17 02:30:00+00:00
17,-90.0,85.0,11.89,4.05459988567038,4.851611511113757,2.554504681070164,2.2581727907991818,1.4360512240003958,0.9562153323842171,1.4360512240003958e-13,1.4360512240003959e-08,85.0,2012-05-17 02:30:00+00:00
18,-90.0,90.0,11.89,4.054599888204818,4.851611514923634,2.554504682876067,2.258172792671678,1.4360512251845097,0.9562153331579685,1.4360512251845096e-13,1.4360512251845097e-08,90.0,2012-05-17 02:30:00+00:00
19,-90.0,95.0,11.89,4.05459988983095,4.851611515728454,2.5545046836364054,2.258172792886673,1.4360512253261424,0.9562153332642879,1.4360512253261423e-13,1.4360512253261424e-08,95.0,2012-05-17 02:30:00+00:00
20,-90.0,100.0,11.89,4.054599884560955,4.85161151049538,2.5545046804976317,2.2581727906296125,1.4360512238823515,0.9562153322874246,1.4360512238823514e-13,1.4360512238823516e-08,100.0,2012-05-17 02:30:00+00:00
21,-90.0,105.0,11.89,4.054599888913146,4.851611514072534,2.554504683036297,2.2581727920337893,1.4360512247963313,0.9562153329326489,1.4360512247963312e-13,1.4360512247963314e-08,105.0,2012-05-17 02:30:00+00:00
22,-90.0,110.0,11.89,4.054599885422411,4.851611510172035,2.554504680783041,2.258172790240688,1.4360512236509482,0.9562153321595901,1.436051223650948e-13,1.4360512236509483e-08,110.0,2012-05-17 02:30:00+00:00
23,-90.0,115.0,11.89,4.054599890111405,4.851611514708573,2.5545046837342777,2.258172792185983,1.4360512249046145,0.9562153330222052,1.4360512249046144e-13,1.4360512249046144e-08,115.0,2012-05-17 02:30:00+00:00
