,latitude,longitude,altitude (km),edose,adose,dosee,tn1,tn2,tn3,SEU,SEL,datetime
10,-90.0,50.0,15.24,10.18280091654464,10.45044932187901,6.3592116794719695,4.353814926662488,2.7220003935216868,1.7829243895612998,2.722000393521687e-13,2.7220003935216868e-08,2012-05-17 03:20:00+00:00
11,-90.0,55.0,15.24,10.182800918808868,10.450449323027991,6.359211679448389,4.353814927219599,2.722000393847818,1.7829243897630669,2.722000393847818e-13,2.722000393847818e-08,2012-05-17 03:20:00+00:00
12,-90.0,60.0,15.24,10.182800912798584,10.450449317337577,6.359211677088649,4.353814924679414,2.7220003923066804,1.7829243887828616,2.7220003923066804e-13,2.7220003923066806e-08,2012-05-17 03:20:00+00:00
13,-90.0,65.0,15.24,10.182800919991337,10.450449324945454,6.35921168148384,4.3538149278802845,2.7220003942947257,1.782924390076091,2.722000394294726e-13,2.7220003942947258e-08,2012-05-17 03:20:00+00:00
14,-90.0,70.0,15.24,10.182800906813464,10.450449311979307,6.359211673483333,4.353814922606113,2.7220003910049804,1.7829243879206527,2.7220003910049807e-13,2.7220003910049806e-08,2012-05-17 03:20:00+00:00
15,-90.0,75.0,15.24,10.182800918355184,10.450449324838177,6.359211680321127,4.353814928350633,2.7220003945786697,1.7829243902440253,2.72200039457867e-13,2.7220003945786698e-08,2012-05-17 03:20:00+00:00
16,-90.0,80.0,15.24,10.182800908781557,10.45044930787146,6.359211673014944,4.353814919629986,2.722000389149701,1.7829243867570215,2.722000389149701e-13,2.7220003891497008e-08,2012-05-17 03:20:00+00:00
17,-90.0,85.0,15.24,10.182800908385882,10.450449309293758,6.359211672449166,4.353814920868838,2.7220003899122234,1.7829243872317546,2.7220003899122233e-13,2.7220003899122233e-08,2012-05-17 03:20:00+00:00
18,-90.0,90.0,15.24,10.182800923089067,10.450449327855312,6.359211683148644,4.353814929131165,2.722000395079475,1.7829243905931405,2.722000395079475e-13,2.722000395079475e-08,2012-05-17 03:20:00+00:00
19,-90.0,95.0,15.24,10.182800921032511,10.450449325143005,6.359211682041539,4.353814927806312,2.7220003942657893,1.7829243900726486,2.7220003942657894e-13,2.7220003942657894e-08,2012-05-17 03:20:00+00:00
20,-90.0,100.0,15.24,10.18280090738852,10.450449309850145,6.359211673562931,4.353814920928453,2.7220003899458742,1.7829243872411837,2.7220003899458745e-13,2.7220003899458744e-08,2012-05-17 03:20:00+00:00
21,-90.0,105.0,15.24,10.182800905658638,10.45044931235267,6.3592116724981755,4.353814923220126,2.7220003913571507,1.782924388122435,2.722000391357151e-13,2.7220003913571507e-08,2012-05-17 03:20:00+00:00
22,-90.0,110.0,15.24,10.182800912836221,10.450449319110835,6.359211677345332,4.353814925750639,2.7220003929464136,1.7829243891679762,2.7220003929464136e-13,2.7220003929464138e-08,2012-05-17 03:20:00+00:00
23,-90.0,115.0,15.24,10.182800909989382,10.450449314059298,6.359211675146971,4.353814923145873,2.722000391320693,1.7829243881249999,2.722000391320693e-13,2.7220003913206932e-08,2012-05-17 03:20:00+00:00
