,latitude,longitude,altitude (km),edose,adose,dosee,tn1,tn2,tn3,SEU,SEL,longitudeTranslated,datetime
0,-90.0,0.0,11.89,4.286226543716537,5.209134493700864,2.7097392681202486,2.4386989538816404,1.549782096850958,1.0301970288737303,1.549782096850958e-13,1.5497820968509578e-08,0.0,2012-05-17 02:45:00+00:00
1,-90.0,5.0,11.89,4.286226540862742,5.209134490187206,2.7097392663910993,2.43869895223173,1.5497820958140274,1.0301970281992892,1.5497820958140273e-13,1.5497820958140274e-08,5.0,2012-05-17 02:45:00+00:00
2,-90.0,10.0,11.89,4.286226540481365,5.209134490069126,2.7097392661278037,2.4386989522131857,1.5497820957945292,1.030197028173199,1.5497820957945292e-13,1.549782095794529e-08,10.0,2012-05-17 02:45:00+00:00
3,-90.0,15.0,11.89,4.2862265424037505,5.2091344922007785,2.7097392671531404,2.4386989531966488,1.5497820964060838,1.0301970285631308,1.549782096406084e-13,1.549782096406084e-08,15.0,2012-05-17 02:45:00+00:00
4,-90.0,20.0,11.89,4.286226542222695,5.209134491848804,2.7097392672681546,2.4386989530044114,1.54978209630032,1.0301970285166067,1.54978209630032e-13,1.54978209630032e-08,20.0,2012-05-17 02:45:00+00:00
5,-90.0,25.0,11.89,4.28622654821529,5.2091344996301165,2.7097392709793127,2.4386989567364648,1.5497820986584425,1.0301970300647052,1.5497820986584426e-13,1.5497820986584424e-08,25.0,2012-05-17 02:45:00+00:00
6,-90.0,30.0,11.89,4.286226542789459,5.209134492639749,2.7097392676678016,2.4386989533898413,1.5497820965463796,1.0301970286814468,1.5497820965463795e-13,1.5497820965463797e-08,30.0,2012-05-17 02:45:00+00:00
7,-90.0,35.0,11.89,4.286226541990272,5.209134490824973,2.7097392669445566,2.4386989523818445,1.5497820959137296,1.030197028272069,1.5497820959137297e-13,1.5497820959137298e-08,35.0,2012-05-17 02:45:00+00:00
8,-90.0,40.0,11.89,4.286226543576503,5.209134493782717,2.7097392682015697,2.438698953958518,1.5497820969084193,1.0301970289225018,1.5497820969084192e-13,1.5497820969084194e-08,40.0,2012-05-17 02:45:00+00:00
9,-90.0,45.0,11.89,4.286226542693199,5.209134492229929,2.709739267528242,2.4386989531462917,1.5497820963945066,1.0301970285845432,1.5497820963945068e-13,1.5497820963945067e-08,45.0,2012-05-17 02:45:00+00:00
