,latitude,longitude,altitude (km),edose,adose,dosee,tn1,tn2,tn3,SEU,SEL,longitudeTranslated,SEU (Upsets/hr/Gb),SEL (Latch-ups/hr/device)
0,-90.0,0.0,11.89,8.897430774852614,10.364997081203033,5.55414185589227,4.774288644240572,3.0387503546407006,2.028042511651943,3.0387503546407014e-13,3.038750354640701e-08,0.0,1.0939501276706525,0.00010939501276706523
1,-90.0,5.0,11.89,8.897430773172976,10.36499707895093,5.554141854831338,4.774288643144859,3.0387503539423477,2.028042511184226,3.038750353942348e-13,3.0387503539423474e-08,5.0,1.0939501274192454,0.0001093950127419245
2,-90.0,10.0,11.89,8.897430775729177,10.364997081383006,5.554141856275913,4.774288644183348,3.0387503546046153,2.0280425116330165,3.0387503546046157e-13,3.038750354604616e-08,10.0,1.0939501276576615,0.00010939501276576618
3,-90.0,15.0,11.89,8.897430773382926,10.364997079232294,5.554141854935041,4.774288643295283,3.0387503540380423,2.028042511250085,3.038750354038042e-13,3.038750354038042e-08,15.0,1.0939501274536951,0.00010939501274536952
4,-90.0,20.0,11.89,8.897430772889075,10.36499707902201,5.5541418546462795,4.774288643258493,3.038750354010886,2.0280425112262894,3.038750354010886e-13,3.0387503540108856e-08,20.0,1.093950127443919,0.00010939501274439188
5,-90.0,25.0,11.89,8.897430773915906,10.364997080175593,5.554141855254606,4.774288643781705,3.038750354338849,2.0280425114372584,3.0387503543388496e-13,3.0387503543388495e-08,25.0,1.0939501275619858,0.00010939501275619858
6,-90.0,30.0,11.89,8.897430772193289,10.364997078131761,5.554141854273027,4.774288642828379,3.03875035373907,2.0280425110475324,3.03875035373907e-13,3.03875035373907e-08,30.0,1.0939501273460652,0.00010939501273460652
7,-90.0,35.0,11.89,8.897430774106983,10.364997080480606,5.554141855402137,4.77428864393643,3.038750354440488,2.028042511509715,3.038750354440488e-13,3.038750354440488e-08,35.0,1.093950127598576,0.00010939501275985757
8,-90.0,40.0,11.89,8.89743077433889,10.364997080101645,5.5541418554209905,4.774288643640329,3.038750354256958,2.0280425113965084,3.0387503542569575e-13,3.038750354256957e-08,40.0,1.0939501275325048,0.00010939501275325046
9,-90.0,45.0,11.89,8.897430774549598,10.364997080454515,5.554141855606957,4.774288643823369,3.0387503543724903,2.028042511470444,3.03875035437249e-13,3.03875035437249e-08,45.0,1.0939501275740966,0.00010939501275740964
10,-90.0,50.0,11.89,8.897430775441624,10.3649970811553,5.554141856092199,4.774288644088699,3.038750354545795,2.028042511595566,3.038750354545795e-13,3.0387503545457955e-08,50.0,1.0939501276364865,0.00010939501276364864
11,-90.0,55.0,11.89,8.897430775152214,10.364997081183988,5.5541418559767175,4.774288644159555,3.038750354585511,2.0280425116131044,3.038750354585511e-13,3.0387503545855114e-08,55.0,1.093950127650784,0.00010939501276507841
12,-90.0,60.0,11.89,8.89743077180608,10.364997077796467,5.554141853933396,4.774288642698056,3.038750353654101,2.0280425109874463,3.0387503536541017e-13,3.0387503536541014e-08,60.0,1.0939501273154766,0.00010939501273154765
13,-90.0,65.0,11.89,8.897430773366608,10.364997079857345,5.554141854976215,4.774288643674106,3.0387503542725915,2.0280425113946934,3.038750354272592e-13,3.0387503542725916e-08,65.0,1.0939501275381331,0.0001093950127538133
14,-90.0,70.0,11.89,8.897430772455737,10.36499707796477,5.554141854230163,4.774288642679445,3.0387503536461704,2.028042510990057,3.03875035364617e-13,3.0387503536461704e-08,70.0,1.093950127312621,0.00010939501273126214
15,-90.0,75.0,11.89,8.897430775187722,10.36499708060223,5.554141855807354,4.7742886437834935,3.0387503543511905,2.0280425114646436,3.03875035435119e-13,3.03875035435119e-08,75.0,1.0939501275664285,0.00010939501275664285
16,-90.0,80.0,11.89,8.89743077381881,10.364997079636357,5.55414185513267,4.774288643456191,3.038750354141202,2.0280425113203417,3.0387503541412017e-13,3.0387503541412016e-08,80.0,1.0939501274908328,0.00010939501274908326
17,-90.0,85.0,11.89,8.89743077222528,10.364997078196625,5.554141854246897,4.7742886428627225,3.0387503537575578,2.028042511053579,3.0387503537575584e-13,3.038750353757558e-08,85.0,1.093950127352721,0.00010939501273527208
