,latitude,longitude,altitude (km),edose,adose,dosee,tn1,tn2,tn3,SEU,SEL,longitudeTranslated,SEU (Upsets/hr/Gb),SEL (Latch-ups/hr/device)
16,-90.0,80.0,11.89,16.699601478439572,18.90609953980368,10.326807244996235,8.607669977437105,5.48443752914545,3.6703474454893255,5.48443752914545e-13,5.48443752914545e-08,80.0,1.974397510492362,0.00019743975104923622
17,-90.0,85.0,11.89,16.699601478439572,18.90609953980368,10.326807244996235,8.607669977437105,5.48443752914545,3.6703474454893255,5.48443752914545e-13,5.48443752914545e-08,85.0,1.974397510492362,0.00019743975104923622
18,-90.0,90.0,11.89,16.699601478439572,18.90609953980368,10.326807244996235,8.607669977437105,5.48443752914545,3.6703474454893255,5.48443752914545e-13,5.48443752914545e-08,90.0,1.974397510492362,0.00019743975104923622
19,-90.0,95.0,11.89,16.699601478439572,18.90609953980368,10.326807244996235,8.607669977437105,5.48443752914545,3.6703474454893255,5.48443752914545e-13,5.48443752914545e-08,95.0,1.974397510492362,0.00019743975104923622
20,-90.0,100.0,11.89,16.699601478439572,18.90609953980368,10.326807244996235,8.607669977437105,5.48443752914545,3.6703474454893255,5.48443752914545e-13,5.48443752914545e-08,100.0,1.974397510492362,0.00019743975104923622
21,-90.0,105.0,11.89,16.699601478439572,18.90609953980368,10.326807244996235,8.607669977437105,5.48443752914545,3.6703474454893255,5.48443752914545e-13,5.48443752914545e-08,105.0,1.974397510492362,0.00019743975104923622
22,-90.0,110.0,11.89,16.699601478439572,18.90609953980368,10.326807244996235,8.607669977437105,5.48443752914545,3.6703474454893255,5.48443752914545e-13,5.48443752914545e-08,110.0,1.974397510492362,0.00019743975104923622
23,-90.0,115.0,11.89,16.699601478439572,18.90609953980368,10.326807244996235,8.607669977437105,5.48443752914545,3.6703474454893255,5.48443752914545e-13,5.48443752914545e-08,115.0,1.974397510492362,0.00019743975104923622
24,-90.0,120.0,11.89,16.699601478439572,18.90609953980368,10.326807244996235,8.607669977437105,5.48443752914545,3.6703474454893255,5.48443752914545e-13,5.48443752914545e-08,120.0,1.974397510492362,0.00019743975104923622
25,-90.0,125.0,11.89,16.699601478439572,18.90609953980368,10.326807244996235,8.607669977437105,5.48443752914545,3.6703474454893255,5.48443752914545e-13,5.48443752914545e-08,125.0,1.974397510492362,0.00019743975104923622
26,-90.0,130.0,11.89,16.699601478439572,18.90609953980368,10.326807244996235,8.607669977437105,5.48443752914545,3.6703474454893255,5.48443752914545e-13,5.48443752914545e-08,130.0,1.974397510492362,0.00019743975104923622
27,-90.0,135.0,11.89,16.699601478439572,18.90609953980368,10.326807244996235,8.607669977437105,5.48443752914545,3.6703474454893255,5.48443752914545e-13,5.48443752914545e-08,135.0,1.974397510492362,0.00019743975104923622
28,-90.0,140.0,11.89,16.699601478439572,18.90609953980368,10.326807244996235,8.607669977437105,5.48443752914545,3.6703474454893255,5.48443752914545e-13,5.48443752914545e-08,140.0,1.974397510492362,0.00019743975104923622
29,-90.0,145.0,11.89,16.699601478439572,18.90609953980368,10.326807244996235,8.607669977437105,5.48443752914545,3.6703474454893255,5.48443752914545e-13,5.48443752914545e-08,145.0,1.974397510492362,0.00019743975104923622
