,,latitude,longitude,altitude (km),edose,adose,dosee,tn1,tn2,tn3,SEU,SEL,datetime
0,0,90.0,0.0,0.0,0.007862987865461997,0.010857841137478976,0.0012636142296357797,0.005286641632672262,0.0031903937797481455,0.002081229854841123,3.1903937797481456e-16,3.1903937797481454e-11,2012-05-17 01:55:00+00:00
0,1,90.0,0.0,2.0,0.0517093013318784,0.0687024608430918,0.020324480283968598,0.033769435548879394,0.021645676137105784,0.014349934177069744,2.1645676137105785e-15,2.1645676137105785e-10,2012-05-17 01:55:00+00:00
0,2,90.0,0.0,5.0,0.5249269103937432,0.6683865664652254,0.3354862925557,0.3245277028920793,0.2097991691553455,0.14139614256180588,2.097991691553455e-14,2.097991691553455e-09,2012-05-17 01:55:00+00:00
0,3,90.0,0.0,12.0,16.99277566346099,17.00501424000518,10.288355155256465,7.301786683856106,4.675975682026087,3.16643660930299,4.675975682026087e-13,4.6759756820260874e-08,2012-05-17 01:55:00+00:00
0,4,90.0,0.0,20.0,171.3261067479137,101.46692902725813,91.1387607612939,25.43769680425876,15.631231933595952,10.356440842132344,1.5631231933595953e-12,1.5631231933595952e-07,2012-05-17 01:55:00+00:00
1,0,90.0,0.0,0.0,0.015990664147001805,0.021788901307761892,0.0038243271159195493,0.010505613601692288,0.00639277064826125,0.004188357080002358,6.39277064826125e-16,6.39277064826125e-11,2012-05-17 02:00:00+00:00
1,1,90.0,0.0,2.0,0.10265348952167218,0.13392636859885548,0.04505660558449725,0.0654184035445654,0.042044489105099975,0.028013872493176186,4.204448910509998e-15,4.204448910509998e-10,2012-05-17 02:00:00+00:00
1,2,90.0,0.0,5.0,1.00873710091653,1.256322973422294,0.6499074050170837,0.6048230717218416,0.3913546999370527,0.26468810559524153,3.913546999370527e-14,3.913546999370527e-09,2012-05-17 02:00:00+00:00
1,3,90.0,0.0,12.0,30.53283987600493,29.89390977780602,18.37806162798842,12.683369092673457,8.128803047302032,5.5193017217092075,8.128803047302032e-13,8.128803047302032e-08,2012-05-17 02:00:00+00:00
1,4,90.0,0.0,20.0,282.7547866024808,167.6364245922431,149.76686231264614,42.34723812391947,26.061791284287125,17.311508437030938,2.6061791284287125e-12,2.6061791284287127e-07,2012-05-17 02:00:00+00:00
2,0,90.0,0.0,0.0,0.0072241700843904836,0.010174900219848435,0.0008675688034702663,0.005015302765526225,0.002958864842415003,0.0019112037313543811,2.9588648424150033e-16,2.958864842415003e-11,2012-05-17 02:05:00+00:00
2,1,90.0,0.0,2.0,0.04990946872695367,0.06861393622690216,0.015398830194418437,0.03391843728514219,0.02149144446960772,0.01405467967585218,2.1491444469607718e-15,2.149144446960772e-10,2012-05-17 02:05:00+00:00
2,2,90.0,0.0,5.0,0.5373393943302989,0.7122756419141677,0.3228220705358038,0.3501125702446555,0.22576323132123674,0.15078710978404847,2.2576323132123675e-14,2.2576323132123674e-09,2012-05-17 02:05:00+00:00
2,3,90.0,0.0,12.0,18.97267168213025,20.737366155078043,11.90092322827104,9.273871995619368,5.923291913335211,3.973392427201941,5.923291913335211e-13,5.923291913335211e-08,2012-05-17 02:05:00+00:00
2,4,90.0,0.0,20.0,255.61513671846055,155.39683585124496,144.5870321300687,37.786620609016815,23.090714753882878,15.117030535298968,2.309071475388288e-12,2.3090714753882878e-07,2012-05-17 02:05:00+00:00
